study_code,lot_number,wh_id,wh_lpn_number,package_desc,expiration_date,package_status,carton_status,dnsa,package_number
CT-6910-RDE,LOT-14364098,WH-294,LPN8384714575,Dog Patch,2028-06-06,Damaged,Repacked,73,PKG-82912103
CT-6910-RDE,LOT-14364098,WH-705,LPN5594961323,Dog Patch,2028-06-06,Damaged,Intact,21,PKG-27735226
CT-3472-PNG,LOT-59019698,WH-860,LPN1140451457,Culture Solution,2026-07-17,Damaged,Damaged,24,PKG-24657540
CT-3472-PNG,LOT-59019698,WH-856,LPN8927705036,Culture Solution,2026-07-17,Available,Intact,75,PKG-74248686
CT-3472-PNG,LOT-59019698,WH-294,LPN4771810246,Culture Solution,2026-07-17,Available,Opened,46,PKG-59166292
CT-8970-PLO,LOT-91814441,WH-361,LPN8395771554,Artist Solution,2026-02-14,Dispensed,Repacked,20,PKG-12211463
CT-8970-PLO,LOT-91814441,WH-736,LPN5821630329,Artist Solution,2026-02-14,Quarantined,Repacked,75,PKG-32343804
CT-8970-PLO,LOT-91814441,WH-816,LPN3847743216,Artist Solution,2026-02-14,Available,Opened,61,PKG-25346882
CT-6109-EDZ,LOT-17958339,WH-509,LPN4662356193,Run Solution,2027-07-20,Damaged,Damaged,59,PKG-25953524
CT-6109-EDZ,LOT-17958339,WH-735,LPN2542393025,Run Solution,2027-07-20,Available,Damaged,41,PKG-96079559
CT-6109-EDZ,LOT-17958339,WH-378,LPN5838267578,Run Solution,2027-07-20,Quarantined,Repacked,52,PKG-30770924
CT-8742-ECD,LOT-54560092,WH-921,LPN9224722251,Happy Solution,2026-11-06,Damaged,Damaged,21,PKG-94109451
CT-8742-ECD,LOT-54560092,WH-856,LPN2932157337,Happy Solution,2026-11-06,Dispensed,Repacked,65,PKG-12325579
CT-8742-ECD,LOT-54560092,WH-864,LPN4439802715,Happy Solution,2026-11-06,Damaged,Intact,27,PKG-44284080
CT-6910-RDE,LOT-79555656,WH-375,LPN1080823258,South Capsule,2026-08-02,Dispensed,Opened,32,PKG-54579231
CT-5014-EEP,LOT-35809899,WH-405,LPN2134435103,Fund Tablet,2026-06-17,Quarantined,Intact,16,PKG-92270860
CT-5014-EEP,LOT-35809899,WH-370,LPN4607676415,Fund Tablet,2026-06-17,Quarantined,Intact,75,PKG-68198618
CT-5014-EEP,LOT-35809899,WH-785,LPN6974467195,Fund Tablet,2026-06-17,Damaged,Repacked,29,PKG-15919374
CT-5014-EEP,LOT-35809899,WH-657,LPN1779060372,Fund Tablet,2026-06-17,Damaged,Intact,49,PKG-53074129
CT-2004-PSX,LOT-45953393,WH-294,LPN6829239213,Traditional Patch,2026-01-08,Quarantined,Opened,72,PKG-51921365
CT-2004-PSX,LOT-45953393,WH-736,LPN7316808645,Traditional Patch,2026-01-08,Available,Repacked,29,PKG-72372924
CT-2004-PSX,LOT-45953393,WH-361,LPN2223511435,Traditional Patch,2026-01-08,Quarantined,Intact,27,PKG-34039324
CT-2004-PSX,LOT-45953393,WH-856,LPN9366442722,Traditional Patch,2026-01-08,Dispensed,Repacked,39,PKG-21063850
CT-9831-IEW,LOT-57874485,WH-414,LPN7425496926,Stock Patch,2025-11-17,Dispensed,Damaged,45,PKG-70448172
CT-9831-IEW,LOT-57874485,WH-675,LPN9527091367,Stock Patch,2025-11-17,Quarantined,Intact,20,PKG-80194949
CT-7484-BIH,LOT-31439488,WH-779,LPN6153373406,Oil Tablet,2025-09-04,Dispensed,Repacked,56,PKG-73866704
CT-7484-BIH,LOT-31439488,WH-499,LPN9705992982,Oil Tablet,2025-09-04,Dispensed,Opened,25,PKG-86401837
CT-7484-BIH,LOT-31439488,WH-864,LPN7288923315,Oil Tablet,2025-09-04,Available,Damaged,35,PKG-68303463
CT-7484-BIH,LOT-31439488,WH-405,LPN4186465824,Oil Tablet,2025-09-04,Quarantined,Damaged,26,PKG-25386022
CT-3395-UCM,LOT-62442527,WH-725,LPN7873545782,Keep Capsule,2025-09-06,Dispensed,Intact,47,PKG-18286591
CT-3395-UCM,LOT-62442527,WH-970,LPN1837940614,Keep Capsule,2025-09-06,Damaged,Repacked,32,PKG-97383721
CT-3395-UCM,LOT-62442527,WH-675,LPN1125482461,Keep Capsule,2025-09-06,Available,Opened,59,PKG-53779987
CT-3395-UCM,LOT-62442527,WH-932,LPN6846386811,Keep Capsule,2025-09-06,Quarantined,Damaged,51,PKG-18469659
CT-1696-SCY,LOT-46656333,WH-264,LPN4475226601,Expect Tablet,2026-12-03,Quarantined,Damaged,44,PKG-57434742
CT-1696-SCY,LOT-46656333,WH-675,LPN2917168452,Expect Tablet,2026-12-03,Damaged,Repacked,52,PKG-83153283
CT-1696-SCY,LOT-46656333,WH-361,LPN1565821561,Expect Tablet,2026-12-03,Damaged,Opened,47,PKG-68089881
CT-6592-IDY,LOT-66123852,WH-737,LPN3272623440,Able Patch,2028-07-06,Available,Opened,66,PKG-31910114
CT-6592-IDY,LOT-66123852,WH-483,LPN7650504458,Able Patch,2028-07-06,Dispensed,Opened,53,PKG-48571251
CT-6592-IDY,LOT-66123852,WH-856,LPN6126790446,Able Patch,2028-07-06,Dispensed,Damaged,39,PKG-56027646
CT-3472-PNG,LOT-59019698,WH-860,LPN1026492252,Culture Solution,2026-07-17,Damaged,Repacked,70,PKG-38328479
CT-3472-PNG,LOT-59019698,WH-816,LPN4017605393,Culture Solution,2026-07-17,Available,Damaged,22,PKG-10996353
CT-3472-PNG,LOT-59019698,WH-785,LPN7108336880,Culture Solution,2026-07-17,Damaged,Damaged,15,PKG-33482416
CT-3472-PNG,LOT-59019698,WH-294,LPN7266407720,Culture Solution,2026-07-17,Available,Repacked,69,PKG-77711316
CT-8742-ECD,LOT-54560092,WH-229,LPN2701422193,Happy Solution,2026-11-06,Quarantined,Repacked,44,PKG-59433718
CT-8742-ECD,LOT-54560092,WH-745,LPN5438929382,Happy Solution,2026-11-06,Damaged,Damaged,34,PKG-70343974
CT-8742-ECD,LOT-54560092,WH-499,LPN7170516634,Happy Solution,2026-11-06,Dispensed,Damaged,56,PKG-94761867
CT-7487-KNX,LOT-31152831,WH-860,LPN6559739766,Issue Patch,2025-09-07,Damaged,Damaged,65,PKG-12133491
CT-6551-IBW,LOT-89806740,WH-414,LPN3015587873,Anyone Tablet,2026-07-09,Dispensed,Intact,19,PKG-84586679
