order_id,material_component,material_component_batch,order_quantity,fing_batch,order_status,ly_number,mrp_controller,mrp_group_desc,fing_material,material_comp_description,material_comp_type,material_description,modified_date,operation_number,operational_sequence_id,pcn_id,package_form,planned_or_process,plant,plant_desc,purchase_doc_number,recipe_id,supply_type,shared_across,trial,trial_alias,trial_alias_description,vendor_id,teco_flag
C87DA7B5-D02,MAT-93657,LOT-14364098,92,LOT-14364098,Completed,LY9925929,MRP-109,G2 Commercial,MAT-93657,Dog Patch,Investigational Product,Dog Patch,2025-10-07 16:10:19.040096,OP22,OP94,PCN-31765,PK-612926,Success,LAT04,Mariabury Plant,291333532,Recipe 5,Southern,Friend,CT-6910-RDE,CT-6910-RDE,Shake Study,V3331434,No
502EC192-A84,MAT-22152,LOT-36766763,63,LOT-59019698,Released,LY8394502,MRP-129,G1 Clinical,MAT-22152,Culture Solution,Ancillary Supply,Culture Solution,2025-08-27 23:14:41.492879,OP54,OP41,PCN-92052,PK-418010,Against,AP03,Morganport Plant,990054272,Recipe 4,Sign,Skin,CT-3472-PNG,CT-3472-PNG,Put Trial,V2290840,Yes
D30AB6AE-A77,MAT-85304,LOT-91814441,90,LOT-91814441,In Progress,LY1677238,MRP-117,G1 Clinical,MAT-85304,Artist Solution,Ancillary Supply,Artist Solution,2025-11-06 06:58:46.815334,OP95,OP62,PCN-36942,PK-915435,Growth,EU02,West Ginastad Plant,937154783,Recipe 10,Continue,Financial,CT-8970-PLO,CT-8970-PLO,Skin Trial,V2914330,Yes
93E2AB3B-625,MAT-86168,LOT-49441641,223,LOT-17958339,Completed,LY9655969,MRP-119,G1 Clinical,MAT-86168,Run Solution,Investigational Product,Run Solution,2025-08-31 03:17:48.217379,OP20,OP47,PCN-64436,PK-103445,Let,LAT04,Taylortown Plant,552027839,Recipe 5,Notice,Name,CT-6109-EDZ,CT-6109-EDZ,City Program,V4736079,Yes
49D908EC-D19,MAT-15875,LOT-61778837,139,LOT-54560092,Closed,LY8080024,MRP-138,G2 Commercial,MAT-15875,Happy Solution,Ancillary Supply,Happy Solution,2025-11-06 23:35:02.762601,OP70,OP79,PCN-34033,PK-904637,Cut,AP03,Port Sandraport Plant,627621870,Recipe 6,Dog,Television,CT-8742-ECD,CT-8742-ECD,Compare Study,V5713853,No
7F8EA55C-605,MAT-33689,LOT-42199452,140,LOT-79555656,Created,LY2005433,MRP-116,G1 Clinical,MAT-33689,South Capsule,Ancillary Supply,South Capsule,2025-09-01 06:03:33.080022,OP85,OP28,PCN-60386,PK-159536,Care,US01,Lake Ryan Plant,490853788,Recipe 34,Force,Network,CT-6910-RDE,CT-6910-RDE,Shake Study,V5113487,No
AB2CA71A-47C,MAT-39627,LOT-27607761,262,LOT-35809899,Created,LY9115720,MRP-123,G2 Commercial,MAT-39627,Fund Tablet,Comparator,Fund Tablet,2025-09-28 23:30:47.680870,OP97,OP58,PCN-71715,PK-573352,Form,LAT04,Garciaport Plant,530250509,Recipe 6,Point,Point,CT-5014-EEP,CT-5014-EEP,Attorney Study,V2384689,No
EA3FBE37-E91,MAT-60599,LOT-94284099,25,LOT-45953393,Completed,LY4176564,MRP-113,G3 Pilot,MAT-60599,Traditional Patch,Ancillary Supply,Traditional Patch,2025-10-31 03:53:31.828310,OP92,OP87,PCN-29622,PK-687714,Manage,EU02,Port Douglas Plant,639269468,Recipe 13,Official,Any,CT-2004-PSX,CT-2004-PSX,Home Trial,V6016350,Yes
C2863B49-6B7,MAT-16078,LOT-82476241,290,LOT-57874485,Released,LY2824830,MRP-139,G3 Pilot,MAT-16078,Stock Patch,Comparator,Stock Patch,2025-09-24 18:17:50.959107,OP14,OP66,PCN-64387,PK-375549,Development,LAT04,South Maryfort Plant,837139655,Recipe 9,Water,Institution,CT-9831-IEW,CT-9831-IEW,Myself Program,V2727766,No
7EA3E715-4EB,MAT-66374,LOT-69561395,31,LOT-31439488,Created,LY8269208,MRP-135,G3 Pilot,MAT-66374,Oil Tablet,Ancillary Supply,Oil Tablet,2025-08-29 03:21:26.193224,OP39,OP39,PCN-94140,PK-371999,Point,AP03,Port Charles Plant,898691003,Recipe 26,Smile,Form,CT-7484-BIH,CT-7484-BIH,Member Trial,V3403638,Yes
