Trial Name,Location,Investigator,Package Type Description,Lot,Expiry Date,Packages Awaiting,Received Packages,Packages Pending FFU,Packages Pending Shipment,Shipped Packages,Min Qty,Max Qty,Initial Qty
Shake Study,Saint Kitts and Nevis,Dennis Gonzales,Dog Patch,LOT-14364098,2028-06-06,1,3,2,1,0,15,68,43
Shake Study,Taiwan,Dennis Gonzales,Dog Patch,LOT-14364098,2028-06-06,3,3,2,4,1,12,112,80
Put Trial,Malawi,Anna Rich,Culture Solution,LOT-59019698,2026-07-17,1,5,2,4,6,13,57,69
Put Trial,Qatar,Anna Rich,Culture Solution,LOT-59019698,2026-07-17,1,6,3,4,1,20,54,20
Put Trial,Saint Kitts and Nevis,Anna Rich,Culture Solution,LOT-59019698,2026-07-17,1,1,0,4,3,11,80,70
Skin Trial,Central African Republic,Bailey Farmer,Artist Solution,LOT-91814441,2026-02-14,3,10,1,0,4,14,54,55
Skin Trial,Swaziland,Bailey Farmer,Artist Solution,LOT-91814441,2026-02-14,5,5,3,1,4,12,117,77
Skin Trial,United States of America,Bailey Farmer,Artist Solution,LOT-91814441,2026-02-14,1,10,0,3,6,13,114,33
City Program,Saudi Arabia,Mary Brewer,Run Solution,LOT-17958339,2027-07-20,2,1,2,0,2,12,74,22
City Program,Finland,Mary Brewer,Run Solution,LOT-17958339,2027-07-20,1,4,0,0,2,15,85,72
City Program,Canada,Mary Brewer,Run Solution,LOT-17958339,2027-07-20,1,10,3,2,2,15,92,30
Compare Study,Togo,Janet Robertson,Happy Solution,LOT-54560092,2026-11-06,0,3,2,2,2,13,76,24
Compare Study,Qatar,Janet Robertson,Happy Solution,LOT-54560092,2026-11-06,4,10,3,1,3,14,109,74
Compare Study,Mali,Janet Robertson,Happy Solution,LOT-54560092,2026-11-06,4,9,0,2,6,17,91,63
Shake Study,Greece,Walter Clark,South Capsule,LOT-79555656,2026-08-02,0,3,0,4,5,16,88,56
Attorney Study,Cote d'Ivoire,Mr. Bryan Guerra,Fund Tablet,LOT-35809899,2026-06-17,4,1,3,3,6,16,95,36
Attorney Study,Tokelau,Mr. Bryan Guerra,Fund Tablet,LOT-35809899,2026-06-17,3,8,1,1,0,10,79,47
Attorney Study,Czech Republic,Mr. Bryan Guerra,Fund Tablet,LOT-35809899,2026-06-17,4,8,0,1,1,13,86,77
Attorney Study,Guadeloupe,Mr. Bryan Guerra,Fund Tablet,LOT-35809899,2026-06-17,0,1,1,1,4,14,62,28
Home Trial,Saint Kitts and Nevis,David Rogers,Traditional Patch,LOT-45953393,2026-01-08,3,2,1,4,5,18,78,74
Home Trial,Swaziland,David Rogers,Traditional Patch,LOT-45953393,2026-01-08,4,6,0,1,0,10,99,57
Home Trial,Central African Republic,David Rogers,Traditional Patch,LOT-45953393,2026-01-08,3,5,0,1,5,10,107,80
Home Trial,Qatar,David Rogers,Traditional Patch,LOT-45953393,2026-01-08,1,6,3,2,1,13,78,33
Myself Program,Kazakhstan,Krista Barry,Stock Patch,LOT-57874485,2025-11-17,5,3,2,0,3,16,66,74
Myself Program,Holy See (Vatican City State),Krista Barry,Stock Patch,LOT-57874485,2025-11-17,4,1,2,2,0,14,92,52
Member Trial,Portugal,Andrea Ross,Oil Tablet,LOT-31439488,2025-09-04,0,6,3,0,0,16,94,73
Member Trial,Lesotho,Andrea Ross,Oil Tablet,LOT-31439488,2025-09-04,4,8,0,4,6,12,107,35
Member Trial,Albania,Andrea Ross,Oil Tablet,LOT-31439488,2025-09-04,5,5,3,4,2,15,106,67
Member Trial,Cote d'Ivoire,Andrea Ross,Oil Tablet,LOT-31439488,2025-09-04,5,9,0,2,0,13,59,20
Majority Trial,Sao Tome and Principe,Harry Walker,Keep Capsule,LOT-62442527,2025-09-06,2,1,1,1,3,18,103,55
Majority Trial,Turkmenistan,Harry Walker,Keep Capsule,LOT-62442527,2025-09-06,2,2,0,0,1,11,56,63
Majority Trial,Holy See (Vatican City State),Harry Walker,Keep Capsule,LOT-62442527,2025-09-06,2,10,1,1,0,18,74,64
Majority Trial,Italy,Harry Walker,Keep Capsule,LOT-62442527,2025-09-06,0,5,2,2,4,11,99,70
Miss Trial,Afghanistan,Rachel Orr,Expect Tablet,LOT-46656333,2026-12-03,1,9,0,2,6,18,52,26
Miss Trial,Holy See (Vatican City State),Rachel Orr,Expect Tablet,LOT-46656333,2026-12-03,5,6,1,2,4,15,101,46
Miss Trial,Central African Republic,Rachel Orr,Expect Tablet,LOT-46656333,2026-12-03,3,2,3,4,2,17,54,49
Pay Study,Kenya,Sherry Murphy,Able Patch,LOT-66123852,2028-07-06,0,9,2,0,2,19,114,68
Pay Study,British Virgin Islands,Sherry Murphy,Able Patch,LOT-66123852,2028-07-06,4,10,1,3,1,10,62,77
Pay Study,Qatar,Sherry Murphy,Able Patch,LOT-66123852,2028-07-06,2,4,0,0,3,12,90,32
Put Trial,Malawi,Amanda Martin,Culture Solution,LOT-59019698,2026-07-17,5,10,3,1,3,14,70,35
Put Trial,United States of America,Amanda Martin,Culture Solution,LOT-59019698,2026-07-17,0,9,2,4,5,10,50,57
Put Trial,Czech Republic,Amanda Martin,Culture Solution,LOT-59019698,2026-07-17,5,6,3,3,1,14,58,60
Put Trial,Saint Kitts and Nevis,Amanda Martin,Culture Solution,LOT-59019698,2026-07-17,1,2,2,3,0,14,55,71
Compare Study,Comoros,Melanie Carter,Happy Solution,LOT-54560092,2026-11-06,0,7,2,1,0,18,117,36
Compare Study,Zambia,Melanie Carter,Happy Solution,LOT-54560092,2026-11-06,0,10,0,4,5,14,56,70
Compare Study,Lesotho,Melanie Carter,Happy Solution,LOT-54560092,2026-11-06,3,6,3,4,6,10,110,39
Recent Trial,Malawi,Ashley Lopez,Issue Patch,LOT-31152831,2025-09-07,5,4,3,3,5,14,109,64
