Batch number,Batch Use,BW: Document Item Number,ID,Inspection Lot Number,Item Category in Purchasing Document,Item number of purchasing document,Level,Material,Order Category,Order item number,Order Number,Plant,Purchasing document number,Record type,Request Transaction Sequence Number,Sales Document,Sold-to Party,Type,Unit of Measure,Vendor Batch Number,Quantity,Material_ID,Plant_ID,Material_Type_ID,Trial Alias
LOT-45953393,Packaging,226013814,523897583,IL5963246,So,600771182,Country,MAT-60599,Body,5B67D985-194,DC052809-D93,AP03,291507039,Transfer,925921922,SD970373,Keller-Hester,Listen,Become,LOT-45953393,151,MAT-60599,AP03,Ancillary Supply,CT-2004-PSX
LOT-94284099,Production,567059231,374986804,IL9011450,Huge,741174418,Study,MAT-60599,Soon,81962565-3BA,A7AEB7DC-2CF,LAT04,746328827,Transfer,698395890,SD886650,"Hoffman, Anthony and Henry",Nothing,Amount,LOT-94284099,221,MAT-60599,LAT04,Ancillary Supply,CT-2004-PSX
LOT-32180264,Production,421748368,400563334,IL2263761,Speech,983433933,Study,MAT-60599,Catch,46866D25-F7F,DC052809-D93,AP03,675368748,Transfer,713106567,SD880167,Foster-Leonard,Interview,Single,LOT-32180264,414,MAT-60599,AP03,Ancillary Supply,CT-2004-PSX
LOT-86533765,Packaging,777370848,515461796,IL4364375,Owner,634125839,Study,MAT-60599,Itself,84B7FABF-DFC,0ACC4422-7D1,EU02,115784205,Production,537778218,SD504476,Perkins Ltd,College,Main,LOT-86533765,107,MAT-60599,EU02,Ancillary Supply,CT-2004-PSX
LOT-39555641,Production,590751770,985749266,IL4887821,Ground,880702263,Site,MAT-32011,A,A3929C23-5C7,BE0807F8-705,EU02,345472872,Production,447573821,SD321249,Mckenzie PLC,Help,Would,LOT-39555641,391,MAT-32011,EU02,Comparator,CT-2004-PSX
LOT-39007987,Packaging,220207003,394045296,IL2950743,Party,914970332,Country,MAT-32011,Sit,F82FA87C-017,577BCE94-FDC,LAT04,209971695,Production,614636751,SD993429,Livingston and Sons,Military,Stand,LOT-39007987,386,MAT-32011,LAT04,Comparator,CT-2004-PSX
LOT-75185716,Packaging,660609429,239685394,IL1045874,Civil,889411865,Study,MAT-97442,War,1237E7EE-E08,B8C67610-950,LAT04,727544787,Transfer,815685589,SD703660,"Lopez, Johnson and Rice",Second,Step,LOT-75185716,337,MAT-97442,LAT04,Comparator,CT-2004-PSX
LOT-51070012,Distribution,238015250,353275914,IL2307703,Ready,783300180,Country,MAT-97442,Environment,7D85A9BB-51A,4D00FA38-F44,AP03,838257571,Transfer,577977193,SD456461,Dixon-Sullivan,Tv,Sing,LOT-51070012,128,MAT-97442,AP03,Comparator,CT-2004-PSX
LOT-68153288,Packaging,897063087,307830893,IL7293802,Somebody,460431837,Country,MAT-97442,Finish,86905D6E-07A,19165D8C-A56,US01,659406205,Production,400413805,SD196669,Harrison-Hicks,Oil,Ability,LOT-68153288,113,MAT-97442,US01,Comparator,CT-2004-PSX
LOT-69596629,Production,673956072,978831838,IL9483101,Then,982621590,Site,MAT-49508,Reflect,D620F7F5-660,F810F57F-82C,AP03,280190607,Production,712203569,SD815908,Matthews-Bradley,Big,Think,LOT-69596629,58,MAT-49508,AP03,Ancillary Supply,CT-6592-IDY
LOT-28252003,Packaging,937215472,513854724,IL3587002,Apply,706230145,Study,MAT-49508,Stuff,7C05434F-BD5,044D2FC6-0A1,LAT04,934428267,Production,499550361,SD322740,"Russell, Tran and Sanchez",Pay,Different,LOT-28252003,72,MAT-49508,LAT04,Ancillary Supply,CT-6592-IDY
LOT-66123852,Production,138879572,325043554,IL6732862,Country,463405514,Site,MAT-49508,Look,3927BB78-AC5,24B63DC5-4E0,EU02,742130024,Production,550628033,SD104811,Rivera-Thompson,Continue,None,LOT-66123852,266,MAT-49508,EU02,Ancillary Supply,CT-6592-IDY
LOT-77757177,Distribution,433787539,915448841,IL7783949,Suggest,387469401,Country,MAT-17085,Some,CC4ACAE6-0A8,A8BF7403-DA8,EU02,415060186,Production,808179102,SD474089,Neal-Smith,Listen,Pull,LOT-77757177,91,MAT-17085,EU02,Investigational Product,CT-6592-IDY
LOT-19994803,Packaging,593486359,980890843,IL9677547,Tell,474590457,Country,MAT-17085,Clear,BE0807F8-705,7EA3E715-4EB,AP03,167708299,Production,959341261,SD315649,Hansen Ltd,Fear,Join,LOT-19994803,436,MAT-17085,AP03,Investigational Product,CT-6592-IDY
LOT-45619384,Packaging,522396324,853844053,IL1266760,This,634320981,Country,MAT-17085,Order,E09D9D69-D6E,577BCE94-FDC,LAT04,997997482,Production,797613940,SD230303,Oneill-Norman,Simply,Yard,LOT-45619384,100,MAT-17085,LAT04,Investigational Product,CT-6592-IDY
LOT-26474824,Production,327811774,181969516,IL9457789,Space,438991935,Country,MAT-84265,Than,F82FA87C-017,2D1D3AF0-A99,US01,114622945,Production,942257291,SD518478,Hardy Group,Risk,Produce,LOT-26474824,71,MAT-84265,US01,Ancillary Supply,CT-8970-PLO
LOT-43759862,Packaging,246772104,796641358,IL8640105,Day,405287391,Site,MAT-84265,Everything,694E96DC-2A6,AD35DE4B-215,AP03,746280886,Transfer,969071921,SD133012,Anderson-Oliver,Career,Probably,LOT-43759862,196,MAT-84265,AP03,Ancillary Supply,CT-8970-PLO
LOT-84562329,Production,581057747,129143571,IL6315474,White,421653598,Site,MAT-82398,Indicate,654F1F56-570,99D24A00-746,AP03,466499875,Transfer,309778741,SD647566,Martinez and Sons,Mention,Go,LOT-84562329,260,MAT-82398,AP03,Investigational Product,CT-8970-PLO
LOT-74101873,Packaging,471085375,318893361,IL4458830,Explain,845286089,Country,MAT-82398,Left,A124C449-F40,954B5F54-FC0,US01,475012261,Production,156949856,SD474217,Simon-Hernandez,We,Understand,LOT-74101873,131,MAT-82398,US01,Investigational Product,CT-8970-PLO
LOT-91814441,Production,264212790,194803955,IL1858634,Artist,106494943,Country,MAT-85304,Strategy,F038C3DD-DF4,EC2064DF-354,LAT04,583771203,Transfer,507939206,SD197107,Castaneda-Kennedy,See,Method,LOT-91814441,141,MAT-85304,LAT04,Ancillary Supply,CT-8970-PLO
LOT-65133728,Packaging,610539709,371671858,IL9034633,Officer,265668847,Country,MAT-85304,Us,9F746DC7-45B,21ED0BE4-ED0,EU02,812996687,Production,151383129,SD344831,Ramos PLC,Face,Newspaper,LOT-65133728,348,MAT-85304,EU02,Ancillary Supply,CT-8970-PLO
LOT-14354504,Production,572411144,287691526,IL3991522,Likely,302400597,Site,MAT-86920,And,D620F7F5-660,19B119B0-986,EU02,259690430,Production,664196634,SD950694,Williams Group,Fear,Because,LOT-14354504,215,MAT-86920,EU02,Investigational Product,CT-8970-PLO
LOT-44689282,Packaging,607505130,400314671,IL6617462,Loss,166963683,Country,MAT-86920,Next,6578EBA2-254,37399508-4AE,EU02,520733170,Production,481688593,SD548036,Freeman PLC,Society,Determine,LOT-44689282,218,MAT-86920,EU02,Investigational Product,CT-8970-PLO
LOT-24616505,Production,250340551,186166805,IL2001047,Push,768257217,Site,MAT-86920,Cost,13D23ECC-032,BE0807F8-705,EU02,235580691,Transfer,213149658,SD478331,"Hopkins, Brown and Bailey",Employee,Gas,LOT-24616505,167,MAT-86920,EU02,Investigational Product,CT-8970-PLO
LOT-91428756,Packaging,414346895,569480745,IL6978273,Wish,865832157,Site,MAT-42350,Agent,46866D25-F7F,E1DECF3D-AD6,EU02,622728359,Production,153804998,SD524326,"Kim, Padilla and Horton",Travel,Our,LOT-91428756,174,MAT-42350,EU02,Comparator,CT-5806-JWO
LOT-80893385,Production,995791228,911074859,IL9846081,Assume,729797840,Study,MAT-42350,Again,9313CC9E-3F2,805781A7-E1A,LAT04,169293867,Transfer,576020776,SD763673,Lee LLC,Happy,Three,LOT-80893385,475,MAT-42350,LAT04,Comparator,CT-5806-JWO
LOT-17051687,Packaging,442447375,911111791,IL4152002,Boy,975441219,Site,MAT-81584,May,10DC3E02-6DA,9E01693A-016,US01,874520970,Transfer,277043652,SD283796,Farmer-Cortez,Likely,Cold,LOT-17051687,374,MAT-81584,US01,Comparator,CT-5806-JWO
LOT-62532897,Packaging,996463258,862979800,IL7456096,Never,980322564,Site,MAT-81584,Five,3FCA798E-FD6,2F2C7D94-2CE,EU02,942921461,Production,481728129,SD437728,Vaughn Inc,Maybe,Give,LOT-62532897,331,MAT-81584,EU02,Comparator,CT-5806-JWO
LOT-89350866,Packaging,177641666,697222775,IL6233972,Involve,568598094,Country,MAT-81584,Choose,30986C0B-785,053A9347-DD8,AP03,847305149,Production,483048395,SD804909,"Butler, Gonzales and Fowler",Sometimes,Garden,LOT-89350866,302,MAT-81584,AP03,Comparator,CT-5806-JWO
LOT-26730959,Distribution,329648746,579799905,IL3297870,Door,964963447,Study,MAT-81584,Bit,71D8D50F-7AE,87528E6A-790,EU02,558979203,Production,244553162,SD184033,Miller LLC,Order,Trouble,LOT-26730959,430,MAT-81584,EU02,Comparator,CT-5806-JWO
LOT-70504064,Distribution,943499270,519081652,IL7419679,Nearly,862676151,Country,MAT-26378,Board,423FCCAC-9C3,420B1E11-8DA,US01,358141821,Transfer,807705697,SD315635,Munoz Ltd,In,Watch,LOT-70504064,276,MAT-26378,US01,Investigational Product,CT-5806-JWO
LOT-92761826,Production,387015201,635725620,IL8680816,Science,732439658,Study,MAT-26378,Then,502EC192-A84,6EDC0958-393,AP03,422434103,Production,646963593,SD748114,Little-Blanchard,Sort,Likely,LOT-92761826,132,MAT-26378,AP03,Investigational Product,CT-5806-JWO
LOT-53734310,Distribution,871755854,518577329,IL1337657,Although,188658685,Country,MAT-39857,Through,49D908EC-D19,7697D79B-3FA,EU02,802833781,Production,194923560,SD524131,Lloyd-Hart,Instead,Common,LOT-53734310,282,MAT-39857,EU02,Ancillary Supply,CT-5806-JWO
LOT-60891080,Production,719039847,450455926,IL5313986,Community,899579106,Country,MAT-39857,Different,60F22C34-AA2,D620F7F5-660,LAT04,794556471,Transfer,169472805,SD617532,"Johnson, Rodriguez and Stephens",Position,Arrive,LOT-60891080,139,MAT-39857,LAT04,Ancillary Supply,CT-5806-JWO
LOT-92879466,Distribution,727974955,704527664,IL9243225,Vote,186173198,Study,MAT-91309,Million,9853B6AB-C01,053A9347-DD8,AP03,553172995,Production,639142783,SD794981,Wagner-Jones,Him,Perform,LOT-92879466,331,MAT-91309,AP03,Comparator,CT-8015-GMQ
LOT-93844966,Production,635824040,931643580,IL5831238,Number,947915712,Study,MAT-91309,Everybody,6BBDED17-78C,23447E8F-F1B,EU02,385167737,Transfer,290042116,SD722017,Soto-Huffman,Friend,Coach,LOT-93844966,499,MAT-91309,EU02,Comparator,CT-8015-GMQ
LOT-23670572,Production,935153353,788672841,IL8052046,Near,134855873,Country,MAT-91309,Focus,53E512B4-F07,38951FD6-B03,US01,346586209,Production,186460027,SD792691,Webb and Sons,Perhaps,Go,LOT-23670572,98,MAT-91309,US01,Comparator,CT-8015-GMQ
LOT-49095565,Distribution,490736191,799344787,IL3098268,Let,570859674,Site,MAT-74459,Father,4C90F0B2-38C,7F8EA55C-605,EU02,136221932,Transfer,892587612,SD612112,Thomas Group,Various,Happy,LOT-49095565,168,MAT-74459,EU02,Investigational Product,CT-8015-GMQ
LOT-21570201,Packaging,730876692,193900251,IL8883458,Responsibility,225351484,Site,MAT-74459,Body,3FCA798E-FD6,6578EBA2-254,US01,157983714,Transfer,558328762,SD607650,"Coleman, Harper and White",Single,Investment,LOT-21570201,459,MAT-74459,US01,Investigational Product,CT-8015-GMQ
LOT-60549611,Distribution,407473106,958518107,IL3695636,Training,891336751,Study,MAT-66331,Develop,A124C449-F40,84B7FABF-DFC,AP03,254681463,Transfer,670649832,SD529175,"Porter, Spence and Marshall",Fall,Require,LOT-60549611,302,MAT-66331,AP03,Investigational Product,CT-8872-GKR
