Alternative BOM Id,Alternative BOM Text,Batch Id,Bill of material,BOM component Id,BomItem Category Description,BOM Item Number,BOM status,BOM text,BOM Usage,Bom Usage Description,Change Date Component,Change Date Header,Component Mat Type Desc,Co-Product flag,Costing Relevancy Flag,Create Date Component,Create Date Header,Item category bill of material,Item ID,Item ID STAS,Material Type,Material Number,Next Inspection Date,Phantom Item flag,Plant,Special procurement type for BOM item,UOM Header,Uom Id Component,Material Component,Trial Alias
754381749,Begin community trip,BATCH-598626,BOM-95304,MAT-60599,Phantom Item,370352016,Active,These fear purpose,Ready,Food artist friend mention gun,2024-09-11,2025-11-04,News,No,4427.17,2023-11-22,2024-09-11,Any,142217829,544104767,Ancillary Supply,MAT-60599,2024-01-09,Yes,AP03,Nation,Imagine,650995559,MAT-60599,CT-2004-PSX
348465555,With when industry,BATCH-839504,BOM-79093,MAT-32011,Phantom Item,172038844,Active,Matter hotel work office,Develop,Example sign someone laugh,2025-02-23,2023-12-01,Maybe,Yes,1644.5,2023-12-29,2026-06-28,Easy,808715604,659899862,Ancillary Supply,MAT-60599,2024-06-08,Yes,AP03,Draw,Several,185616218,MAT-32011,CT-2004-PSX
364854409,Dream effect building green billion,BATCH-726100,BOM-84226,MAT-97442,Stock Item,315287131,Active,Green wonder,Time,Happen very center,2026-07-04,2025-10-15,Recognize,Yes,873.81,2025-11-07,2026-05-25,Color,242694177,950030011,Ancillary Supply,MAT-60599,2024-12-23,Yes,EU02,Out,Own,348882872,MAT-97442,CT-2004-PSX
734124545,Pull study teach note,BATCH-746507,BOM-27465,MAT-60599,Stock Item,308335631,Active,Fire actually ago,Since,Two public PM not,2024-04-16,2024-08-21,Week,No,4673.01,2026-08-16,2025-06-09,Sound,135829511,460377353,Comparator,MAT-32011,2024-11-15,Yes,EU02,Else,Third,411409381,MAT-60599,CT-2004-PSX
493331873,She me analysis behind suffer,BATCH-356383,BOM-48793,MAT-32011,Phantom Item,917133151,Obsolete,Former best side view a,Direction,One management,2024-01-17,2025-08-16,Discover,No,2764.15,2026-10-03,2026-02-18,Product,528663527,201022437,Comparator,MAT-32011,2025-08-13,No,US01,Reveal,Simple,895694706,MAT-32011,CT-2004-PSX
996592412,Lead anyone at identify,BATCH-715121,BOM-39543,MAT-97442,Phantom Item,254218416,Obsolete,Past option,Picture,Scientist sometimes month score,2026-09-16,2024-04-01,Also,No,1824.21,2024-07-27,2025-04-28,Away,951988613,764675831,Comparator,MAT-32011,2024-04-24,Yes,US01,According,Maintain,192314980,MAT-97442,CT-2004-PSX
333997723,Boy up attorney number pass,BATCH-950505,BOM-97836,MAT-60599,Phantom Item,489293981,Active,Traditional image large something purpose,Sea,Support go ever movement,2026-04-23,2024-03-31,Citizen,Yes,1175.92,2025-07-16,2024-07-15,Director,778159892,623062597,Comparator,MAT-97442,2024-09-26,No,EU02,Someone,Suffer,380055586,MAT-60599,CT-2004-PSX
590403156,Clearly game government side,BATCH-236472,BOM-26332,MAT-32011,Phantom Item,133462826,Active,Herself assume quickly should,Environmental,Current forget fish,2025-11-21,2024-05-26,With,No,2993.7,2024-05-22,2026-04-12,Discussion,412728322,636192749,Comparator,MAT-97442,2025-08-01,Yes,AP03,Toward,Radio,763305712,MAT-32011,CT-2004-PSX
450857391,Foreign here television throughout,BATCH-161494,BOM-82288,MAT-97442,Phantom Item,862529052,Active,Knowledge find majority market,Environment,Respond none similar easy,2024-06-06,2024-12-29,Marriage,Yes,1740.31,2025-10-15,2025-05-10,Get,210594151,390386469,Comparator,MAT-97442,2025-05-13,Yes,EU02,Guess,Strategy,904840697,MAT-97442,CT-2004-PSX
150639816,Son team executive south,BATCH-967253,BOM-92589,MAT-49508,Phantom Item,609018873,Active,Different man,Your,Recently she think,2025-07-06,2024-10-26,Nearly,Yes,4763.08,2024-12-15,2026-04-03,Conference,315659772,286338442,Ancillary Supply,MAT-49508,2026-08-22,Yes,AP03,Charge,Media,386542741,MAT-49508,CT-6592-IDY
