trial_alias,lpn,location_id,class,lot_number,item_number,description,expiration_date,sap_plant,sap_destroy_after_dt,actual_qty,warehouse_id,warehouse_name,warehouse_country
CT-6910-RDE,LPN8384714575,LOC-19579,Ambient,LOT-14364098,MAT-93657,Dog Patch,2028-06-06,LAT04,2028-08-05,20,WH-294,Coreyshire Logistics Center,Saint Kitts and Nevis
CT-6910-RDE,LPN5594961323,LOC-89119,Frozen,LOT-14364098,MAT-93657,Dog Patch,2028-06-06,EU02,2028-08-05,47,WH-705,New Thomas Logistics Center,Taiwan
CT-3472-PNG,LPN1140451457,LOC-48979,Cold Chain,LOT-59019698,MAT-22152,Culture Solution,2026-07-17,AP03,2026-09-15,16,WH-860,South Jennifer Logistics Center,Malawi
CT-3472-PNG,LPN8927705036,LOC-32471,Cold Chain,LOT-59019698,MAT-22152,Culture Solution,2026-07-17,LAT04,2026-09-15,42,WH-856,New Amymouth Logistics Center,Qatar
CT-3472-PNG,LPN4771810246,LOC-48731,Cold Chain,LOT-59019698,MAT-22152,Culture Solution,2026-07-17,EU02,2026-09-15,21,WH-294,Coreyshire Logistics Center,Saint Kitts and Nevis
CT-8970-PLO,LPN8395771554,LOC-18678,Cold Chain,LOT-91814441,MAT-85304,Artist Solution,2026-02-14,US01,2026-04-15,32,WH-361,East Matthewton Logistics Center,Central African Republic
CT-8970-PLO,LPN5821630329,LOC-39942,Frozen,LOT-91814441,MAT-85304,Artist Solution,2026-02-14,LAT04,2026-04-15,27,WH-736,Jordanmouth Logistics Center,Swaziland
CT-8970-PLO,LPN3847743216,LOC-58514,Ambient,LOT-91814441,MAT-85304,Artist Solution,2026-02-14,EU02,2026-04-15,35,WH-816,Georgeview Logistics Center,United States of America
CT-6109-EDZ,LPN4662356193,LOC-73315,Frozen,LOT-17958339,MAT-86168,Run Solution,2027-07-20,EU02,2027-09-18,15,WH-509,North Johnburgh Logistics Center,Saudi Arabia
CT-6109-EDZ,LPN2542393025,LOC-34019,Cold Chain,LOT-17958339,MAT-86168,Run Solution,2027-07-20,EU02,2027-09-18,48,WH-735,Carterbury Logistics Center,Finland
CT-6109-EDZ,LPN5838267578,LOC-54966,Ambient,LOT-17958339,MAT-86168,Run Solution,2027-07-20,US01,2027-09-18,40,WH-378,Freemanmouth Logistics Center,Canada
CT-8742-ECD,LPN9224722251,LOC-66887,Frozen,LOT-54560092,MAT-15875,Happy Solution,2026-11-06,US01,2027-01-05,49,WH-921,Lake Jonathan Logistics Center,Togo
CT-8742-ECD,LPN2932157337,LOC-71415,Cold Chain,LOT-54560092,MAT-15875,Happy Solution,2026-11-06,LAT04,2027-01-05,19,WH-856,New Amymouth Logistics Center,Qatar
CT-8742-ECD,LPN4439802715,LOC-14140,Cold Chain,LOT-54560092,MAT-15875,Happy Solution,2026-11-06,US01,2027-01-05,47,WH-864,Jonesville Logistics Center,Mali
CT-6910-RDE,LPN1080823258,LOC-71424,Ambient,LOT-79555656,MAT-33689,South Capsule,2026-08-02,US01,2026-10-01,16,WH-375,South Nathanmouth Logistics Center,Greece
