trial_alias,country_name,enrollment_level,total_enrolled_forecast,total_enrolled_planned,total_enrolled_actual,enrollment_rate_monthly_actual
CT-2004-PSX,Zimbabwe,Country,164,175,155,3.11
CT-2004-PSX,Puerto Rico,Site,153,151,136,2.73
CT-2004-PSX,Christmas Island,Site,82,97,79,1.58
CT-2004-PSX,Guinea-Bissau,Study,196,191,192,3.85
CT-6592-IDY,Paraguay,Study,233,213,216,8.14
CT-6592-IDY,Barbados,Site,115,98,101,3.81
CT-8970-PLO,Aruba,Country,224,209,196,3.74
CT-8970-PLO,Liechtenstein,Country,193,199,192,3.66
CT-8970-PLO,Mozambique,Study,88,95,102,1.95
CT-5806-JWO,Papua New Guinea,Country,127,123,132,3.55
CT-5806-JWO,Algeria,Site,219,215,230,6.18
CT-5806-JWO,Guyana,Site,182,179,180,4.84
CT-5806-JWO,Nicaragua,Country,191,181,162,4.35
CT-5806-JWO,Pakistan,Site,159,162,147,3.95
CT-5806-JWO,Bulgaria,Site,200,197,189,5.08
CT-8015-GMQ,Serbia,Study,112,103,93,6.37
CT-8015-GMQ,Morocco,Site,206,205,196,13.42
CT-8015-GMQ,Marshall Islands,Country,127,126,135,9.25
CT-8015-GMQ,Guam,Study,147,138,141,9.66
CT-8015-GMQ,Anguilla,Study,149,151,159,10.89
CT-8872-GKR,Philippines,Study,133,140,138,4.19
CT-8872-GKR,Cambodia,Country,91,87,89,2.7
CT-8872-GKR,British Virgin Islands,Study,71,85,83,2.52
CT-1696-SCY,Haiti,Site,230,213,201,11.51
CT-1696-SCY,Guyana,Study,211,204,202,11.56
CT-1696-SCY,Dominican Republic,Country,90,94,105,6.01
CT-1696-SCY,Kazakhstan,Study,72,87,81,4.64
CT-3228-ZKT,Sudan,Country,142,145,155,6.53
CT-3228-ZKT,Thailand,Study,125,105,118,4.97
CT-3228-ZKT,Comoros,Country,141,122,133,5.6
CT-3228-ZKT,South Georgia and the South Sandwich Islands,Study,86,95,92,3.88
CT-6910-RDE,Pakistan,Country,132,115,105,2.39
CT-6910-RDE,Hungary,Site,122,103,103,2.35
CT-6910-RDE,Russian Federation,Site,194,175,182,4.15
CT-8742-ECD,Korea,Country,172,152,146,3.45
CT-8742-ECD,Nauru,Study,133,125,106,2.51
CT-8742-ECD,San Marino,Study,151,133,129,3.05
CT-7047-GQC,Japan,Country,130,123,112,2.19
CT-7047-GQC,India,Country,220,213,215,4.21
CT-7047-GQC,Tunisia,Country,147,129,136,2.66
CT-7047-GQC,Indonesia,Country,180,190,183,3.58
CT-7047-GQC,Czech Republic,Country,179,160,168,3.29
CT-1816-RCG,United States of America,Study,197,204,192,6.44
CT-1816-RCG,Barbados,Site,123,136,119,3.99
CT-6109-EDZ,Guam,Site,184,198,191,9.76
