trial_alias,site_id,order_number,ivrs_number,status,order_date,requested_delivery_date,actual_delivery_date
CT-6910-RDE,SITE-170,C87DA7B5-D02,IVRS-6157916,Completed,2025-01-14,2025-02-09,2025-02-13
CT-3472-PNG,SITE-297,502EC192-A84,IVRS-2388109,Released,2025-05-16,2025-06-09,2025-06-06
CT-8970-PLO,SITE-114,D30AB6AE-A77,IVRS-4315303,In Progress,2025-10-03,2025-10-23,2025-10-23
CT-6109-EDZ,SITE-199,93E2AB3B-625,IVRS-4291446,Completed,2025-06-07,2025-06-28,2025-07-02
CT-8742-ECD,SITE-172,49D908EC-D19,IVRS-7971990,Closed,2025-06-21,2025-07-10,2025-07-12
CT-6910-RDE,SITE-165,7F8EA55C-605,IVRS-7726215,Created,2024-12-14,2024-12-31,2025-01-03
CT-5014-EEP,SITE-248,AB2CA71A-47C,IVRS-2723041,Created,2024-12-07,2024-12-28,2025-01-01
CT-2004-PSX,SITE-102,EA3FBE37-E91,IVRS-4769342,Completed,2025-01-28,2025-02-06,2025-02-11
CT-9831-IEW,SITE-207,C2863B49-6B7,IVRS-1998545,Released,2025-03-12,2025-04-06,2025-04-08
CT-7484-BIH,SITE-269,7EA3E715-4EB,IVRS-7581158,Created,2025-10-26,2025-11-20,2025-11-21
CT-3395-UCM,SITE-218,F52B62BD-E91,IVRS-3870385,Created,2025-04-30,2025-05-13,2025-05-18
CT-1696-SCY,SITE-147,D465FA61-668,IVRS-8181960,Closed,2025-02-18,2025-03-04,2025-03-01
CT-6592-IDY,SITE-110,BAFF899E-7D4,IVRS-1220984,Closed,2024-11-19,2024-12-06,2024-12-08
CT-3472-PNG,SITE-303,082EC977-749,IVRS-9274649,Closed,2025-09-04,2025-09-27,2025-10-01
CT-8742-ECD,SITE-176,1DE4A4D7-80D,IVRS-1922547,Released,2025-10-20,2025-11-13,2025-11-10
CT-7487-KNX,SITE-278,4FFC728A-450,IVRS-8988738,In Progress,2025-10-03,2025-10-16,2025-10-15
CT-6551-IBW,SITE-291,BE0807F8-705,IVRS-9585020,Released,2025-04-08,2025-04-23,2025-04-27
CT-9781-BYC,SITE-306,C863EED3-4DE,IVRS-8020569,Created,2025-02-23,2025-03-24,2025-03-26
CT-9831-IEW,SITE-211,1591A2AC-D6F,IVRS-8389313,Released,2024-12-27,2025-01-18,2025-01-22
CT-7484-BIH,SITE-268,805781A7-E1A,IVRS-3778607,Completed,2025-04-11,2025-05-02,2025-05-06
CT-8742-ECD,SITE-178,13D53FD1-2EA,IVRS-6252308,In Progress,2025-09-26,2025-10-09,2025-10-12
CT-3230-HFO,SITE-285,354C0CEF-9FF,IVRS-9437930,Completed,2025-03-14,2025-04-05,2025-04-03
CT-8742-ECD,SITE-173,48F49FFF-6F5,IVRS-9806082,Released,2024-12-12,2024-12-27,2025-01-01
CT-2004-PSX,SITE-106,37399508-4AE,IVRS-3335477,Closed,2025-10-15,2025-11-02,2025-11-01
CT-8970-PLO,SITE-113,9CBEBD35-414,IVRS-9862741,Created,2025-03-19,2025-03-30,2025-03-28
CT-6910-RDE,SITE-171,0559EAA9-2EA,IVRS-7888109,In Progress,2025-03-29,2025-04-22,2025-04-24
CT-8742-ECD,SITE-176,AAD7229E-CD6,IVRS-1889621,Created,2024-12-16,2025-01-07,2025-01-12
CT-3636-AVP,SITE-261,7ECBBF33-951,IVRS-3198147,Closed,2025-01-22,2025-02-16,2025-02-15
CT-6551-IBW,SITE-293,F892BADA-B88,IVRS-1016406,In Progress,2025-07-07,2025-07-24,2025-07-23
CT-8015-GMQ,SITE-133,216A0628-CE4,IVRS-1503696,Closed,2025-06-24,2025-07-07,2025-07-05
CT-3472-PNG,SITE-295,661396B5-BE2,IVRS-2370884,Released,2025-05-14,2025-05-26,2025-05-24
CT-3636-AVP,SITE-259,C1EDEFA4-014,IVRS-9974130,Completed,2025-11-02,2025-11-27,2025-11-26
CT-5014-EEP,SITE-244,6779AAB3-F3B,IVRS-8392394,Released,2025-08-06,2025-09-04,2025-09-05
CT-5014-EEP,SITE-250,C39FF96A-D71,IVRS-6170996,Released,2025-05-13,2025-05-24,2025-05-21
CT-6551-IBW,SITE-293,23447E8F-F1B,IVRS-5593164,Created,2025-07-17,2025-07-29,2025-07-26
CT-6592-IDY,SITE-110,D620F7F5-660,IVRS-1703231,Created,2025-03-20,2025-04-16,2025-04-16
CT-6551-IBW,SITE-293,9D1D8DAF-160,IVRS-3130267,In Progress,2024-12-24,2025-01-03,2025-01-07
CT-3228-ZKT,SITE-159,CCD65B39-FFB,IVRS-9670923,Created,2024-12-14,2025-01-11,2025-01-13
CT-1696-SCY,SITE-152,D9F20807-A58,IVRS-2832215,Created,2025-03-17,2025-03-31,2025-03-28
CT-3636-AVP,SITE-252,053A9347-DD8,IVRS-2047039,Completed,2025-02-08,2025-02-25,2025-02-24
CT-6910-RDE,SITE-171,33A5606D-712,IVRS-1220297,Released,2025-05-15,2025-06-14,2025-06-16
CT-9771-CZL,SITE-235,EC2064DF-354,IVRS-5514007,Released,2024-12-06,2024-12-13,2024-12-10
CT-3230-HFO,SITE-285,C061C212-E16,IVRS-9394580,In Progress,2025-08-23,2025-09-02,2025-08-30
CT-7487-KNX,SITE-276,333F654A-085,IVRS-9889808,Closed,2025-07-20,2025-08-08,2025-08-06
CT-6910-RDE,SITE-165,91976714-574,IVRS-3752853,Created,2025-07-26,2025-08-10,2025-08-14
CT-8872-GKR,SITE-145,43A721B6-D4D,IVRS-7453252,Released,2025-09-25,2025-10-15,2025-10-13
CT-3472-PNG,SITE-296,CDED8377-18B,IVRS-5854884,In Progress,2025-06-30,2025-07-28,2025-07-29
CT-7487-KNX,SITE-279,E1DECF3D-AD6,IVRS-4769828,Closed,2025-03-16,2025-04-15,2025-04-16
CT-3230-HFO,SITE-281,F5EA0FB0-86D,IVRS-3583450,Closed,2025-04-03,2025-04-18,2025-04-18
CT-9831-IEW,SITE-207,A66ABC3D-ED8,IVRS-4051848,In Progress,2025-10-14,2025-10-24,2025-10-22
CT-3228-ZKT,SITE-160,95696318-323,IVRS-4174074,Created,2025-01-04,2025-01-29,2025-01-30
CT-5014-EEP,SITE-249,A7AEB7DC-2CF,IVRS-3184908,In Progress,2025-07-15,2025-07-23,2025-07-21
CT-9831-IEW,SITE-208,D4D67F91-29D,IVRS-3234410,Released,2025-02-23,2025-03-20,2025-03-24
CT-8970-PLO,SITE-116,06816510-E5D,IVRS-7154961,Closed,2025-08-03,2025-08-16,2025-08-20
