Trial Alias,Country,Site,Year,"Months (Jan, Feb.. Dec)"
CT-2004-PSX,Zimbabwe,SITE-101,2025,"5, 4, 5, 4, 6, 0, 8, 10, 4, 8, 4, 8"
CT-2004-PSX,Puerto Rico,SITE-102,2025,"2, 0, 0, 3, 3, 10, 1, 4, 0, 3, 7, 1"
CT-2004-PSX,Puerto Rico,SITE-103,2025,"6, 10, 2, 4, 10, 10, 7, 6, 0, 8, 6, 3"
CT-2004-PSX,Christmas Island,SITE-104,2025,"7, 6, 3, 1, 8, 0, 1, 4, 0, 0, 6, 6"
CT-2004-PSX,Christmas Island,SITE-105,2025,"1, 9, 2, 10, 9, 7, 6, 2, 5, 2, 0, 8"
CT-2004-PSX,Guinea-Bissau,SITE-106,2025,"4, 2, 3, 6, 6, 6, 10, 1, 3, 7, 7, 1"
CT-2004-PSX,Guinea-Bissau,SITE-107,2025,"0, 6, 2, 8, 5, 9, 0, 8, 8, 1, 4, 9"
CT-2004-PSX,Guinea-Bissau,SITE-108,2025,"0, 10, 4, 0, 8, 0, 1, 4, 10, 5, 2, 0"
CT-6592-IDY,Paraguay,SITE-109,2025,"2, 0, 7, 9, 4, 8, 7, 1, 6, 4, 4, 7"
CT-6592-IDY,Barbados,SITE-110,2025,"5, 0, 10, 3, 6, 1, 3, 9, 1, 2, 5, 0"
CT-8970-PLO,Aruba,SITE-111,2025,"3, 8, 5, 10, 6, 2, 3, 6, 3, 8, 9, 0"
CT-8970-PLO,Aruba,SITE-112,2025,"2, 8, 3, 3, 10, 1, 3, 8, 5, 6, 10, 0"
CT-8970-PLO,Liechtenstein,SITE-113,2025,"10, 8, 8, 4, 9, 9, 10, 7, 7, 2, 3, 1"
CT-8970-PLO,Liechtenstein,SITE-114,2025,"0, 2, 3, 1, 7, 2, 5, 3, 9, 3, 3, 6"
CT-8970-PLO,Liechtenstein,SITE-115,2025,"7, 10, 8, 5, 3, 6, 4, 6, 6, 2, 3, 1"
CT-8970-PLO,Mozambique,SITE-116,2025,"4, 6, 6, 10, 7, 9, 9, 2, 1, 9, 6, 7"
CT-8970-PLO,Mozambique,SITE-117,2025,"2, 6, 10, 5, 7, 5, 0, 10, 1, 6, 5, 2"
CT-8970-PLO,Mozambique,SITE-118,2025,"0, 3, 7, 8, 1, 6, 6, 7, 10, 10, 0, 1"
CT-5806-JWO,Papua New Guinea,SITE-119,2025,"4, 1, 6, 9, 5, 4, 0, 8, 0, 8, 0, 9"
CT-5806-JWO,Algeria,SITE-120,2025,"9, 9, 1, 9, 9, 9, 10, 4, 9, 5, 8, 10"
CT-5806-JWO,Algeria,SITE-121,2025,"10, 1, 7, 6, 4, 6, 5, 8, 2, 7, 4, 3"
CT-5806-JWO,Algeria,SITE-122,2025,"5, 6, 6, 2, 6, 9, 4, 4, 0, 5, 1, 2"
CT-5806-JWO,Guyana,SITE-123,2025,"4, 8, 6, 2, 3, 6, 4, 6, 7, 7, 3, 7"
CT-5806-JWO,Guyana,SITE-124,2025,"8, 0, 8, 1, 6, 9, 3, 7, 8, 6, 10, 6"
CT-5806-JWO,Nicaragua,SITE-125,2025,"3, 7, 10, 9, 5, 8, 2, 7, 2, 3, 3, 6"
CT-5806-JWO,Nicaragua,SITE-126,2025,"8, 3, 4, 1, 0, 5, 4, 7, 10, 3, 0, 2"
CT-5806-JWO,Pakistan,SITE-127,2025,"2, 10, 6, 0, 0, 8, 7, 3, 8, 8, 5, 3"
CT-5806-JWO,Bulgaria,SITE-128,2025,"9, 7, 10, 3, 1, 7, 2, 0, 4, 9, 6, 1"
CT-5806-JWO,Bulgaria,SITE-129,2025,"8, 2, 4, 9, 6, 8, 5, 4, 10, 0, 4, 1"
CT-8015-GMQ,Serbia,SITE-130,2025,"0, 5, 0, 4, 4, 5, 5, 6, 0, 4, 7, 10"
CT-8015-GMQ,Serbia,SITE-131,2025,"10, 8, 0, 9, 0, 1, 6, 6, 5, 4, 6, 1"
CT-8015-GMQ,Morocco,SITE-132,2025,"0, 2, 9, 9, 5, 7, 0, 9, 8, 6, 7, 6"
CT-8015-GMQ,Morocco,SITE-133,2025,"4, 3, 2, 4, 0, 5, 10, 9, 1, 8, 10, 5"
CT-8015-GMQ,Marshall Islands,SITE-134,2025,"8, 10, 5, 8, 3, 4, 1, 9, 3, 8, 8, 9"
CT-8015-GMQ,Marshall Islands,SITE-135,2025,"6, 2, 0, 9, 3, 1, 1, 0, 3, 9, 10, 2"
CT-8015-GMQ,Marshall Islands,SITE-136,2025,"1, 8, 5, 3, 2, 8, 3, 4, 3, 10, 0, 3"
CT-8015-GMQ,Guam,SITE-137,2025,"8, 4, 8, 8, 8, 3, 8, 0, 1, 5, 9, 8"
CT-8015-GMQ,Anguilla,SITE-138,2025,"10, 1, 9, 4, 2, 3, 8, 9, 10, 3, 3, 7"
CT-8015-GMQ,Anguilla,SITE-139,2025,"3, 0, 10, 5, 10, 7, 7, 10, 8, 7, 8, 3"
CT-8015-GMQ,Anguilla,SITE-140,2025,"6, 1, 6, 7, 1, 8, 4, 6, 4, 10, 6, 10"
CT-8872-GKR,Philippines,SITE-141,2025,"4, 2, 6, 6, 5, 6, 3, 7, 5, 8, 8, 8"
CT-8872-GKR,Philippines,SITE-142,2025,"3, 2, 7, 3, 6, 4, 3, 1, 0, 1, 2, 8"
CT-8872-GKR,Philippines,SITE-143,2025,"8, 7, 7, 9, 1, 2, 0, 6, 9, 6, 4, 8"
CT-8872-GKR,Cambodia,SITE-144,2025,"7, 4, 8, 8, 2, 8, 8, 9, 5, 9, 10, 7"
CT-8872-GKR,Cambodia,SITE-145,2025,"8, 0, 10, 1, 8, 3, 1, 6, 8, 5, 0, 3"
CT-8872-GKR,British Virgin Islands,SITE-146,2025,"10, 10, 3, 6, 9, 7, 7, 10, 2, 7, 2, 0"
CT-1696-SCY,Haiti,SITE-147,2025,"9, 2, 4, 2, 6, 2, 5, 6, 9, 9, 10, 0"
CT-1696-SCY,Haiti,SITE-148,2025,"9, 7, 7, 5, 9, 1, 7, 3, 1, 4, 2, 3"
CT-1696-SCY,Guyana,SITE-149,2025,"5, 1, 9, 6, 0, 9, 3, 3, 6, 3, 8, 7"
CT-1696-SCY,Guyana,SITE-150,2025,"0, 4, 7, 0, 4, 4, 5, 4, 1, 0, 0, 0"
CT-1696-SCY,Guyana,SITE-151,2025,"3, 7, 6, 10, 1, 2, 9, 3, 2, 6, 0, 10"
CT-1696-SCY,Dominican Republic,SITE-152,2025,"10, 6, 1, 8, 3, 8, 1, 6, 10, 10, 8, 9"
CT-1696-SCY,Dominican Republic,SITE-153,2025,"8, 8, 3, 8, 3, 9, 0, 1, 2, 4, 2, 2"
CT-1696-SCY,Kazakhstan,SITE-154,2025,"9, 5, 8, 2, 7, 1, 0, 6, 5, 9, 8, 8"
CT-3228-ZKT,Sudan,SITE-155,2025,"4, 8, 2, 8, 0, 9, 1, 3, 7, 8, 8, 9"
CT-3228-ZKT,Sudan,SITE-156,2025,"9, 5, 6, 9, 3, 9, 7, 10, 9, 7, 7, 3"
CT-3228-ZKT,Sudan,SITE-157,2025,"3, 9, 3, 4, 8, 2, 3, 9, 9, 2, 1, 8"
CT-3228-ZKT,Thailand,SITE-158,2025,"5, 10, 3, 10, 7, 2, 0, 4, 0, 0, 3, 4"
CT-3228-ZKT,Thailand,SITE-159,2025,"2, 9, 0, 2, 0, 0, 0, 6, 8, 3, 3, 8"
CT-3228-ZKT,Comoros,SITE-160,2025,"5, 10, 0, 3, 6, 8, 9, 3, 2, 8, 2, 4"
CT-3228-ZKT,Comoros,SITE-161,2025,"5, 0, 4, 2, 8, 9, 9, 7, 9, 5, 6, 3"
CT-3228-ZKT,Comoros,SITE-162,2025,"2, 1, 3, 4, 0, 5, 4, 0, 3, 10, 6, 0"
CT-3228-ZKT,South Georgia and the South Sandwich Islands,SITE-163,2025,"9, 6, 3, 1, 1, 4, 1, 1, 5, 10, 8, 3"
CT-3228-ZKT,South Georgia and the South Sandwich Islands,SITE-164,2025,"6, 2, 10, 6, 5, 2, 10, 1, 5, 0, 1, 0"
CT-6910-RDE,Pakistan,SITE-165,2025,"0, 1, 0, 10, 3, 0, 9, 0, 9, 1, 0, 9"
CT-6910-RDE,Hungary,SITE-166,2025,"5, 8, 10, 2, 10, 7, 10, 0, 1, 0, 9, 9"
CT-6910-RDE,Hungary,SITE-167,2025,"8, 1, 9, 8, 7, 10, 3, 1, 1, 10, 1, 3"
CT-6910-RDE,Hungary,SITE-168,2025,"0, 2, 3, 2, 2, 9, 0, 8, 1, 8, 4, 0"
CT-6910-RDE,Russian Federation,SITE-169,2025,"0, 6, 9, 8, 6, 7, 2, 7, 7, 1, 6, 9"
CT-6910-RDE,Russian Federation,SITE-170,2025,"3, 2, 9, 10, 0, 9, 9, 0, 1, 4, 5, 1"
CT-6910-RDE,Russian Federation,SITE-171,2025,"10, 10, 0, 3, 7, 10, 0, 7, 10, 5, 2, 0"
CT-8742-ECD,Korea,SITE-172,2025,"1, 3, 9, 1, 2, 5, 4, 0, 1, 3, 6, 9"
CT-8742-ECD,Korea,SITE-173,2025,"8, 7, 2, 6, 7, 10, 3, 10, 5, 7, 2, 10"
CT-8742-ECD,Nauru,SITE-174,2025,"10, 10, 5, 9, 9, 6, 3, 9, 9, 3, 5, 6"
CT-8742-ECD,Nauru,SITE-175,2025,"8, 4, 0, 0, 6, 0, 3, 4, 10, 10, 10, 3"
CT-8742-ECD,San Marino,SITE-176,2025,"9, 2, 0, 2, 10, 3, 7, 3, 2, 4, 0, 8"
CT-8742-ECD,San Marino,SITE-177,2025,"7, 3, 4, 2, 3, 8, 1, 9, 10, 3, 7, 7"
CT-8742-ECD,San Marino,SITE-178,2025,"10, 6, 1, 8, 10, 4, 1, 2, 7, 0, 1, 7"
CT-7047-GQC,Japan,SITE-179,2025,"8, 7, 0, 9, 1, 3, 8, 2, 3, 6, 9, 0"
CT-7047-GQC,India,SITE-180,2025,"4, 5, 10, 6, 8, 10, 7, 4, 10, 3, 6, 3"
CT-7047-GQC,India,SITE-181,2025,"7, 2, 4, 4, 9, 3, 8, 6, 6, 10, 0, 0"
CT-7047-GQC,India,SITE-182,2025,"2, 5, 1, 0, 8, 0, 7, 8, 8, 10, 6, 8"
