Protocol,Part ID,Client Part ID,Description (Unblinded),Facility,Quantity Available,Quantity Total,Unit of Measure,Expiry Date,Lot ID (Client)
CT-2004-PSX,PART-793290,MAT-60599,Traditional Patch,East Hollyport Logistics Center,52,476,EA,2026-03-08,LOT-94284099
CT-2004-PSX,PART-270275,MAT-32011,Offer Tablet,South Conniebury Logistics Center,196,132,EA,2027-02-22,LOT-39007987
CT-2004-PSX,PART-658784,MAT-97442,Common Patch,Jonesville Logistics Center,387,86,EA,2026-06-14,LOT-75185716
CT-6592-IDY,PART-864791,MAT-49508,Able Patch,Port Tiffany Logistics Center,197,102,EA,2027-04-18,LOT-28252003
CT-6592-IDY,PART-438353,MAT-17085,Myself Capsule,Timstad Logistics Center,13,507,EA,2027-10-20,LOT-45619384
CT-8970-PLO,PART-391274,MAT-84265,Help Solution,Meganchester Logistics Center,97,359,EA,2026-11-13,LOT-26474824
CT-8970-PLO,PART-158204,MAT-82398,Range Solution,New David Logistics Center,156,436,EA,2025-10-19,LOT-84562329
CT-8970-PLO,PART-364352,MAT-85304,Artist Solution,Wolfport Logistics Center,93,147,EA,2025-05-23,LOT-65133728
CT-8970-PLO,PART-870633,MAT-86920,Various Solution,Carterbury Logistics Center,92,63,EA,2025-07-25,LOT-14354504
CT-5806-JWO,PART-485123,MAT-42350,Figure Capsule,Hernandezborough Logistics Center,169,79,EA,2027-12-20,LOT-91428756
CT-5806-JWO,PART-147839,MAT-81584,Set Solution,Braunberg Logistics Center,110,173,EA,2026-03-16,LOT-26730959
CT-5806-JWO,PART-880994,MAT-26378,Shake Tablet,Lake Taratown Logistics Center,104,44,EA,2026-06-08,LOT-92761826
CT-5806-JWO,PART-851372,MAT-39857,Age Tablet,Freemanmouth Logistics Center,215,314,EA,2027-06-20,LOT-60891080
CT-8015-GMQ,PART-227395,MAT-91309,Simply Injection,Whitneybury Logistics Center,181,375,EA,2027-09-05,LOT-92879466
CT-8015-GMQ,PART-162156,MAT-74459,Memory Solution,New Laura Logistics Center,92,339,EA,2026-06-14,LOT-49095565
CT-8872-GKR,PART-331231,MAT-66331,Step Solution,South Conniebury Logistics Center,94,68,EA,2026-05-17,LOT-88132342
CT-8872-GKR,PART-675924,MAT-23246,Type Injection,East Hollyport Logistics Center,232,179,EA,2026-12-23,LOT-74130481
CT-8872-GKR,PART-327456,MAT-58804,Sense Tablet,Georgeview Logistics Center,91,433,EA,2027-08-31,LOT-36676116
CT-1696-SCY,PART-737634,MAT-14115,Property Tablet,Port Tiffany Logistics Center,97,367,EA,2025-03-04,LOT-48273549
CT-1696-SCY,PART-123543,MAT-78401,Expect Tablet,Lake Jonathan Logistics Center,291,506,EA,2028-06-07,LOT-44491067
CT-3228-ZKT,PART-148108,MAT-30703,Cold Injection,Jonesville Logistics Center,109,381,EA,2026-12-09,LOT-98018080
CT-3228-ZKT,PART-527805,MAT-61362,Better Tablet,New David Logistics Center,292,36,EA,2025-02-19,LOT-82054650
CT-3228-ZKT,PART-290755,MAT-18409,Commercial Tablet,South Christopher Logistics Center,339,341,EA,2025-05-05,LOT-24674076
CT-3228-ZKT,PART-769432,MAT-58266,Tree Injection,Margaretville Logistics Center,299,38,EA,2027-04-24,LOT-38707248
CT-6910-RDE,PART-972513,MAT-23465,Toward Injection,New Thomas Logistics Center,217,144,EA,2024-12-08,LOT-57705062
CT-6910-RDE,PART-932447,MAT-33689,South Capsule,New Thomas Logistics Center,363,156,EA,2026-08-01,LOT-31271496
CT-6910-RDE,PART-716795,MAT-22108,Win Injection,Irwinmouth Logistics Center,300,175,EA,2027-03-07,LOT-37189202
CT-6910-RDE,PART-112557,MAT-93657,Dog Patch,New Laura Logistics Center,103,596,EA,2028-06-06,LOT-14364098
CT-8742-ECD,PART-631007,MAT-16848,Blue Patch,South Nathanmouth Logistics Center,23,273,EA,2025-05-21,LOT-48781281
CT-8742-ECD,PART-462128,MAT-47254,Article Tablet,New Laura Logistics Center,323,353,EA,2026-06-19,LOT-94846184
