trial_alias,order_number,batch_number,material_number,material_type,plant,inspection_type,inspection_start_date,end_date_of_the_inspection,inspection_lot_number,usage_decision_has_been_made,object_status,usage_decision_code,date_of_code_used_for_usage_decision
CT-6910-RDE,C87DA7B5-D02,LOT-14364098,MAT-93657,Investigational Product,AP03,Triggered,2025-01-11,2025-01-16,IL84774570,Yes,Closed,B,2025-01-19
CT-3472-PNG,502EC192-A84,LOT-59019698,MAT-22152,Ancillary Supply,US01,Initial,2025-05-13,2025-05-18,IL34300626,Yes,Open,A,2025-05-21
CT-8970-PLO,D30AB6AE-A77,LOT-91814441,MAT-85304,Ancillary Supply,AP03,Routine,2025-09-30,2025-10-05,IL55185227,No,In Progress,B,2025-10-08
CT-6109-EDZ,93E2AB3B-625,LOT-17958339,MAT-86168,Investigational Product,AP03,Triggered,2025-06-04,2025-06-09,IL71262001,Yes,Open,B,2025-06-12
CT-8742-ECD,49D908EC-D19,LOT-54560092,MAT-15875,Ancillary Supply,EU02,Initial,2025-06-18,2025-06-23,IL30141079,Yes,In Progress,B,2025-06-26
CT-6910-RDE,7F8EA55C-605,LOT-79555656,MAT-33689,Ancillary Supply,EU02,Routine,2024-12-11,2024-12-16,IL95125085,No,In Progress,B,2024-12-19
CT-5014-EEP,AB2CA71A-47C,LOT-35809899,MAT-39627,Comparator,LAT04,Triggered,2024-12-04,2024-12-09,IL36529786,No,In Progress,B,2024-12-12
CT-2004-PSX,EA3FBE37-E91,LOT-45953393,MAT-60599,Ancillary Supply,EU02,Routine,2025-01-25,2025-01-30,IL71516366,No,Closed,C,2025-02-02
CT-9831-IEW,C2863B49-6B7,LOT-57874485,MAT-16078,Comparator,LAT04,Initial,2025-03-09,2025-03-14,IL64021963,No,Closed,A,2025-03-17
CT-7484-BIH,7EA3E715-4EB,LOT-31439488,MAT-66374,Ancillary Supply,AP03,Initial,2025-10-23,2025-10-28,IL95080536,Yes,Closed,A,2025-10-31
CT-3395-UCM,F52B62BD-E91,LOT-62442527,MAT-40706,Investigational Product,US01,Initial,2025-04-27,2025-05-02,IL40501963,Yes,Open,B,2025-05-05
CT-1696-SCY,D465FA61-668,LOT-46656333,MAT-78401,Ancillary Supply,US01,Initial,2025-02-15,2025-02-20,IL43817272,Yes,Closed,A,2025-02-23
CT-6592-IDY,BAFF899E-7D4,LOT-66123852,MAT-49508,Ancillary Supply,LAT04,Initial,2024-11-16,2024-11-21,IL14207400,Yes,Closed,A,2024-11-24
CT-3472-PNG,082EC977-749,LOT-59019698,MAT-22152,Ancillary Supply,US01,Routine,2025-09-01,2025-09-06,IL14337836,Yes,Open,C,2025-09-09
CT-8742-ECD,1DE4A4D7-80D,LOT-54560092,MAT-15875,Ancillary Supply,EU02,Initial,2025-10-17,2025-10-22,IL80587513,Yes,Closed,A,2025-10-25
CT-7487-KNX,4FFC728A-450,LOT-31152831,MAT-59372,Ancillary Supply,US01,Routine,2025-09-30,2025-10-05,IL16787006,Yes,Closed,C,2025-10-08
CT-6551-IBW,BE0807F8-705,LOT-89806740,MAT-79992,Ancillary Supply,EU02,Initial,2025-04-05,2025-04-10,IL32510840,Yes,Open,B,2025-04-13
