STUDY_ID,LOT_NUMBER,PACKAGE_NUMBER,PACKAGE_DESC,RQST_DATE,EXPIRATION_DATE,PACKAGE_STATUS,SHIP_UNIT_ID,SHIPMENT_STATUS_CODE
CT-6910-RDE,LOT-14364098,PKG-82912103,Dog Patch,2025-10-08,2028-06-06,Damaged,SU-744202,Shipped
CT-6910-RDE,LOT-14364098,PKG-27735226,Dog Patch,2025-07-29,2028-06-06,Damaged,SU-297118,Planning
CT-3472-PNG,LOT-59019698,PKG-24657540,Culture Solution,2025-05-31,2026-07-17,Damaged,SU-184305,Delivered
CT-3472-PNG,LOT-59019698,PKG-74248686,Culture Solution,2025-09-18,2026-07-17,Available,SU-587271,Ready
CT-3472-PNG,LOT-59019698,PKG-59166292,Culture Solution,2025-06-06,2026-07-17,Available,SU-613958,Ready
CT-8970-PLO,LOT-91814441,PKG-12211463,Artist Solution,2025-08-12,2026-02-14,Dispensed,SU-102349,Delayed
CT-8970-PLO,LOT-91814441,PKG-32343804,Artist Solution,2025-07-30,2026-02-14,Quarantined,SU-468590,Delayed
CT-8970-PLO,LOT-91814441,PKG-25346882,Artist Solution,2025-09-11,2026-02-14,Available,SU-187352,Shipped
CT-6109-EDZ,LOT-17958339,PKG-25953524,Run Solution,2025-05-18,2027-07-20,Damaged,SU-831654,Ready
CT-6109-EDZ,LOT-17958339,PKG-96079559,Run Solution,2025-08-08,2027-07-20,Available,SU-995446,Delivered
CT-6109-EDZ,LOT-17958339,PKG-30770924,Run Solution,2025-05-24,2027-07-20,Quarantined,SU-751593,Shipped
CT-8742-ECD,LOT-54560092,PKG-94109451,Happy Solution,2025-08-07,2026-11-06,Damaged,SU-220812,Delayed
CT-8742-ECD,LOT-54560092,PKG-12325579,Happy Solution,2025-05-25,2026-11-06,Dispensed,SU-794947,Delayed
CT-8742-ECD,LOT-54560092,PKG-44284080,Happy Solution,2025-06-08,2026-11-06,Damaged,SU-934541,Planning
CT-6910-RDE,LOT-79555656,PKG-54579231,South Capsule,2025-06-04,2026-08-02,Dispensed,SU-893146,Planning
CT-5014-EEP,LOT-35809899,PKG-92270860,Fund Tablet,2025-08-21,2026-06-17,Quarantined,SU-213854,Delayed
CT-5014-EEP,LOT-35809899,PKG-68198618,Fund Tablet,2025-08-23,2026-06-17,Quarantined,SU-531472,Planning
CT-5014-EEP,LOT-35809899,PKG-15919374,Fund Tablet,2025-08-01,2026-06-17,Damaged,SU-971422,Shipped
CT-5014-EEP,LOT-35809899,PKG-53074129,Fund Tablet,2025-08-09,2026-06-17,Damaged,SU-140682,Delayed
CT-2004-PSX,LOT-45953393,PKG-51921365,Traditional Patch,2025-07-02,2026-01-08,Quarantined,SU-646438,Delivered
CT-2004-PSX,LOT-45953393,PKG-72372924,Traditional Patch,2025-08-24,2026-01-08,Available,SU-847703,Shipped
CT-2004-PSX,LOT-45953393,PKG-34039324,Traditional Patch,2025-05-30,2026-01-08,Quarantined,SU-466659,Planning
CT-2004-PSX,LOT-45953393,PKG-21063850,Traditional Patch,2025-10-03,2026-01-08,Dispensed,SU-870651,Shipped
CT-9831-IEW,LOT-57874485,PKG-70448172,Stock Patch,2025-08-03,2025-11-17,Dispensed,SU-976400,Delayed
CT-9831-IEW,LOT-57874485,PKG-80194949,Stock Patch,2025-08-04,2025-11-17,Quarantined,SU-175955,Ready
CT-7484-BIH,LOT-31439488,PKG-73866704,Oil Tablet,2025-08-11,2025-09-04,Dispensed,SU-470883,Ready
CT-7484-BIH,LOT-31439488,PKG-86401837,Oil Tablet,2025-07-17,2025-09-04,Dispensed,SU-448334,Shipped
CT-7484-BIH,LOT-31439488,PKG-68303463,Oil Tablet,2025-08-19,2025-09-04,Available,SU-268795,Planning
CT-7484-BIH,LOT-31439488,PKG-25386022,Oil Tablet,2025-10-03,2025-09-04,Quarantined,SU-761489,Planning
CT-3395-UCM,LOT-62442527,PKG-18286591,Keep Capsule,2025-07-16,2025-09-06,Dispensed,SU-183668,Delayed
CT-3395-UCM,LOT-62442527,PKG-97383721,Keep Capsule,2025-09-30,2025-09-06,Damaged,SU-847297,Planning
CT-3395-UCM,LOT-62442527,PKG-53779987,Keep Capsule,2025-09-25,2025-09-06,Available,SU-703384,Delayed
CT-3395-UCM,LOT-62442527,PKG-18469659,Keep Capsule,2025-06-16,2025-09-06,Quarantined,SU-126915,Ready
CT-1696-SCY,LOT-46656333,PKG-57434742,Expect Tablet,2025-06-03,2026-12-03,Quarantined,SU-797082,Delivered
CT-1696-SCY,LOT-46656333,PKG-83153283,Expect Tablet,2025-09-26,2026-12-03,Damaged,SU-602241,Ready
CT-1696-SCY,LOT-46656333,PKG-68089881,Expect Tablet,2025-10-04,2026-12-03,Damaged,SU-118574,Delivered
CT-6592-IDY,LOT-66123852,PKG-31910114,Able Patch,2025-06-11,2028-07-06,Available,SU-490753,Delivered
CT-6592-IDY,LOT-66123852,PKG-48571251,Able Patch,2025-07-20,2028-07-06,Dispensed,SU-787920,Delayed
CT-6592-IDY,LOT-66123852,PKG-56027646,Able Patch,2025-09-19,2028-07-06,Dispensed,SU-974926,Planning
CT-3472-PNG,LOT-59019698,PKG-38328479,Culture Solution,2025-05-21,2026-07-17,Damaged,SU-274323,Delayed
CT-3472-PNG,LOT-59019698,PKG-10996353,Culture Solution,2025-05-22,2026-07-17,Available,SU-149263,Shipped
CT-3472-PNG,LOT-59019698,PKG-33482416,Culture Solution,2025-07-30,2026-07-17,Damaged,SU-748492,Planning
CT-3472-PNG,LOT-59019698,PKG-77711316,Culture Solution,2025-06-02,2026-07-17,Available,SU-328872,Delivered
CT-8742-ECD,LOT-54560092,PKG-59433718,Happy Solution,2025-10-08,2026-11-06,Quarantined,SU-807947,Ready
CT-8742-ECD,LOT-54560092,PKG-70343974,Happy Solution,2025-07-24,2026-11-06,Damaged,SU-637799,Planning
CT-8742-ECD,LOT-54560092,PKG-94761867,Happy Solution,2025-06-26,2026-11-06,Dispensed,SU-356637,Ready
CT-7487-KNX,LOT-31152831,PKG-12133491,Issue Patch,2025-08-31,2025-09-07,Damaged,SU-550465,Shipped
CT-6551-IBW,LOT-89806740,PKG-84586679,Anyone Tablet,2025-09-29,2026-07-09,Dispensed,SU-607631,Delivered
CT-6551-IBW,LOT-89806740,PKG-24837235,Anyone Tablet,2025-05-28,2026-07-09,Damaged,SU-399688,Delayed
CT-6551-IBW,LOT-89806740,PKG-34967189,Anyone Tablet,2025-09-29,2026-07-09,Dispensed,SU-295804,Shipped
CT-9781-BYC,LOT-91403277,PKG-80932668,Trouble Capsule,2025-08-19,2025-11-01,Damaged,SU-884706,Delivered
CT-9831-IEW,LOT-46257312,PKG-86549517,High Injection,2025-05-26,2027-11-30,Damaged,SU-594938,Shipped
CT-9831-IEW,LOT-46257312,PKG-78784210,High Injection,2025-09-06,2027-11-30,Damaged,SU-995241,Delayed
CT-9831-IEW,LOT-46257312,PKG-71834553,High Injection,2025-08-22,2027-11-30,Available,SU-552907,Delayed
CT-7484-BIH,LOT-26012891,PKG-60932923,Hundred Solution,2025-06-18,2026-02-19,Dispensed,SU-280276,Delayed
CT-7484-BIH,LOT-26012891,PKG-98981861,Hundred Solution,2025-07-23,2026-02-19,Damaged,SU-412751,Delayed
CT-7484-BIH,LOT-26012891,PKG-18379905,Hundred Solution,2025-09-13,2026-02-19,Quarantined,SU-893217,Delivered
CT-8742-ECD,LOT-45571743,PKG-97985871,Blue Patch,2025-06-30,2025-05-24,Dispensed,SU-309762,Delivered
CT-8742-ECD,LOT-45571743,PKG-77170772,Blue Patch,2025-06-14,2025-05-24,Quarantined,SU-122988,Ready
CT-8742-ECD,LOT-45571743,PKG-85039952,Blue Patch,2025-06-09,2025-05-24,Available,SU-538795,Delivered
CT-8742-ECD,LOT-45571743,PKG-15146691,Blue Patch,2025-09-30,2025-05-24,Damaged,SU-524778,Shipped
CT-3230-HFO,LOT-10539218,PKG-51610931,Health Solution,2025-06-05,2028-01-17,Dispensed,SU-706072,Delayed
CT-8742-ECD,LOT-61778837,PKG-50602532,Happy Solution,2025-08-10,2025-11-20,Dispensed,SU-969680,Delivered
CT-8742-ECD,LOT-61778837,PKG-26580904,Happy Solution,2025-09-30,2025-11-20,Damaged,SU-145653,Shipped
CT-8742-ECD,LOT-61778837,PKG-67823440,Happy Solution,2025-08-05,2025-11-20,Available,SU-962621,Ready
CT-8742-ECD,LOT-61778837,PKG-96232640,Happy Solution,2025-09-30,2025-11-20,Damaged,SU-228875,Planning
CT-2004-PSX,LOT-75185716,PKG-57053009,Common Patch,2025-07-23,2026-06-14,Dispensed,SU-250139,Delivered
CT-2004-PSX,LOT-75185716,PKG-99539865,Common Patch,2025-05-28,2026-06-14,Damaged,SU-871456,Ready
CT-2004-PSX,LOT-75185716,PKG-64107498,Common Patch,2025-08-23,2026-06-14,Damaged,SU-872352,Shipped
CT-8970-PLO,LOT-24616505,PKG-80659899,Various Solution,2025-05-27,2027-04-30,Damaged,SU-568771,Delivered
CT-6910-RDE,LOT-34166590,PKG-58085424,Win Injection,2025-09-25,2027-08-23,Quarantined,SU-406635,Delayed
CT-6910-RDE,LOT-34166590,PKG-10363298,Win Injection,2025-10-07,2027-08-23,Dispensed,SU-838864,Delayed
CT-8742-ECD,LOT-83111741,PKG-27775201,Article Tablet,2025-09-03,2027-07-24,Available,SU-796784,Delivered
CT-8742-ECD,LOT-83111741,PKG-86949378,Article Tablet,2025-06-17,2027-07-24,Available,SU-420987,Planning
CT-8742-ECD,LOT-83111741,PKG-88449563,Article Tablet,2025-06-05,2027-07-24,Available,SU-491582,Delayed
CT-3636-AVP,LOT-27778437,PKG-67421604,Agency Injection,2025-06-15,2025-04-09,Dispensed,SU-136068,Planning
CT-6551-IBW,LOT-28144033,PKG-18298767,Member Solution,2025-05-20,2027-05-02,Quarantined,SU-286585,Delayed
CT-6551-IBW,LOT-28144033,PKG-74580511,Member Solution,2025-07-04,2027-05-02,Quarantined,SU-950687,Ready
CT-6551-IBW,LOT-28144033,PKG-83886180,Member Solution,2025-07-02,2027-05-02,Available,SU-605315,Shipped
CT-6551-IBW,LOT-28144033,PKG-16358852,Member Solution,2025-08-17,2027-05-02,Quarantined,SU-872078,Delayed
CT-8015-GMQ,LOT-49095565,PKG-79500894,Memory Solution,2025-08-06,2026-06-14,Quarantined,SU-490523,Shipped
CT-3472-PNG,LOT-36766763,PKG-78064015,Culture Solution,2025-09-15,2026-01-11,Dispensed,SU-157535,Delivered
CT-3472-PNG,LOT-36766763,PKG-44881989,Culture Solution,2025-09-26,2026-01-11,Quarantined,SU-549340,Delivered
CT-3472-PNG,LOT-36766763,PKG-42154842,Culture Solution,2025-06-09,2026-01-11,Damaged,SU-896718,Ready
CT-3472-PNG,LOT-36766763,PKG-25929896,Culture Solution,2025-09-15,2026-01-11,Damaged,SU-906669,Planning
CT-3636-AVP,LOT-86551756,PKG-32327246,Agency Injection,2025-08-07,2028-07-28,Quarantined,SU-857286,Planning
CT-5014-EEP,LOT-35809899,PKG-82982634,Fund Tablet,2025-06-02,2026-06-17,Quarantined,SU-469176,Planning
CT-5014-EEP,LOT-35809899,PKG-60981623,Fund Tablet,2025-05-19,2026-06-17,Available,SU-598856,Delayed
CT-5014-EEP,LOT-27803441,PKG-84415383,They Capsule,2025-07-14,2026-11-22,Dispensed,SU-861306,Ready
CT-5014-EEP,LOT-27803441,PKG-89376465,They Capsule,2025-07-10,2026-11-22,Dispensed,SU-803864,Delayed
CT-5014-EEP,LOT-27803441,PKG-73535648,They Capsule,2025-08-07,2026-11-22,Damaged,SU-560688,Delayed
CT-6551-IBW,LOT-11280930,PKG-52681192,Member Solution,2025-08-16,2025-06-12,Available,SU-155772,Delivered
CT-6551-IBW,LOT-11280930,PKG-82430552,Member Solution,2025-09-18,2025-06-12,Dispensed,SU-475944,Delivered
CT-6551-IBW,LOT-11280930,PKG-22731210,Member Solution,2025-08-17,2025-06-12,Available,SU-437559,Delivered
CT-6551-IBW,LOT-11280930,PKG-75890582,Member Solution,2025-09-18,2025-06-12,Quarantined,SU-870652,Delivered
CT-6592-IDY,LOT-28252003,PKG-41533807,Able Patch,2025-05-22,2027-04-18,Available,SU-442721,Shipped
CT-6592-IDY,LOT-28252003,PKG-86179692,Able Patch,2025-05-29,2027-04-18,Available,SU-664045,Planning
CT-6592-IDY,LOT-28252003,PKG-54009084,Able Patch,2025-09-15,2027-04-18,Dispensed,SU-272779,Shipped
CT-6551-IBW,LOT-89806740,PKG-94500184,Anyone Tablet,2025-07-08,2026-07-09,Quarantined,SU-437528,Ready
CT-3228-ZKT,LOT-38707248,PKG-52551255,Tree Injection,2025-05-18,2027-04-24,Damaged,SU-379734,Delayed
CT-1696-SCY,LOT-46656333,PKG-49261120,Expect Tablet,2025-06-21,2026-12-03,Dispensed,SU-556299,Planning
CT-3636-AVP,LOT-41301239,PKG-16571527,Though Solution,2025-09-23,2025-12-18,Dispensed,SU-937854,Ready
CT-3636-AVP,LOT-41301239,PKG-27404626,Though Solution,2025-07-26,2025-12-18,Quarantined,SU-415367,Ready
CT-3636-AVP,LOT-41301239,PKG-48183948,Though Solution,2025-08-27,2025-12-18,Dispensed,SU-742551,Delayed
CT-6910-RDE,LOT-34198332,PKG-17729767,Win Injection,2025-05-31,2026-11-08,Damaged,SU-842113,Shipped
CT-6910-RDE,LOT-34198332,PKG-85952475,Win Injection,2025-07-27,2026-11-08,Quarantined,SU-695057,Ready
CT-6910-RDE,LOT-34198332,PKG-75179099,Win Injection,2025-07-31,2026-11-08,Quarantined,SU-255869,Delayed
CT-6910-RDE,LOT-34198332,PKG-21982403,Win Injection,2025-07-09,2026-11-08,Quarantined,SU-429022,Delivered
CT-9771-CZL,LOT-83383410,PKG-59800841,Us Solution,2025-07-17,2027-04-27,Available,SU-173744,Shipped
CT-9771-CZL,LOT-83383410,PKG-29217336,Us Solution,2025-06-01,2027-04-27,Available,SU-610763,Delayed
CT-3230-HFO,LOT-32873081,PKG-75567299,Health Solution,2025-09-26,2027-11-06,Dispensed,SU-836078,Shipped
CT-3230-HFO,LOT-32873081,PKG-32209607,Health Solution,2025-05-28,2027-11-06,Damaged,SU-671394,Shipped
CT-3230-HFO,LOT-32873081,PKG-66662040,Health Solution,2025-09-10,2027-11-06,Quarantined,SU-179909,Shipped
CT-3230-HFO,LOT-32873081,PKG-47660706,Health Solution,2025-06-03,2027-11-06,Dispensed,SU-212481,Ready
CT-7487-KNX,LOT-31152831,PKG-26968816,Issue Patch,2025-07-19,2025-09-07,Damaged,SU-166559,Delayed
CT-7487-KNX,LOT-31152831,PKG-65591884,Issue Patch,2025-05-28,2025-09-07,Damaged,SU-585621,Delayed
CT-7487-KNX,LOT-31152831,PKG-41757308,Issue Patch,2025-10-07,2025-09-07,Available,SU-908720,Delayed
CT-6910-RDE,LOT-34198332,PKG-49216128,Win Injection,2025-07-01,2026-11-08,Damaged,SU-131183,Ready
CT-6910-RDE,LOT-34198332,PKG-86086562,Win Injection,2025-09-11,2026-11-08,Dispensed,SU-280124,Delayed
CT-6910-RDE,LOT-34198332,PKG-83665991,Win Injection,2025-06-06,2026-11-08,Damaged,SU-200029,Ready
CT-8872-GKR,LOT-60549611,PKG-26441433,Step Solution,2025-07-09,2027-09-25,Damaged,SU-787757,Ready
CT-8872-GKR,LOT-60549611,PKG-93343534,Step Solution,2025-07-13,2027-09-25,Dispensed,SU-500656,Planning
CT-8872-GKR,LOT-60549611,PKG-53425000,Step Solution,2025-05-21,2027-09-25,Damaged,SU-439209,Delayed
CT-8872-GKR,LOT-60549611,PKG-65957971,Step Solution,2025-09-06,2027-09-25,Dispensed,SU-336449,Delayed
CT-3472-PNG,LOT-14377768,PKG-31985619,Speech Patch,2025-10-04,2027-01-10,Available,SU-367886,Planning
CT-3472-PNG,LOT-14377768,PKG-71260879,Speech Patch,2025-06-03,2027-01-10,Damaged,SU-183029,Delivered
CT-7487-KNX,LOT-17450919,PKG-59336133,Reason Tablet,2025-06-25,2027-02-13,Available,SU-442246,Shipped
CT-7487-KNX,LOT-17450919,PKG-21049768,Reason Tablet,2025-06-27,2027-02-13,Damaged,SU-592471,Ready
CT-7487-KNX,LOT-17450919,PKG-55704891,Reason Tablet,2025-06-24,2027-02-13,Damaged,SU-417910,Delayed
CT-3230-HFO,LOT-32873081,PKG-19845838,Health Solution,2025-09-08,2027-11-06,Dispensed,SU-873127,Delayed
CT-3230-HFO,LOT-32873081,PKG-73813036,Health Solution,2025-06-10,2027-11-06,Dispensed,SU-123414,Planning
CT-3230-HFO,LOT-32873081,PKG-50671863,Health Solution,2025-05-27,2027-11-06,Dispensed,SU-292375,Delivered
CT-3230-HFO,LOT-32873081,PKG-60727255,Health Solution,2025-05-23,2027-11-06,Available,SU-314613,Ready
CT-9831-IEW,LOT-46257312,PKG-19672333,High Injection,2025-07-17,2027-11-30,Dispensed,SU-466431,Ready
CT-9831-IEW,LOT-46257312,PKG-48398581,High Injection,2025-06-01,2027-11-30,Dispensed,SU-124017,Delayed
CT-3228-ZKT,LOT-63418468,PKG-57532659,Better Tablet,2025-08-03,2027-01-01,Dispensed,SU-942563,Shipped
CT-5014-EEP,LOT-29384973,PKG-79192318,They Capsule,2025-08-27,2027-05-26,Available,SU-381197,Shipped
CT-5014-EEP,LOT-29384973,PKG-18914505,They Capsule,2025-05-29,2027-05-26,Dispensed,SU-292687,Shipped
CT-9831-IEW,LOT-82476241,PKG-15098304,Stock Patch,2025-07-06,2025-06-26,Damaged,SU-787391,Delayed
CT-8970-PLO,LOT-43759862,PKG-99896963,Help Solution,2025-08-10,2026-10-16,Available,SU-898594,Ready
CT-8970-PLO,LOT-43759862,PKG-87146988,Help Solution,2025-06-14,2026-10-16,Dispensed,SU-103624,Ready
CT-8015-GMQ,LOT-23670572,PKG-86939876,Simply Injection,2025-07-11,2026-05-20,Available,SU-857026,Ready
CT-8015-GMQ,LOT-23670572,PKG-28662507,Simply Injection,2025-05-23,2026-05-20,Available,SU-959349,Ready
CT-8015-GMQ,LOT-23670572,PKG-96535808,Simply Injection,2025-06-08,2026-05-20,Available,SU-806645,Delivered
CT-9781-BYC,LOT-37532398,PKG-19945119,Positive Injection,2025-08-20,2026-09-16,Quarantined,SU-791639,Delayed
CT-9781-BYC,LOT-37532398,PKG-48302944,Positive Injection,2025-08-07,2026-09-16,Quarantined,SU-523383,Delivered
CT-9781-BYC,LOT-37532398,PKG-35534323,Positive Injection,2025-09-06,2026-09-16,Damaged,SU-278829,Delayed
CT-9781-BYC,LOT-37532398,PKG-41509639,Positive Injection,2025-07-04,2026-09-16,Available,SU-485513,Delivered
CT-7487-KNX,LOT-70758392,PKG-69430609,Contain Solution,2025-09-10,2027-07-12,Dispensed,SU-944874,Shipped
CT-7487-KNX,LOT-70758392,PKG-98144755,Contain Solution,2025-05-26,2027-07-12,Damaged,SU-192361,Delivered
CT-7487-KNX,LOT-70758392,PKG-49544907,Contain Solution,2025-10-11,2027-07-12,Quarantined,SU-561594,Shipped
CT-7487-KNX,LOT-70758392,PKG-56514542,Contain Solution,2025-08-09,2027-07-12,Available,SU-407985,Ready
CT-8742-ECD,LOT-97576608,PKG-28019390,Side Capsule,2025-09-01,2028-01-14,Damaged,SU-285756,Ready
CT-8742-ECD,LOT-97576608,PKG-22010336,Side Capsule,2025-06-12,2028-01-14,Quarantined,SU-219020,Delivered
CT-8742-ECD,LOT-97576608,PKG-67481364,Side Capsule,2025-07-16,2028-01-14,Available,SU-969194,Delivered
CT-8742-ECD,LOT-97576608,PKG-36593739,Side Capsule,2025-06-13,2028-01-14,Available,SU-967362,Ready
CT-9771-CZL,LOT-83383410,PKG-96095585,Us Solution,2025-09-19,2027-04-27,Damaged,SU-789717,Planning
CT-3472-PNG,LOT-89268420,PKG-32729752,Floor Patch,2025-07-10,2026-12-16,Dispensed,SU-555642,Delayed
CT-3472-PNG,LOT-89268420,PKG-78019428,Floor Patch,2025-07-03,2026-12-16,Quarantined,SU-710537,Shipped
CT-3472-PNG,LOT-89268420,PKG-32656868,Floor Patch,2025-08-06,2026-12-16,Quarantined,SU-117159,Delayed
CT-5806-JWO,LOT-26730959,PKG-72170122,Set Solution,2025-06-14,2026-03-16,Dispensed,SU-939240,Ready
CT-5806-JWO,LOT-26730959,PKG-90131831,Set Solution,2025-06-07,2026-03-16,Dispensed,SU-494198,Planning
CT-5806-JWO,LOT-26730959,PKG-94161208,Set Solution,2025-05-17,2026-03-16,Damaged,SU-474029,Delivered
CT-7487-KNX,LOT-31152831,PKG-55753598,Issue Patch,2025-08-15,2025-09-07,Available,SU-225031,Delayed
CT-7487-KNX,LOT-31152831,PKG-17965368,Issue Patch,2025-07-15,2025-09-07,Damaged,SU-451559,Planning
CT-7487-KNX,LOT-31152831,PKG-17890570,Issue Patch,2025-05-22,2025-09-07,Quarantined,SU-719075,Shipped
CT-7487-KNX,LOT-31152831,PKG-69174106,Issue Patch,2025-07-01,2025-09-07,Available,SU-944186,Ready
CT-5806-JWO,LOT-26730959,PKG-94167535,Set Solution,2025-08-19,2026-03-16,Quarantined,SU-816265,Ready
CT-5806-JWO,LOT-26730959,PKG-12830231,Set Solution,2025-07-30,2026-03-16,Available,SU-443321,Delayed
CT-5806-JWO,LOT-26730959,PKG-32450323,Set Solution,2025-07-10,2026-03-16,Damaged,SU-581131,Delayed
CT-5806-JWO,LOT-26730959,PKG-97657145,Set Solution,2025-06-05,2026-03-16,Available,SU-950007,Delivered
CT-5014-EEP,LOT-35809899,PKG-25341415,Fund Tablet,2025-07-21,2026-06-17,Damaged,SU-321249,Delivered
CT-5014-EEP,LOT-35809899,PKG-60297553,Fund Tablet,2025-10-03,2026-06-17,Quarantined,SU-990389,Shipped
CT-5014-EEP,LOT-35809899,PKG-35754677,Fund Tablet,2025-10-11,2026-06-17,Quarantined,SU-864398,Shipped
CT-5014-EEP,LOT-35809899,PKG-21346078,Fund Tablet,2025-08-01,2026-06-17,Damaged,SU-468503,Delayed
CT-5014-EEP,LOT-27803441,PKG-25485386,They Capsule,2025-05-31,2026-11-22,Dispensed,SU-760927,Shipped
CT-5014-EEP,LOT-27803441,PKG-68708488,They Capsule,2025-09-18,2026-11-22,Dispensed,SU-610452,Delayed
CT-5014-EEP,LOT-27803441,PKG-65506452,They Capsule,2025-07-18,2026-11-22,Quarantined,SU-770090,Ready
CT-5014-EEP,LOT-27803441,PKG-27622783,They Capsule,2025-09-02,2026-11-22,Dispensed,SU-809205,Planning
