Trial Alias,Warehouse/Affiliate,Site Number,Country,Package Description,Lot Number,Expiration Date,DNSA (Days),Expiration Date - DNSA
CT-2004-PSX,Jordanmouth Logistics Center,SITE-107,Swaziland,Traditional Patch,LOT-45953393,2026-01-08,80,2025-10-20
CT-2004-PSX,New Amymouth Logistics Center,SITE-101,Qatar,Traditional Patch,LOT-94284099,2026-03-08,43,2026-01-24
CT-2004-PSX,Ortizfort Logistics Center,SITE-104,American Samoa,Traditional Patch,LOT-32180264,2025-07-01,17,2025-06-14
CT-2004-PSX,Jonesville Logistics Center,SITE-108,Mali,Traditional Patch,LOT-86533765,2026-11-16,42,2026-10-05
CT-2004-PSX,Coreyshire Logistics Center,SITE-101,Saint Kitts and Nevis,Offer Tablet,LOT-39555641,2027-05-20,36,2027-04-14
CT-2004-PSX,South Jennifer Logistics Center,SITE-103,Malawi,Offer Tablet,LOT-39007987,2027-02-22,42,2027-01-11
CT-2004-PSX,New Amymouth Logistics Center,SITE-101,Qatar,Common Patch,LOT-75185716,2026-06-14,59,2026-04-16
CT-2004-PSX,South Lance Logistics Center,SITE-105,Bhutan,Common Patch,LOT-51070012,2025-12-01,65,2025-09-27
CT-2004-PSX,Braunberg Logistics Center,SITE-106,Nepal,Common Patch,LOT-68153288,2027-09-07,80,2027-06-19
CT-6592-IDY,Smithshire Logistics Center,SITE-109,Austria,Able Patch,LOT-69596629,2026-12-31,70,2026-10-22
CT-6592-IDY,Timstad Logistics Center,SITE-110,Korea,Able Patch,LOT-28252003,2027-04-18,54,2027-02-23
CT-6592-IDY,Russellhaven Logistics Center,SITE-110,Lesotho,Able Patch,LOT-66123852,2028-07-06,87,2028-04-10
CT-6592-IDY,Derekville Logistics Center,SITE-109,Portugal,Myself Capsule,LOT-77757177,2028-01-16,88,2027-10-20
CT-6592-IDY,Georgeview Logistics Center,SITE-110,United States of America,Myself Capsule,LOT-19994803,2027-03-23,73,2027-01-09
CT-6592-IDY,Port Tiffany Logistics Center,SITE-110,Albania,Myself Capsule,LOT-45619384,2027-10-20,32,2027-09-18
CT-8970-PLO,New David Logistics Center,SITE-114,Italy,Help Solution,LOT-26474824,2026-11-13,79,2026-08-26
CT-8970-PLO,West Tonya Logistics Center,SITE-111,Palestinian Territory,Help Solution,LOT-43759862,2026-10-16,71,2026-08-06
CT-8970-PLO,Sullivanview Logistics Center,SITE-111,Kazakhstan,Range Solution,LOT-84562329,2025-10-19,80,2025-07-31
CT-8970-PLO,Smithshire Logistics Center,SITE-115,Austria,Range Solution,LOT-74101873,2025-10-17,69,2025-08-09
CT-8970-PLO,Jonesville Logistics Center,SITE-114,Mali,Artist Solution,LOT-91814441,2026-02-14,77,2025-11-29
CT-8970-PLO,Hernandezborough Logistics Center,SITE-111,Comoros,Artist Solution,LOT-65133728,2025-05-23,33,2025-04-20
CT-8970-PLO,Irwinmouth Logistics Center,SITE-113,Kiribati,Various Solution,LOT-14354504,2025-07-25,35,2025-06-20
CT-8970-PLO,Jonesshire Logistics Center,SITE-113,Tokelau,Various Solution,LOT-44689282,2027-09-02,87,2027-06-07
CT-8970-PLO,Jonesshire Logistics Center,SITE-111,Tokelau,Various Solution,LOT-24616505,2027-04-30,73,2027-02-16
CT-5806-JWO,Irwinmouth Logistics Center,SITE-126,Kiribati,Figure Capsule,LOT-91428756,2027-12-20,68,2027-10-13
CT-5806-JWO,South Christopher Logistics Center,SITE-128,Afghanistan,Figure Capsule,LOT-80893385,2027-08-29,32,2027-07-28
CT-5806-JWO,Carterton Logistics Center,SITE-125,Zambia,Set Solution,LOT-17051687,2026-02-23,88,2025-11-27
CT-5806-JWO,West Tonya Logistics Center,SITE-129,Palestinian Territory,Set Solution,LOT-62532897,2027-05-10,58,2027-03-13
CT-5806-JWO,Braunberg Logistics Center,SITE-123,Nepal,Set Solution,LOT-89350866,2025-02-07,54,2024-12-15
CT-5806-JWO,Allenstad Logistics Center,SITE-123,Papua New Guinea,Set Solution,LOT-26730959,2026-03-16,47,2026-01-28
CT-5806-JWO,New Thomas Logistics Center,SITE-126,Taiwan,Shake Tablet,LOT-70504064,2027-01-09,74,2026-10-27
CT-5806-JWO,Jonesville Logistics Center,SITE-121,Mali,Shake Tablet,LOT-92761826,2026-06-08,19,2026-05-20
CT-5806-JWO,Irwinmouth Logistics Center,SITE-126,Kiribati,Age Tablet,LOT-53734310,2027-03-14,51,2027-01-22
CT-5806-JWO,Jordanmouth Logistics Center,SITE-127,Swaziland,Age Tablet,LOT-60891080,2027-06-20,38,2027-05-13
CT-8015-GMQ,New Amymouth Logistics Center,SITE-132,Qatar,Simply Injection,LOT-92879466,2027-09-05,89,2027-06-08
CT-8015-GMQ,New David Logistics Center,SITE-135,Italy,Simply Injection,LOT-93844966,2027-02-20,67,2026-12-15
CT-8015-GMQ,Margaretville Logistics Center,SITE-135,Belgium,Simply Injection,LOT-23670572,2026-05-20,59,2026-03-22
CT-8015-GMQ,Sullivanview Logistics Center,SITE-140,Kazakhstan,Memory Solution,LOT-49095565,2026-06-14,89,2026-03-17
CT-8015-GMQ,Coreyshire Logistics Center,SITE-134,Saint Kitts and Nevis,Memory Solution,LOT-21570201,2026-12-22,56,2026-10-27
CT-8872-GKR,Ortizfort Logistics Center,SITE-145,American Samoa,Step Solution,LOT-60549611,2027-09-25,38,2027-08-18
CT-8872-GKR,Port Tiffany Logistics Center,SITE-144,Albania,Step Solution,LOT-92214561,2027-10-18,43,2027-09-05
CT-8872-GKR,Russellhaven Logistics Center,SITE-145,Lesotho,Step Solution,LOT-88132342,2026-05-17,32,2026-04-15
CT-8872-GKR,North Christophertown Logistics Center,SITE-141,Cote d'Ivoire,Type Injection,LOT-24028484,2026-03-16,24,2026-02-20
