order_id,order_type,trial_alias,order_status,fing_batch,ly_number,fing_material,pcn,bom_item_category,bom_item_p,bom_item_b,bom_item_l,unit,order_quantity,single_panel_qty,booklet_panel_qty,package_form,qty_planned,qty_delivered,mrp_controller,purchase_document_number,mrp_group_desc,order_start_confirm,order_start_planned,planned_end_date,planned_enddate_qa_disposition_date,order_start_days_off,order_complete_days_off,order_delivery_day_off,start_delivery_date,booklet_label,plant,planned_or_process,plant_desc,operation_number,qa_disposition_date,date_of_last_change,recipe_id,supply_type,vendor_id,vendor_name,ud_change_date,ud_code,ud_code_use_date,teco_flag,shop_order,start_day_off,first_goods_receipt_date,delivery_type,deliver_date,actual_goods_issue_date,shared_across
C87DA7B5-D02,ZPP2,CT-6910-RDE,Completed,LOT-14364098,LY9925929,MAT-93657,PCN-31765,Employee,Simple,Decide,Can,EA,92,410,173,PK-312483,95,88,MRP-109,9913031787,G2 Commercial,Continue,2025-01-07,2025-02-18,2024-08-23,2,1,2024-05-21,2026-05-25,Garden,AP03,Man,AP03 Manufacturing,OP22,2023-12-26,2025-09-19,RC2943,Primary,V335644,Morales-Perez Pharma,2026-06-22,hb-9140,2024-05-29,No,SO-983494,2024-01-17,2025-01-24,Standard,2025-02-13,2025-01-20,Study Only
502EC192-A84,ZPP2,CT-3472-PNG,Released,LOT-59019698,LY8394502,MAT-22152,PCN-92052,Growth,Matter,Organization,Program,EA,63,119,496,PK-423070,58,58,MRP-129,2522569202,G1 Clinical,Job,2025-05-11,2025-06-15,2025-03-30,27,9,2026-05-03,2025-08-17,Ready,US01,Option,US01 Manufacturing,OP54,2026-03-20,2025-12-17,RC2142,Backup,V924475,"Reese, Castaneda and Schwartz Pharma",2026-10-16,OX-0674,2026-09-16,No,SO-463380,2026-02-18,2025-05-22,Standard,2025-06-06,2025-05-21,Global
D30AB6AE-A77,ZPP2,CT-8970-PLO,In Progress,LOT-91814441,LY1677238,MAT-85304,PCN-36942,Near,Bad,Difference,A,EA,90,257,312,PK-856832,91,86,MRP-117,6815640373,G1 Clinical,Exist,2025-09-20,2025-10-30,2024-09-27,3,2,2025-05-04,2026-08-09,Low,AP03,Law,AP03 Manufacturing,OP95,2026-05-29,2024-03-06,RC8498,Primary,V622368,Castro-Skinner Pharma,2026-05-04,Cg-7613,2023-12-28,No,SO-598223,2026-01-10,2025-10-08,Express,2025-10-23,2025-10-10,Global
93E2AB3B-625,ZPP2,CT-6109-EDZ,Completed,LOT-17958339,LY9655969,MAT-86168,PCN-64436,Baby,Foot,Reach,Parent,EA,223,294,68,PK-289131,223,222,MRP-119,7131663435,G1 Clinical,Majority,2025-05-28,2025-07-11,2024-05-22,20,5,2025-12-10,2024-07-02,Ask,AP03,Store,AP03 Manufacturing,OP20,2026-02-02,2026-10-24,RC7755,Primary,V557334,Rose Inc Pharma,2024-03-20,Bw-2160,2024-08-08,No,SO-964584,2024-02-12,2025-06-17,Express,2025-07-02,2025-06-09,Study Only
49D908EC-D19,ZPP2,CT-8742-ECD,Closed,LOT-54560092,LY8080024,MAT-15875,PCN-34033,Trouble,Agree,Physical,Stage,EA,139,243,24,PK-699846,141,139,MRP-138,9922318067,G2 Commercial,Theory,2025-06-12,2025-07-17,2024-10-09,23,28,2026-04-24,2025-06-24,Night,EU02,Alone,EU02 Manufacturing,OP70,2024-10-01,2026-02-15,RC1734,Backup,V970386,Howe-Khan Pharma,2025-11-24,JW-3128,2025-03-29,Yes,SO-637607,2025-04-30,2025-07-01,Standard,2025-07-12,2025-06-25,Global
7F8EA55C-605,ZPP2,CT-6910-RDE,Created,LOT-79555656,LY2005433,MAT-33689,PCN-60386,Might,Wide,Town,Evidence,EA,140,108,407,PK-913037,137,137,MRP-116,1775723670,G1 Clinical,Put,2024-12-03,2025-01-18,2024-02-24,20,2,2026-03-26,2025-07-13,Security,EU02,Agent,EU02 Manufacturing,OP85,2025-02-16,2026-01-30,RC8281,Backup,V968991,Hopkins-Leblanc Pharma,2026-04-08,Xp-5377,2026-04-27,Yes,SO-426458,2024-04-29,2024-12-23,Standard,2025-01-03,2024-12-17,Global
AB2CA71A-47C,ZPP1,CT-5014-EEP,Created,LOT-35809899,LY9115720,MAT-39627,PCN-71715,Reality,Enough,Later,Conference,EA,262,305,458,PK-144518,265,259,MRP-123,7158511840,G2 Commercial,Mouth,2024-12-01,2025-01-11,2026-08-22,17,18,2026-09-18,2025-09-28,Side,LAT04,Cup,LAT04 Manufacturing,OP97,2025-10-01,2025-06-22,RC6058,Backup,V659954,Johnson-Scott Pharma,2024-01-12,ly-9093,2025-04-26,No,SO-956211,2025-12-15,2024-12-15,Standard,2025-01-01,2024-12-14,Study Only
EA3FBE37-E91,ZPP1,CT-2004-PSX,Completed,LOT-45953393,LY4176564,MAT-60599,PCN-29622,Upon,Today,Employee,Idea,EA,25,21,222,PK-857838,24,24,MRP-113,9481834403,G3 Pilot,Wonder,2025-01-22,2025-03-02,2024-11-30,14,12,2025-11-16,2024-09-10,Yeah,EU02,Energy,EU02 Manufacturing,OP92,2026-08-14,2024-02-08,RC1288,Primary,V969362,Walker-Patel Pharma,2025-12-14,vA-3206,2025-11-28,No,SO-744010,2026-04-04,2025-02-04,Standard,2025-02-11,2025-02-02,Study Only
C2863B49-6B7,ZPP2,CT-9831-IEW,Released,LOT-57874485,LY2824830,MAT-16078,PCN-64387,Guy,Find,Wrong,Author,EA,290,160,342,PK-287821,298,285,MRP-139,9542799610,G3 Pilot,Large,2025-03-07,2025-04-14,2026-08-04,25,27,2026-01-09,2025-06-04,Entire,LAT04,Nice,LAT04 Manufacturing,OP14,2026-10-31,2026-04-05,RC7884,Backup,V179483,Jones PLC Pharma,2025-01-21,Jm-9620,2024-01-13,Yes,SO-222191,2025-12-12,2025-03-19,Standard,2025-04-08,2025-03-16,Regional
7EA3E715-4EB,ZPP1,CT-7484-BIH,Created,LOT-31439488,LY8269208,MAT-66374,PCN-94140,Speak,Use,Look,Region,EA,31,313,3,PK-161395,31,27,MRP-135,4212272280,G3 Pilot,Free,2025-10-13,2025-12-02,2024-03-18,30,12,2026-06-01,2024-05-20,Though,AP03,White,AP03 Manufacturing,OP39,2023-11-22,2025-06-29,RC8211,Primary,V172910,Martin-Cameron Pharma,2024-03-10,wK-8339,2025-07-29,Yes,SO-778032,2024-06-27,2025-10-28,Standard,2025-11-21,2025-10-31,Study Only
