Client,Countries,Created On,CT-Compound,CT-Label Group,CT-Pack Type,CT-PCN Group,Date of Last Change,Material Number,Name of Person Who Changed Object,Time of Creation,Trial Alias
"Moore, Thompson and Wright",Zimbabwe,2024-07-27,Herself Compound,LOC,Kit,Standard,2025-05-25,MAT-60599,Richard Simmons,15:24:35,CT-2004-PSX
"Moore, Thompson and Wright",Puerto Rico,2025-04-22,Herself Compound,LOC,Kit,Standard,2025-11-06,MAT-60599,Jacqueline Rasmussen,14:21:22,CT-2004-PSX
"Moore, Thompson and Wright",Christmas Island,2024-09-17,Herself Compound,ENG,Kit,Custom,2025-09-03,MAT-60599,Donna Arellano,07:24:04,CT-2004-PSX
"Moore, Thompson and Wright",Guinea-Bissau,2024-05-15,Herself Compound,MUL,Kit,Standard,2025-06-11,MAT-60599,Kimberly Farmer,16:24:39,CT-2004-PSX
"Moore, Thompson and Wright",Zimbabwe,2023-12-31,Society Compound,ENG,Blister,Custom,2025-07-20,MAT-32011,Cheryl Mack,20:45:20,CT-2004-PSX
"Moore, Thompson and Wright",Puerto Rico,2024-07-09,Society Compound,LOC,Blister,Custom,2025-09-09,MAT-32011,Randall Hawkins,05:30:05,CT-2004-PSX
"Moore, Thompson and Wright",Christmas Island,2023-11-17,Society Compound,MUL,Blister,Standard,2025-10-06,MAT-32011,April Miller,09:06:12,CT-2004-PSX
"Moore, Thompson and Wright",Guinea-Bissau,2025-03-26,Society Compound,LOC,Blister,Custom,2025-05-27,MAT-32011,Robert Velazquez,23:28:07,CT-2004-PSX
"Moore, Thompson and Wright",Zimbabwe,2023-12-23,Fire Compound,LOC,Bottle,Standard,2025-09-28,MAT-97442,Nicole Hernandez,15:42:38,CT-2004-PSX
"Moore, Thompson and Wright",Puerto Rico,2024-05-23,Fire Compound,MUL,Bottle,Custom,2025-10-03,MAT-97442,Brian Banks,10:43:54,CT-2004-PSX
"Moore, Thompson and Wright",Christmas Island,2024-07-11,Fire Compound,ENG,Bottle,Custom,2025-06-15,MAT-97442,Matthew Harmon,06:33:39,CT-2004-PSX
"Moore, Thompson and Wright",Guinea-Bissau,2024-09-12,Fire Compound,LOC,Bottle,Custom,2025-09-27,MAT-97442,Lauren Williams,00:38:01,CT-2004-PSX
Johnson-Mcknight,Paraguay,2024-10-18,Oil Compound,ENG,Bottle,Custom,2025-06-25,MAT-49508,Joshua Nelson,20:20:26,CT-6592-IDY
Johnson-Mcknight,Barbados,2025-04-06,Oil Compound,MUL,Bottle,Standard,2025-09-14,MAT-49508,Donna Young,15:37:47,CT-6592-IDY
Johnson-Mcknight,Paraguay,2024-01-11,Cause Compound,MUL,Carton,Standard,2025-08-21,MAT-17085,Zachary York,19:29:20,CT-6592-IDY
Johnson-Mcknight,Barbados,2025-02-07,Cause Compound,ENG,Carton,Custom,2025-07-30,MAT-17085,Edward Hall,07:34:43,CT-6592-IDY
Campbell-Mercado,Aruba,2024-09-30,Eat Compound,MUL,Bottle,Custom,2025-10-09,MAT-84265,Jonathan Ramsey,16:30:09,CT-8970-PLO
Campbell-Mercado,Liechtenstein,2024-05-24,Eat Compound,ENG,Bottle,Standard,2025-09-30,MAT-84265,John Reed,16:45:20,CT-8970-PLO
Campbell-Mercado,Mozambique,2024-05-11,Eat Compound,LOC,Bottle,Custom,2025-09-08,MAT-84265,Anna Mitchell,06:02:52,CT-8970-PLO
Campbell-Mercado,Aruba,2025-01-05,Instead Compound,MUL,Bottle,Custom,2025-10-21,MAT-82398,Michael Hayden,09:39:37,CT-8970-PLO
Campbell-Mercado,Liechtenstein,2024-06-27,Instead Compound,MUL,Bottle,Custom,2025-08-27,MAT-82398,Mariah Gardner,04:00:29,CT-8970-PLO
Campbell-Mercado,Mozambique,2025-04-05,Instead Compound,LOC,Bottle,Standard,2025-10-31,MAT-82398,Yvonne Lewis,10:06:50,CT-8970-PLO
Campbell-Mercado,Aruba,2024-08-13,Try Compound,ENG,Bottle,Custom,2025-06-06,MAT-85304,Erica Jones,13:10:48,CT-8970-PLO
Campbell-Mercado,Liechtenstein,2025-01-19,Try Compound,MUL,Bottle,Custom,2025-08-12,MAT-85304,Jonathon Crawford,20:47:03,CT-8970-PLO
Campbell-Mercado,Mozambique,2024-05-28,Try Compound,ENG,Bottle,Standard,2025-09-26,MAT-85304,Adam Ball,19:24:37,CT-8970-PLO
Campbell-Mercado,Aruba,2024-11-30,Than Compound,ENG,Bottle,Standard,2025-09-19,MAT-86920,Jeffrey Trevino,08:56:33,CT-8970-PLO
Campbell-Mercado,Liechtenstein,2024-11-25,Than Compound,ENG,Bottle,Custom,2025-09-26,MAT-86920,Mary Jenkins,14:31:07,CT-8970-PLO
Campbell-Mercado,Mozambique,2024-01-01,Than Compound,ENG,Bottle,Standard,2025-06-03,MAT-86920,Nicole Conway,09:19:08,CT-8970-PLO
"Hicks, Forbes and Alvarez",Papua New Guinea,2024-11-29,Who Compound,ENG,Bottle,Custom,2025-08-06,MAT-42350,William Harvey,12:31:59,CT-5806-JWO
"Hicks, Forbes and Alvarez",Algeria,2023-11-15,Who Compound,LOC,Bottle,Standard,2025-10-18,MAT-42350,Robert Best,05:24:02,CT-5806-JWO
"Hicks, Forbes and Alvarez",Guyana,2024-03-18,Who Compound,LOC,Bottle,Standard,2025-09-10,MAT-42350,Joel Rogers,16:48:20,CT-5806-JWO
"Hicks, Forbes and Alvarez",Nicaragua,2025-02-05,Who Compound,ENG,Bottle,Custom,2025-09-15,MAT-42350,Hannah West,03:20:50,CT-5806-JWO
"Hicks, Forbes and Alvarez",Pakistan,2024-08-07,Who Compound,MUL,Bottle,Custom,2025-08-04,MAT-42350,Ricardo James,21:04:16,CT-5806-JWO
"Hicks, Forbes and Alvarez",Bulgaria,2024-10-19,Who Compound,LOC,Bottle,Custom,2025-10-08,MAT-42350,Monica Brown,04:09:49,CT-5806-JWO
"Hicks, Forbes and Alvarez",Papua New Guinea,2024-03-22,Positive Compound,MUL,Carton,Custom,2025-09-15,MAT-81584,Kyle Lucero,00:56:18,CT-5806-JWO
"Hicks, Forbes and Alvarez",Algeria,2024-05-22,Positive Compound,ENG,Carton,Standard,2025-11-12,MAT-81584,Christopher Holloway,21:58:44,CT-5806-JWO
"Hicks, Forbes and Alvarez",Guyana,2025-01-10,Positive Compound,MUL,Carton,Custom,2025-06-30,MAT-81584,Christina Delacruz,23:05:32,CT-5806-JWO
"Hicks, Forbes and Alvarez",Nicaragua,2025-05-05,Positive Compound,MUL,Carton,Standard,2025-09-24,MAT-81584,Jesse Warren Jr.,01:58:39,CT-5806-JWO
"Hicks, Forbes and Alvarez",Pakistan,2024-03-05,Positive Compound,MUL,Carton,Standard,2025-08-25,MAT-81584,Stacy Harris,14:32:37,CT-5806-JWO
"Hicks, Forbes and Alvarez",Bulgaria,2023-12-11,Positive Compound,LOC,Carton,Standard,2025-09-15,MAT-81584,Mr. Stephen Day,08:54:16,CT-5806-JWO
"Hicks, Forbes and Alvarez",Papua New Guinea,2024-12-31,Need Compound,MUL,Kit,Custom,2025-09-12,MAT-26378,Peggy Horton,21:52:38,CT-5806-JWO
"Hicks, Forbes and Alvarez",Algeria,2024-09-05,Need Compound,MUL,Kit,Standard,2025-06-30,MAT-26378,Darius Brown,20:28:29,CT-5806-JWO
"Hicks, Forbes and Alvarez",Guyana,2025-04-19,Need Compound,LOC,Kit,Standard,2025-09-30,MAT-26378,Mrs. Carmen Gonzalez,10:37:05,CT-5806-JWO
"Hicks, Forbes and Alvarez",Nicaragua,2024-10-28,Need Compound,MUL,Kit,Standard,2025-09-27,MAT-26378,Patricia Jacobs,20:20:04,CT-5806-JWO
"Hicks, Forbes and Alvarez",Pakistan,2025-03-14,Need Compound,MUL,Kit,Standard,2025-06-25,MAT-26378,Laura Jackson,04:26:17,CT-5806-JWO
"Hicks, Forbes and Alvarez",Bulgaria,2024-11-14,Need Compound,MUL,Kit,Standard,2025-10-25,MAT-26378,James Wu,19:12:01,CT-5806-JWO
"Hicks, Forbes and Alvarez",Papua New Guinea,2025-03-17,South Compound,ENG,Kit,Custom,2025-05-26,MAT-39857,Tony Doyle,11:34:11,CT-5806-JWO
"Hicks, Forbes and Alvarez",Algeria,2024-05-29,South Compound,MUL,Kit,Standard,2025-11-07,MAT-39857,Joel Thomas,12:18:35,CT-5806-JWO
"Hicks, Forbes and Alvarez",Guyana,2023-12-15,South Compound,MUL,Kit,Standard,2025-10-16,MAT-39857,Francisco Roy,06:46:24,CT-5806-JWO
"Hicks, Forbes and Alvarez",Nicaragua,2024-11-09,South Compound,ENG,Kit,Standard,2025-08-12,MAT-39857,Christina Dixon,14:53:16,CT-5806-JWO
"Hicks, Forbes and Alvarez",Pakistan,2024-04-27,South Compound,MUL,Kit,Custom,2025-06-20,MAT-39857,John Webb,01:02:47,CT-5806-JWO
"Hicks, Forbes and Alvarez",Bulgaria,2024-09-10,South Compound,LOC,Kit,Standard,2025-10-21,MAT-39857,Mario Mann,14:39:10,CT-5806-JWO
Johnson PLC,Serbia,2024-02-24,Form Compound,ENG,Bottle,Standard,2025-11-07,MAT-91309,Mark Downs,03:49:56,CT-8015-GMQ
Johnson PLC,Morocco,2024-01-19,Form Compound,MUL,Bottle,Custom,2025-07-31,MAT-91309,James Dillon,16:34:32,CT-8015-GMQ
Johnson PLC,Marshall Islands,2025-05-04,Form Compound,ENG,Bottle,Standard,2025-08-17,MAT-91309,Thomas Acevedo,08:55:24,CT-8015-GMQ
Johnson PLC,Guam,2023-11-14,Form Compound,ENG,Bottle,Custom,2025-09-29,MAT-91309,Jonathan Aguirre,02:07:31,CT-8015-GMQ
Johnson PLC,Anguilla,2024-10-19,Form Compound,LOC,Bottle,Standard,2025-09-19,MAT-91309,John Burgess,03:38:02,CT-8015-GMQ
Johnson PLC,Serbia,2024-11-09,Recognize Compound,MUL,Blister,Standard,2025-08-02,MAT-74459,John Herrera,09:30:40,CT-8015-GMQ
Johnson PLC,Morocco,2025-02-15,Recognize Compound,LOC,Blister,Custom,2025-08-27,MAT-74459,Becky Mccann,01:41:19,CT-8015-GMQ
Johnson PLC,Marshall Islands,2023-11-18,Recognize Compound,ENG,Blister,Standard,2025-09-26,MAT-74459,Michelle Williams,01:56:28,CT-8015-GMQ
Johnson PLC,Guam,2024-06-19,Recognize Compound,ENG,Blister,Standard,2025-06-05,MAT-74459,Sara Herrera,19:22:14,CT-8015-GMQ
Johnson PLC,Anguilla,2024-11-07,Recognize Compound,MUL,Blister,Standard,2025-11-02,MAT-74459,James Hawkins,16:04:35,CT-8015-GMQ
Ortega-Peterson,Philippines,2024-10-15,Theory Compound,MUL,Bottle,Custom,2025-08-23,MAT-66331,Sue Moore,10:43:40,CT-8872-GKR
Ortega-Peterson,Cambodia,2025-04-26,Theory Compound,MUL,Bottle,Custom,2025-10-18,MAT-66331,Scott Baxter,06:57:42,CT-8872-GKR
Ortega-Peterson,British Virgin Islands,2025-02-03,Theory Compound,ENG,Bottle,Standard,2025-07-09,MAT-66331,Chloe Lewis,06:14:41,CT-8872-GKR
Ortega-Peterson,Philippines,2024-04-22,Study Compound,ENG,Bottle,Standard,2025-11-11,MAT-23246,Charles Trujillo,07:46:58,CT-8872-GKR
Ortega-Peterson,Cambodia,2025-02-15,Study Compound,MUL,Bottle,Custom,2025-05-26,MAT-23246,Erika Schwartz,15:40:35,CT-8872-GKR
Ortega-Peterson,British Virgin Islands,2025-03-18,Study Compound,ENG,Bottle,Standard,2025-07-03,MAT-23246,John Macias,14:24:32,CT-8872-GKR
Ortega-Peterson,Philippines,2024-04-06,Public Compound,ENG,Kit,Custom,2025-08-14,MAT-58804,Andrew Baker,08:59:48,CT-8872-GKR
Ortega-Peterson,Cambodia,2024-06-18,Public Compound,MUL,Kit,Custom,2025-05-19,MAT-58804,Michael Schwartz,07:36:48,CT-8872-GKR
Ortega-Peterson,British Virgin Islands,2025-01-12,Public Compound,MUL,Kit,Custom,2025-07-15,MAT-58804,Courtney Herrera MD,16:17:33,CT-8872-GKR
"Wood, Dalton and Ellison",Haiti,2025-02-02,Available Compound,MUL,Kit,Standard,2025-08-05,MAT-14115,Charles Mccarthy,18:14:39,CT-1696-SCY
"Wood, Dalton and Ellison",Guyana,2024-07-20,Available Compound,LOC,Kit,Standard,2025-07-07,MAT-14115,Ms. Tina Gibson,19:56:39,CT-1696-SCY
"Wood, Dalton and Ellison",Dominican Republic,2025-03-02,Available Compound,LOC,Kit,Standard,2025-08-09,MAT-14115,Bridget Howard,15:27:15,CT-1696-SCY
"Wood, Dalton and Ellison",Kazakhstan,2024-09-22,Available Compound,LOC,Kit,Standard,2025-06-08,MAT-14115,Dr. Andrew Wallace,20:22:07,CT-1696-SCY
"Wood, Dalton and Ellison",Haiti,2024-09-29,Country Compound,LOC,Kit,Standard,2025-05-17,MAT-78401,Austin Martin,02:04:31,CT-1696-SCY
"Wood, Dalton and Ellison",Guyana,2024-10-26,Country Compound,ENG,Kit,Custom,2025-07-14,MAT-78401,Joshua Banks,06:39:31,CT-1696-SCY
"Wood, Dalton and Ellison",Dominican Republic,2024-08-21,Country Compound,LOC,Kit,Custom,2025-07-11,MAT-78401,Pamela Mccall,09:20:44,CT-1696-SCY
"Wood, Dalton and Ellison",Kazakhstan,2024-07-29,Country Compound,MUL,Kit,Standard,2025-06-08,MAT-78401,Joanne Williams,00:11:43,CT-1696-SCY
