Trial Alias,Plant ID,Planning Plant,Material ID,Material,MRP element data,MRP element number,Abbreviation for MRP element,Account Number of Vendor or Creditor,Availability indicator,Calendar Day,Calendar Year,Calendar Year/Week,Customer name,Source number for order,Customer Number,Delivery/order finish date,Quantity received or quantity required,Issuing/Receiving Storage Location,Exception message number,Receipt/issue indicator,Receipt/Requirements date,Request Transaction Sequence Number,Rescheduling date,Start/release date,Storage Location,Tracking Number,Vendor name
CT-6910-RDE,AP03,AP03,MAT-93657,Dog Patch,Order,C87DA7B5-D02,MRP-58,66,Firm,2025-01-01,Detail,Sign,Lopez LLC,F038C3DD-DF4,4656212,2025-02-09,92,Enough,819430786,Particularly,2025-02-13,25907114,2025-09-11,2025-01-11,Officer,TRK61505227,Williams-James Pharma
CT-3472-PNG,US01,US01,MAT-22152,Culture Solution,Order,502EC192-A84,MRP-17,245,Check,2026-06-10,Fire,Design,Walsh LLC,95696318-323,8258376,2025-06-09,63,Activity,971052201,Child,2025-06-06,46707928,2024-03-15,2024-12-12,Environmental,TRK52631769,Sharp and Sons Pharma
CT-8970-PLO,AP03,AP03,MAT-85304,Artist Solution,Order,D30AB6AE-A77,MRP-14,423,She,2024-10-14,Somebody,Response,Austin Ltd,81962565-3BA,5497430,2025-10-23,90,If,501473804,Ago,2025-10-23,13983932,2023-12-30,2026-03-20,Financial,TRK59960780,"Mckenzie, Norman and Hansen Pharma"
CT-6109-EDZ,AP03,AP03,MAT-86168,Run Solution,Order,93E2AB3B-625,MRP-28,116,Relate,2024-10-24,Enjoy,Owner,Vega Ltd,1591A2AC-D6F,7237189,2025-06-28,223,Push,339175086,For,2025-07-02,18190808,2026-09-22,2024-02-11,Learn,TRK83333906,Landry-Sutton Pharma
CT-8742-ECD,EU02,EU02,MAT-15875,Happy Solution,Order,49D908EC-D19,MRP-51,177,Report,2024-05-02,Imagine,Argue,"Norris, Carlson and Mooney",661396B5-BE2,6056132,2025-07-10,139,Investment,784982101,Whom,2025-07-12,97900986,2025-07-13,2024-03-21,Central,TRK88156454,Phillips-Anderson Pharma
CT-6910-RDE,EU02,EU02,MAT-33689,South Capsule,Order,7F8EA55C-605,MRP-56,230,Design,2025-10-24,Bill,Environment,Barry LLC,C8CA32C6-E9E,8983437,2024-12-31,140,Song,214859282,They,2025-01-03,43954216,2025-12-12,2024-09-13,Someone,TRK58167826,Martin Ltd Pharma
CT-5014-EEP,LAT04,LAT04,MAT-39627,Fund Tablet,Order,AB2CA71A-47C,MRP-96,200,Simply,2025-10-30,Mouth,Ever,"Young, Lee and Anderson",E1DECF3D-AD6,9458908,2024-12-28,262,Page,664879866,Add,2025-01-01,87597730,2026-10-27,2024-10-12,Buy,TRK26489253,King Group Pharma
CT-2004-PSX,EU02,EU02,MAT-60599,Traditional Patch,Order,EA3FBE37-E91,MRP-78,367,Rather,2025-01-16,Those,Central,Ford LLC,A3929C23-5C7,9171593,2025-02-06,25,Sing,246513868,Behind,2025-02-11,97656114,2026-05-27,2024-03-12,Late,TRK59290821,Mahoney Ltd Pharma
CT-9831-IEW,LAT04,LAT04,MAT-16078,Stock Patch,Order,C2863B49-6B7,MRP-48,24,Leg,2025-11-01,Shoulder,Degree,"Duncan, Rivera and Morgan",A7AEB7DC-2CF,7471384,2025-04-06,290,Blue,185125876,Tonight,2025-04-08,79170485,2025-11-22,2025-06-19,Add,TRK48391538,"Evans, White and Lee Pharma"
CT-7484-BIH,AP03,AP03,MAT-66374,Oil Tablet,Order,7EA3E715-4EB,MRP-72,168,Office,2024-04-13,Per,Hot,Graham Ltd,A7510327-2D1,9203905,2025-11-20,31,Outside,306797828,Audience,2025-11-21,22106218,2024-01-15,2026-04-01,Build,TRK61582462,"King, Koch and Campbell Pharma"
CT-3395-UCM,US01,US01,MAT-40706,Keep Capsule,Order,F52B62BD-E91,MRP-71,293,Record,2025-05-23,Site,Wall,Gibson-Lopez,93E2AB3B-625,7643287,2025-05-13,122,Laugh,555077031,Network,2025-05-18,17670073,2025-01-02,2024-03-05,Major,TRK92020390,Mills-Gray Pharma
CT-1696-SCY,US01,US01,MAT-78401,Expect Tablet,Order,D465FA61-668,MRP-21,279,Different,2024-08-18,Within,Within,Smith-Jacobs,19B119B0-986,5812565,2025-03-04,197,Or,332454071,Bill,2025-03-01,60158205,2025-02-06,2026-08-03,Skin,TRK69613135,"Nolan, Smith and Barker Pharma"
CT-6592-IDY,LAT04,LAT04,MAT-49508,Able Patch,Order,BAFF899E-7D4,MRP-70,452,Vote,2023-12-12,Girl,Reveal,Spencer Group,A7510327-2D1,6724173,2024-12-06,12,Reveal,414005302,Language,2024-12-08,77931973,2025-03-04,2026-08-13,Course,TRK16044193,Patterson Group Pharma
CT-3472-PNG,US01,US01,MAT-22152,Culture Solution,Order,082EC977-749,MRP-10,172,Street,2024-01-16,Up,Manage,Chavez PLC,C9553C30-3C9,2217489,2025-09-27,242,Probably,175627244,Under,2025-10-01,24205793,2026-06-30,2023-12-09,Say,TRK26443086,"Castaneda, Kelley and Wilson Pharma"
CT-8742-ECD,EU02,EU02,MAT-15875,Happy Solution,Order,1DE4A4D7-80D,MRP-48,118,Describe,2025-10-17,Gas,Send,Hensley-Sims,092A544D-1B7,8381874,2025-11-13,171,Society,261945571,Owner,2025-11-10,35912719,2026-08-19,2025-11-27,Research,TRK66152699,George and Sons Pharma
CT-7487-KNX,US01,US01,MAT-59372,Issue Patch,Order,4FFC728A-450,MRP-69,178,Answer,2024-05-10,Hit,Activity,Hartman Group,F58F8FB7-75D,6859269,2025-10-16,23,Discussion,113837381,Arrive,2025-10-15,30170618,2024-10-26,2025-07-06,Any,TRK02309742,Moore-Villarreal Pharma
CT-6551-IBW,EU02,EU02,MAT-79992,Anyone Tablet,Order,BE0807F8-705,MRP-40,31,Record,2025-08-06,Travel,Couple,Berg Inc,603EDC76-89F,1384621,2025-04-23,175,Now,950998956,Power,2025-04-27,76053269,2026-10-03,2026-09-29,Nearly,TRK97184020,Ross-Powers Pharma
CT-9781-BYC,EU02,EU02,MAT-31615,Trouble Capsule,Order,C863EED3-4DE,MRP-27,124,Radio,2025-07-17,Strategy,Act,Lopez PLC,41D466A6-21E,5864208,2025-03-24,107,Outside,543815454,Break,2025-03-26,43136307,2026-09-05,2025-03-12,These,TRK63123203,Kelley-Jones Pharma
CT-9831-IEW,AP03,AP03,MAT-49651,High Injection,Order,1591A2AC-D6F,MRP-68,47,Century,2026-07-25,Record,Indeed,Grimes Inc,9F746DC7-45B,4525020,2025-01-18,16,Bag,906474688,Wish,2025-01-22,20135430,2026-06-14,2025-01-28,Education,TRK61591241,Smith-Perez Pharma
CT-7484-BIH,LAT04,LAT04,MAT-66257,Hundred Solution,Order,805781A7-E1A,MRP-22,420,Paper,2024-01-27,A,Total,Brown-Miller,79E2FD5B-55E,7430427,2025-05-02,229,Could,624402982,Professional,2025-05-06,31683483,2024-01-10,2026-04-05,Foot,TRK06013290,Lee-Price Pharma
CT-8742-ECD,LAT04,LAT04,MAT-16848,Blue Patch,Order,13D53FD1-2EA,MRP-14,445,The,2025-06-07,Can,However,Riddle-Smith,AED5210F-538,2141619,2025-10-09,20,Case,656782264,Write,2025-10-12,55981183,2025-12-29,2025-07-20,Mouth,TRK73673267,Ortiz Ltd Pharma
CT-3230-HFO,US01,US01,MAT-73628,Health Solution,Order,354C0CEF-9FF,MRP-99,31,Use,2026-10-04,Everyone,Late,Parker LLC,13D23ECC-032,7294832,2025-04-05,67,Here,572348955,Himself,2025-04-03,31570494,2026-07-03,2026-05-09,Class,TRK95779101,Lamb-Allison Pharma
CT-8742-ECD,EU02,EU02,MAT-15875,Happy Solution,Order,48F49FFF-6F5,MRP-23,245,Media,2024-05-06,Strategy,Value,"Curtis, Bonilla and Norman",2F2C7D94-2CE,1414008,2024-12-27,79,Human,163934327,Sing,2025-01-01,38909069,2024-06-02,2025-03-03,Table,TRK61238219,Moore and Sons Pharma
CT-2004-PSX,EU02,EU02,MAT-97442,Common Patch,Order,37399508-4AE,MRP-63,11,Fear,2026-05-03,Foreign,Usually,Lopez-Peters,F892BADA-B88,9643535,2025-11-02,237,Argue,574271752,For,2025-11-01,32336900,2024-04-18,2025-12-02,Situation,TRK08480112,"Mosley, George and Mckenzie Pharma"
CT-8970-PLO,US01,US01,MAT-86920,Various Solution,Order,9CBEBD35-414,MRP-62,430,System,2025-02-12,Suffer,While,Wilson-Solomon,84B7FABF-DFC,2359546,2025-03-30,190,Protect,876343061,List,2025-03-28,11394745,2024-07-23,2025-05-01,Fish,TRK16995426,Chang-Davis Pharma
CT-6910-RDE,US01,US01,MAT-22108,Win Injection,Order,0559EAA9-2EA,MRP-29,367,Central,2024-04-26,Rise,Apply,Rivas PLC,C3C4CA8C-DA3,6280927,2025-04-22,54,Admit,109937779,Together,2025-04-24,21281020,2025-03-08,2024-02-15,With,TRK85718605,Colon-Holmes Pharma
