CC Characteristic_Value_Number,CC Characteristic Value Text,Characteristic description,Characteristic Format,Characteristic Id,Characteristic Name,Delete Flag,Division Id,Material Grp Id,Material Grp Name,Material ID,Material Name,Material Type Description,Material Type Id,Mrp Controller Id,MRP Controller Name,Name,Plant Id,Plant Specific Material Status,Profit Center Full Name,Profit Center Id,Profit Center Name,TXTSH,Value Control,GROSS_WT,NET_WEIGHT,Trial Alias
9520,Double Blind,Traditional Patch specification,Whom,CHAR-86401,Herself Compound,Yes,646628767,454753750,Total firm happen,MAT-60599,Traditional Patch,Ancillary Supply,Ancillary Supply,MRP-113,MRP-113,Baby leg,EU02,Pending,Them international child trial,293858205,Music culture base,Administration,2108.23,2.39,2.25,CT-2004-PSX
1735,Comparator,Offer Tablet specification,Eye,CHAR-57269,Society Compound,Yes,591223306,139138293,Natural in space,MAT-32011,Offer Tablet,Comparator,Comparator,MRP-134,MRP-134,Customer share fact,EU02,Active,Choice budget,557857776,Have term single keep,Share,856.73,1.51,2.43,CT-2004-PSX
5432,Double Blind,Common Patch specification,Woman,CHAR-45444,Fire Compound,Yes,914006124,998004085,Catch TV,MAT-97442,Common Patch,Comparator,Comparator,MRP-101,MRP-101,Order night,EU02,Active,From single,470302106,Guy weight three most,Hair,1646.34,2.77,3.56,CT-2004-PSX
4997,Double Blind,Able Patch specification,Answer,CHAR-84353,Oil Compound,Yes,539235293,341234212,Significant break center,MAT-49508,Able Patch,Ancillary Supply,Ancillary Supply,MRP-116,MRP-116,Gun glass buy,LAT04,Closed,Rise door stage,635484018,Part become scene,Father,3314.01,4.16,3.2,CT-6592-IDY
4622,Double Blind,Myself Capsule specification,Under,CHAR-72091,Cause Compound,No,256145332,326039209,Seven air arm talk oil,MAT-17085,Myself Capsule,Investigational Product,Investigational Product,MRP-106,MRP-106,Glass down,LAT04,Pending,Good instead across base national,227116688,Team whether,Organization,1073.78,2.95,3.02,CT-6592-IDY
3369,Double Blind,Help Solution specification,Central,CHAR-89734,Eat Compound,No,475201351,359498337,Box receive black,MAT-84265,Help Solution,Ancillary Supply,Ancillary Supply,MRP-137,MRP-137,Culture method when,EU02,Closed,Evening professor computer than,589750691,Story certainly security include,Tend,2600.09,1.82,2.3,CT-8970-PLO
9928,Comparator,Range Solution specification,Grow,CHAR-14703,Instead Compound,Yes,838483639,540923905,Society control lose,MAT-82398,Range Solution,Investigational Product,Investigational Product,MRP-137,MRP-137,Positive short maintain,EU02,Pending,Event affect health war,227258043,Opportunity sense,Final,1251.06,1.52,3.99,CT-8970-PLO
5564,Comparator,Artist Solution specification,Point,CHAR-19851,Try Compound,Yes,127461981,227692228,Serve today decision,MAT-85304,Artist Solution,Ancillary Supply,Ancillary Supply,MRP-117,MRP-117,Including change consider,AP03,Completed,Spend body,364772319,Down apply dream military,Tax,2772.17,3.75,0.79,CT-8970-PLO
3209,Comparator,Various Solution specification,Table,CHAR-17342,Than Compound,Yes,580864702,297826972,Memory would also,MAT-86920,Various Solution,Investigational Product,Investigational Product,MRP-105,MRP-105,Lot identify,US01,Active,Happen throughout,819285973,Cup time behavior,Will,2455.88,1.77,0.82,CT-8970-PLO
7350,Sterile,Figure Capsule specification,Want,CHAR-92466,Who Compound,No,685849741,975445642,Claim feeling that,MAT-42350,Figure Capsule,Comparator,Comparator,MRP-130,MRP-130,Beat line serious good government,AP03,Closed,Never price ball car,343996476,Attention paper,Figure,4062.94,3.27,1.29,CT-5806-JWO
