gross_weight (unit-kilogram),goods_rcpt_pr_time,net_weight_of_item,delivery_time,total_repleishment_lead_time,ct_resticker_count,rounding_val_for_purcahse_ordr,safety_time,base_unit_of_measure,mrp_type,division,material_number,material_group,material_type,mrp_controller,plant,product_hierarchy,purchasing_group,unit_of_measure,weight_unit,base_unit_of_measure_2,procurement_type,ct_comparator,dose_form,ct_dose_form_type,dosage_strength,dosage_strength_uom,general_item_category_group,lilly_number,lot_size,pack_type,plant_specific_material_status,ct_primary_pack_type,transportation_group,batch_management_rqrmnt_indctr
20.13,2025-05-16,46.69,2025-01-20,2026-09-25,438,Statement,2026-05-14,Kid,PD,Effort,MAT-60599,MG311,Ancillary Supply,MRP-113,EU02,9.9.6,PG70,EA,kg,Someone,In-House,No,Injection,Tree,33.05,mg,Bed,831717073,LOT-51070012,Kit,Pending,Over,LAND,Painting
23.06,2024-05-30,12.53,2025-05-22,2024-11-27,140,Office,2023-12-06,Road,VB,Pattern,MAT-32011,MG340,Comparator,MRP-134,EU02,3.6.3,PG74,EA,kg,Music,Consignment,Yes,Injection,Responsibility,115.61,mg,Toward,520323106,LOT-71110407,Blister,Active,Subject,SEA,Before
13.22,2025-12-14,45.96,2026-03-14,2026-06-15,50,Memory,2024-06-10,Reveal,PD,Food,MAT-97442,MG396,Comparator,MRP-101,EU02,2.1.2,PG24,EA,kg,Look,External,Yes,Capsule,Reach,109.92,mcg,Place,366020860,LOT-84562329,Bottle,Active,Answer,AIR,Bring
47.75,2026-10-12,11.01,2026-08-08,2024-10-10,383,Change,2024-02-03,Reality,VV,Individual,MAT-49508,MG312,Ancillary Supply,MRP-116,LAT04,6.8.6,PG87,EA,kg,Heavy,Consignment,No,Patch,Evidence,135.91,mcg,Name,745464204,LOT-19895402,Bottle,Pending,Fear,AIR,Worker
29.06,2024-03-01,47.24,2025-04-25,2026-10-20,155,Democrat,2026-09-05,Good,VB,Black,MAT-17085,MG203,Investigational Product,MRP-106,LAT04,2.6.7,PG91,EA,kg,Conference,In-House,Yes,Injection,Minute,130.16,mL,Idea,741758016,LOT-30324704,Carton,Completed,And,SEA,Firm
7.44,2026-03-08,13.23,2024-04-28,2026-01-10,13,Improve,2023-12-22,Leg,VV,Red,MAT-84265,MG220,Ancillary Supply,MRP-137,EU02,7.2.1,PG82,EA,kg,Become,Consignment,No,Injection,Material,170.77,mcg,Republican,255569632,LOT-16824774,Bottle,Active,Thousand,SEA,Image
38.11,2024-09-02,15.15,2025-08-10,2025-09-10,333,Fact,2024-03-03,Remain,VB,Use,MAT-82398,MG347,Investigational Product,MRP-137,EU02,9.5.3,PG19,EA,kg,Street,In-House,No,Injection,Piece,115.64,mcg,New,305245872,LOT-96926481,Bottle,Closed,May,SEA,Go
14.15,2026-04-23,24.18,2024-02-08,2023-11-27,285,Lead,2024-02-20,Wind,VB,Sure,MAT-85304,MG268,Ancillary Supply,MRP-117,AP03,2.4.9,PG95,EA,kg,Four,Consignment,No,Patch,Who,17.85,mL,Suggest,764796372,LOT-91428756,Bottle,Active,Hit,LAND,Tend
6.33,2025-03-04,12.49,2025-03-25,2024-07-24,455,Bed,2026-07-27,Question,VB,Find,MAT-86920,MG238,Investigational Product,MRP-105,US01,6.7.5,PG34,EA,kg,By,External,Yes,Injection,Into,137.09,mL,Himself,115547867,LOT-26730959,Bottle,Pending,Relationship,SEA,Any
27.6,2025-01-09,46.2,2025-12-31,2026-11-11,479,List,2026-08-25,Lead,PD,Necessary,MAT-42350,MG313,Comparator,MRP-130,AP03,5.7.3,PG35,EA,kg,Poor,In-House,No,Patch,National,137.63,mg,Technology,325775727,LOT-12068529,Bottle,Closed,Plan,LAND,On
