study_alias,country_name,site_reference_number,enrollment_over_time_level,period_frequency,period_start_date,period_end_date,patients_screened_forecast,patients_screened_actual,patients_enrolled_forecast,patients_enrolled_actual,patients_screened_planned,patients_enrolled_planned
CT-2004-PSX,Zimbabwe,SITE-101,Site,Quarterly,2024-06-13,2024-09-11,18,27,11,9,25,52
CT-2004-PSX,Puerto Rico,SITE-102,Study,Monthly,2024-11-08,2025-02-06,71,44,15,10,50,35
CT-2004-PSX,Puerto Rico,SITE-103,Country,Quarterly,2025-05-27,2025-08-25,11,26,47,17,35,37
CT-2004-PSX,Christmas Island,SITE-104,Site,Monthly,2024-06-26,2024-09-24,63,40,21,41,18,38
CT-2004-PSX,Christmas Island,SITE-105,Country,Quarterly,2025-03-09,2025-06-07,42,13,21,10,74,50
CT-2004-PSX,Guinea-Bissau,SITE-106,Study,Quarterly,2025-07-03,2025-10-01,79,19,25,21,63,19
CT-2004-PSX,Guinea-Bissau,SITE-107,Study,Quarterly,2024-06-14,2024-09-12,61,58,23,52,31,10
CT-2004-PSX,Guinea-Bissau,SITE-108,Country,Monthly,2025-06-04,2025-09-02,42,24,12,15,72,37
CT-6592-IDY,Paraguay,SITE-109,Country,Quarterly,2025-03-18,2025-06-16,78,67,28,21,10,55
CT-6592-IDY,Barbados,SITE-110,Study,Quarterly,2025-02-20,2025-05-21,54,37,28,44,16,56
CT-8970-PLO,Aruba,SITE-111,Country,Monthly,2024-11-15,2025-02-13,44,30,8,24,29,55
CT-8970-PLO,Aruba,SITE-112,Site,Monthly,2025-02-02,2025-05-03,65,64,20,43,46,51
CT-8970-PLO,Liechtenstein,SITE-113,Site,Monthly,2025-02-09,2025-05-10,59,27,27,5,57,25
CT-8970-PLO,Liechtenstein,SITE-114,Study,Quarterly,2024-12-20,2025-03-20,46,63,59,48,52,25
CT-8970-PLO,Liechtenstein,SITE-115,Country,Monthly,2024-07-07,2024-10-05,64,21,25,9,61,44
CT-8970-PLO,Mozambique,SITE-116,Site,Monthly,2025-07-12,2025-10-10,39,51,50,54,13,12
