Material Number,BOM Status,Label Material Status,LY Number,Created Date,SAP Assigned Material Description,PARENT Alt BOM Number,BOM Type,BOM Entered,BOM Approved,BOM Active,Label Material Number Description Due Date,Label Material Number,Assigned SAP Label Material Description,Trial Alias,Trial Number
MAT-60599,Inactive,In Design,LY874466,2024-08-17,Traditional Patch,BOM-11868,Regular,2023-12-31,2025-02-19,Yes,Player Solution,LBL-56008,Traditional Patch,CT-2004-PSX,CT-2004-PSX
MAT-32011,Pending,In Design,LY626777,2025-09-07,Offer Tablet,BOM-27513,Alternate,2024-08-22,2025-03-17,No,Hundred Solution,LBL-42948,Offer Tablet,CT-2004-PSX,CT-2004-PSX
MAT-97442,Inactive,Available,LY296886,2025-08-24,Common Patch,BOM-73062,Alternate,2024-08-12,2025-01-15,No,Expect Tablet,LBL-94302,Common Patch,CT-2004-PSX,CT-2004-PSX
MAT-49508,Inactive,Available,LY492628,2025-08-13,Able Patch,BOM-29949,Alternate,2024-11-08,2025-05-05,No,Common Patch,LBL-38429,Able Patch,CT-6592-IDY,CT-6592-IDY
MAT-17085,Pending,In Design,LY565988,2024-09-24,Myself Capsule,BOM-59361,Alternate,2024-07-20,2025-03-19,No,Property Tablet,LBL-32104,Myself Capsule,CT-6592-IDY,CT-6592-IDY
MAT-84265,Inactive,In Design,LY722141,2025-03-06,Help Solution,BOM-54704,Alternate,2024-10-22,2025-02-21,No,Sense Tablet,LBL-24290,Help Solution,CT-8970-PLO,CT-8970-PLO
MAT-82398,Inactive,Available,LY360184,2024-04-24,Range Solution,BOM-41134,Regular,2024-03-23,2024-12-23,Yes,Traditional Patch,LBL-19686,Range Solution,CT-8970-PLO,CT-8970-PLO
MAT-85304,Pending,In Design,LY514076,2024-11-18,Artist Solution,BOM-75648,Alternate,2024-01-26,2025-05-01,No,Indicate Patch,LBL-61487,Artist Solution,CT-8970-PLO,CT-8970-PLO
MAT-86920,Active,Available,LY545969,2025-01-04,Various Solution,BOM-92348,Alternate,2024-07-26,2025-02-21,No,They Capsule,LBL-36541,Various Solution,CT-8970-PLO,CT-8970-PLO
MAT-42350,Pending,Available,LY988983,2024-07-20,Figure Capsule,BOM-91082,Regular,2024-08-31,2025-04-27,Yes,Trouble Capsule,LBL-12858,Figure Capsule,CT-5806-JWO,CT-5806-JWO
