trial_alias,order_num,operation_num,operation_description,plant_id,actual_end_date,planned_end_date,days_off,flag_delete
CT-6910-RDE,C87DA7B5-D02,001,Preparation,AP03,2025-02-06,2025-02-08,4,No
CT-6910-RDE,C87DA7B5-D02,002,Assembly,AP03,2025-02-06,2025-01-30,-1,Yes
CT-6910-RDE,C87DA7B5-D02,003,Release,AP03,2025-02-12,2025-02-07,4,No
CT-3472-PNG,502EC192-A84,001,Preparation,US01,2025-06-02,2025-05-29,4,Yes
CT-3472-PNG,502EC192-A84,002,Assembly,US01,2025-05-30,2025-05-30,-1,No
CT-3472-PNG,502EC192-A84,003,Release,US01,2025-05-28,2025-06-06,-5,No
CT-8970-PLO,D30AB6AE-A77,001,Preparation,AP03,2025-10-15,2025-10-19,-1,No
CT-8970-PLO,D30AB6AE-A77,002,Assembly,AP03,2025-10-19,2025-10-12,-1,Yes
CT-8970-PLO,D30AB6AE-A77,003,Release,AP03,2025-10-13,2025-10-13,2,No
CT-6109-EDZ,93E2AB3B-625,001,Preparation,AP03,2025-07-01,2025-06-27,-4,No
CT-6109-EDZ,93E2AB3B-625,002,Assembly,AP03,2025-06-27,2025-06-27,3,No
CT-6109-EDZ,93E2AB3B-625,003,Release,AP03,2025-07-01,2025-06-15,2,No
CT-8742-ECD,49D908EC-D19,001,Preparation,EU02,2025-07-07,2025-07-05,-3,No
CT-8742-ECD,49D908EC-D19,002,Assembly,EU02,2025-07-06,2025-07-07,-1,Yes
CT-8742-ECD,49D908EC-D19,003,Release,EU02,2025-07-02,2025-07-05,-4,Yes
CT-6910-RDE,7F8EA55C-605,001,Preparation,EU02,2024-12-24,2024-12-29,-5,No
CT-6910-RDE,7F8EA55C-605,002,Assembly,EU02,2025-01-02,2024-12-30,-5,No
CT-6910-RDE,7F8EA55C-605,003,Release,EU02,2024-12-24,2024-12-19,-4,No
CT-5014-EEP,AB2CA71A-47C,001,Preparation,LAT04,2024-12-30,2024-12-25,2,Yes
CT-5014-EEP,AB2CA71A-47C,002,Assembly,LAT04,2024-12-24,2024-12-18,-3,Yes
CT-5014-EEP,AB2CA71A-47C,003,Release,LAT04,2024-12-22,2024-12-21,-1,No
CT-2004-PSX,EA3FBE37-E91,001,Preparation,EU02,2025-02-04,2025-02-02,5,No
CT-2004-PSX,EA3FBE37-E91,002,Assembly,EU02,2025-02-10,2025-01-31,4,No
CT-2004-PSX,EA3FBE37-E91,003,Release,EU02,2025-02-05,2025-01-28,-2,No
CT-9831-IEW,C2863B49-6B7,001,Preparation,LAT04,2025-03-30,2025-03-22,3,No
CT-9831-IEW,C2863B49-6B7,002,Assembly,LAT04,2025-04-03,2025-03-27,4,Yes
