Trial Alias,Site Number,Country,Shipment (#),Package Description,Package Count,Request Date,Days Outstanding
CT-6910-RDE,SITE-170,Russian Federation,SHP-5135391,Dog Patch,3,2025-02-09,277
CT-8970-PLO,SITE-114,Liechtenstein,SHP-1101725,Artist Solution,7,2025-10-23,21
CT-6109-EDZ,SITE-199,Seychelles,SHP-9522024,Run Solution,6,2025-06-28,138
CT-8742-ECD,SITE-172,Korea,SHP-3399778,Happy Solution,7,2025-07-10,126
CT-6910-RDE,SITE-165,Pakistan,SHP-1655532,South Capsule,5,2024-12-31,317
CT-5014-EEP,SITE-248,Azerbaijan,SHP-3362400,Fund Tablet,4,2024-12-28,320
CT-9831-IEW,SITE-207,Jersey,SHP-6930743,Stock Patch,5,2025-04-06,221
CT-7484-BIH,SITE-269,Niger,SHP-4532141,Oil Tablet,3,2025-11-20,0
CT-3395-UCM,SITE-218,Turkey,SHP-5726378,Keep Capsule,1,2025-05-13,184
CT-1696-SCY,SITE-147,Haiti,SHP-5706263,Expect Tablet,10,2025-03-04,254
CT-6592-IDY,SITE-110,Barbados,SHP-1383778,Able Patch,10,2024-12-06,342
CT-3472-PNG,SITE-303,Haiti,SHP-9913936,Culture Solution,8,2025-09-27,47
CT-8742-ECD,SITE-176,San Marino,SHP-9427886,Happy Solution,6,2025-11-13,0
CT-7487-KNX,SITE-278,Cuba,SHP-4550235,Issue Patch,4,2025-10-16,28
CT-6551-IBW,SITE-291,Italy,SHP-4686133,Anyone Tablet,9,2025-04-23,204
CT-9781-BYC,SITE-306,Albania,SHP-1985274,Trouble Capsule,1,2025-03-24,234
CT-9831-IEW,SITE-211,Pitcairn Islands,SHP-9962121,High Injection,1,2025-01-18,299
CT-7484-BIH,SITE-268,Niger,SHP-8423123,Hundred Solution,1,2025-05-02,195
CT-3230-HFO,SITE-285,Libyan Arab Jamahiriya,SHP-6613144,Health Solution,10,2025-04-05,222
CT-8742-ECD,SITE-173,Korea,SHP-3166907,Happy Solution,10,2024-12-27,321
CT-6910-RDE,SITE-171,Russian Federation,SHP-9095184,Win Injection,8,2025-04-22,205
CT-8742-ECD,SITE-176,San Marino,SHP-1139059,Article Tablet,1,2025-01-07,310
CT-3636-AVP,SITE-261,Estonia,SHP-6070348,Agency Injection,4,2025-02-16,270
CT-6551-IBW,SITE-293,Madagascar,SHP-5814817,Member Solution,4,2025-07-24,112
CT-8015-GMQ,SITE-133,Morocco,SHP-9126617,Memory Solution,7,2025-07-07,129
CT-3636-AVP,SITE-259,Estonia,SHP-7422709,Agency Injection,5,2025-11-27,0
CT-6592-IDY,SITE-110,Barbados,SHP-4974531,Able Patch,6,2025-04-16,211
CT-6551-IBW,SITE-293,Madagascar,SHP-1424048,Anyone Tablet,4,2025-01-03,314
CT-3228-ZKT,SITE-159,Thailand,SHP-8539282,Tree Injection,5,2025-01-11,306
CT-3636-AVP,SITE-252,Burundi,SHP-7410956,Though Solution,1,2025-02-25,261
CT-9771-CZL,SITE-235,British Virgin Islands,SHP-8391293,Us Solution,9,2024-12-13,335
CT-3230-HFO,SITE-285,Libyan Arab Jamahiriya,SHP-2518445,Health Solution,5,2025-09-02,72
CT-7487-KNX,SITE-276,Cyprus,SHP-3311517,Issue Patch,5,2025-08-08,97
CT-6910-RDE,SITE-165,Pakistan,SHP-7409824,Win Injection,5,2025-08-10,95
CT-8872-GKR,SITE-145,Cambodia,SHP-8897413,Step Solution,1,2025-10-15,29
CT-3472-PNG,SITE-296,Puerto Rico,SHP-9316999,Speech Patch,3,2025-07-28,108
CT-9831-IEW,SITE-207,Jersey,SHP-1818026,High Injection,3,2025-10-24,20
CT-5014-EEP,SITE-249,Azerbaijan,SHP-4198052,They Capsule,2,2025-07-23,113
CT-8970-PLO,SITE-116,Mozambique,SHP-1173416,Help Solution,3,2025-08-16,89
CT-8015-GMQ,SITE-131,Serbia,SHP-8357432,Simply Injection,8,2024-12-24,324
CT-9781-BYC,SITE-311,Moldova,SHP-3999145,Positive Injection,5,2025-03-23,235
