Recipe Group,Recipe,Recipe Days,Phase,Phase Text,Ultra Short,Short,Medium,Long,Express,STANDARD,DELUXE
RG-3386,Recipe Soldier,25,Inspection,Job machine answer.,Yes,Yes,No,No,Yes,No,Yes
RG-1388,Recipe Truth,18,Compounding,Control bring future so the.,Yes,No,No,No,Yes,No,Yes
RG-4113,Recipe Only,19,Inspection,Recent soon report support.,No,Yes,No,Yes,No,Yes,Yes
RG-1587,Recipe Example,17,Compounding,Send price investment always.,No,No,Yes,No,Yes,Yes,Yes
RG-7745,Recipe Including,21,Packaging,True sound population rest cup.,No,Yes,Yes,No,Yes,No,Yes
RG-6438,Recipe Little,18,Packaging,Middle example get soon Mrs parent.,Yes,Yes,Yes,Yes,No,Yes,No
RG-6158,Recipe Analysis,23,Compounding,Plan energy player.,Yes,No,No,No,No,Yes,No
RG-9902,Recipe Serve,11,Packaging,Son administration support despite matter.,No,Yes,Yes,No,No,No,Yes
RG-6209,Recipe Radio,14,Packaging,Good energy seat seat impact.,Yes,Yes,Yes,No,Yes,Yes,Yes
RG-4798,Recipe Degree,21,Packaging,Feel myself perhaps own technology American.,Yes,Yes,No,Yes,No,Yes,No
RG-3693,Recipe While,11,Compounding,Identify especially drug happen exist thing.,Yes,No,Yes,No,Yes,No,Yes
RG-8875,Recipe Music,5,Compounding,Hear scientist need information develop behavior.,No,No,Yes,Yes,Yes,Yes,Yes
RG-3447,Recipe Cell,16,Packaging,Sound to own full within.,No,No,No,No,No,No,No
RG-6043,Recipe Character,24,Packaging,What write base admit.,No,No,No,Yes,Yes,No,No
RG-8077,Recipe Share,18,Compounding,Data light thousand court.,Yes,Yes,Yes,Yes,No,No,Yes
RG-9735,Recipe Attack,22,Compounding,Picture also visit.,Yes,Yes,Yes,Yes,No,Yes,Yes
RG-4529,Recipe Everything,5,Inspection,Whole star this same student.,Yes,Yes,No,Yes,Yes,Yes,Yes
RG-3735,Recipe System,11,Compounding,Upon section role something.,Yes,No,Yes,No,No,Yes,Yes
RG-7892,Recipe Maybe,10,Packaging,Senior policy food still few.,Yes,No,Yes,Yes,Yes,No,Yes
RG-5164,Recipe Style,7,Inspection,Film lawyer series suddenly win enough.,Yes,No,No,Yes,Yes,Yes,Yes
RG-6711,Recipe Contain,10,Inspection,Image determine management source list.,Yes,Yes,Yes,Yes,No,No,No
RG-2542,Recipe Forget,10,Inspection,Dark child identify.,No,Yes,No,No,No,No,No
RG-7515,Recipe Friend,24,Inspection,Ground site not way.,No,Yes,Yes,Yes,No,No,Yes
RG-3434,Recipe Yourself,7,Inspection,New attack such.,Yes,Yes,No,No,No,No,No
RG-6463,Recipe Name,20,Inspection,Race want continue state.,Yes,No,No,Yes,Yes,No,No
RG-6727,Recipe Despite,15,Packaging,East leg painting actually kind skin.,No,Yes,Yes,Yes,Yes,Yes,No
RG-9797,Recipe Game,22,Inspection,Mission agent similar than reality though.,No,No,Yes,Yes,Yes,Yes,No
RG-1020,Recipe Husband,17,Packaging,Support himself share hope finally time.,Yes,Yes,No,Yes,Yes,No,No
RG-1824,Recipe Health,25,Compounding,Individual build seven.,No,Yes,No,Yes,No,No,Yes
RG-1412,Recipe Accept,21,Compounding,Keep accept fact government.,No,Yes,No,Yes,No,Yes,Yes
RG-6246,Recipe Trial,19,Compounding,Seem election fear collection.,No,No,Yes,No,No,Yes,Yes
RG-5247,Recipe Drive,13,Packaging,Others war sing.,No,No,Yes,Yes,No,No,Yes
RG-3465,Recipe Attention,22,Packaging,Prevent specific would thousand.,No,No,No,Yes,No,Yes,No
RG-7746,Recipe Discussion,9,Inspection,Recognize claim able measure appear indeed.,No,No,No,Yes,No,No,Yes
