Old Qty,New Qty,Purchase Document Date,Purchasing Document Type,Material,Purchasing document number,Item number of purchasing document,Plant,Purchasing Group,Schedule line number,Vendor,FACTCAL ID,MRP AREA,MRP CONTRL,MRP TYPE,New Date,Old Date,Reason,Lead Time,FAC_CAL_DEL_DATE,ZDELDATE,Factory Calendar ID,MRP Characteristic,MRP Controller,Product Description,Days Difference,Hit Reason,Actual PO Date,Scheduled PO Date,Qty Ordered,Qty Received,Qty Variance Pront,Po Release Date,Elapse Lead Time,Hit Flag,Internal Vendor Flag,Lead Time Given,Statistical Delivery Date,Purch Order Type Id,Item Delivery Date,Purch Grp Id,Vendor Id,Planned Lead Time,Inbound Delivery Date,MRP Type Id,MRP Controller Id,Days Early Late,Vendor Name,Goods Receipt Date,Flag Delete,Purchase order Flag_Open/Close,Trial Alias
92,89,2025-01-14,FO,MAT-93657,3450102385,23,AP03,PG84,5,V335644,447078083,MRP-53,MRP-66,VV,2023-11-17,2024-04-04,Foreign,5,2026-06-20,2026-02-15,892757294,MRP-36,MRP-109,Dog Patch,15,Reflect,2025-01-14,2025-02-09,92,88,-1,2025-01-12,13,Yes,V3756630,3,2026-04-21,663766579,2026-03-30,864951877,V2037016,7,2025-07-11,PD,MRP-127,9,Williams-Duffy Pharma,2026-04-24,Yes,Yes,CT-6910-RDE
63,76,2025-05-16,FO,MAT-22152,7640317445,76,US01,PG23,3,V924475,138807612,MRP-75,MRP-16,VB,2026-01-02,2026-10-31,Think,24,2023-11-20,2025-06-14,384873475,MRP-53,MRP-129,Culture Solution,-4,Blue,2025-05-16,2025-06-09,63,63,1,2025-05-14,29,No,V3132787,35,2024-07-15,361675639,2026-08-11,601212833,V3512703,17,2026-01-18,VB,MRP-125,27,Smith Group Pharma,2026-09-14,Yes,Yes,CT-3472-PNG
90,88,2025-10-03,FO,MAT-85304,5782779159,42,AP03,PG33,4,V622368,452561172,MRP-30,MRP-91,VV,2024-05-05,2025-08-30,All,42,2026-02-17,2025-02-27,556815648,MRP-70,MRP-117,Artist Solution,2,North,2025-10-03,2025-10-23,90,86,2,2025-10-01,15,Yes,V8173299,33,2025-06-29,357332079,2024-09-19,361524281,V6237220,3,2025-10-28,PD,MRP-136,22,Hughes-Kelly Pharma,2023-12-05,No,No,CT-8970-PLO
223,222,2025-06-07,FO,MAT-86168,9376188254,88,AP03,PG40,3,V557334,153770363,MRP-81,MRP-62,PD,2025-07-08,2025-05-13,Choice,23,2025-09-25,2026-08-21,343670105,MRP-85,MRP-119,Run Solution,6,Camera,2025-06-07,2025-06-28,223,219,2,2025-06-05,5,No,V1261703,28,2026-03-20,878098058,2026-10-06,101958444,V7246601,19,2026-06-07,VB,MRP-102,24,"Green, Garcia and Gonzalez Pharma",2026-01-20,No,Yes,CT-6109-EDZ
139,129,2025-06-21,FO,MAT-15875,8411692963,17,EU02,PG51,3,V970386,501590307,MRP-69,MRP-14,VB,2024-04-24,2025-08-30,Run,40,2025-01-27,2026-06-06,862037129,MRP-96,MRP-138,Happy Solution,1,Authority,2025-06-21,2025-07-10,139,135,5,2025-06-19,10,No,V6741311,7,2025-10-09,882591257,2026-03-17,678007596,V4650680,36,2026-04-08,PD,MRP-134,27,"Stewart, Smith and Gutierrez Pharma",2025-10-29,Yes,No,CT-8742-ECD
140,139,2024-12-14,NB,MAT-33689,5115911344,34,EU02,PG61,2,V968991,470147417,MRP-50,MRP-53,VV,2026-08-24,2026-01-31,Drop,4,2024-02-29,2026-08-15,230512981,MRP-78,MRP-116,South Capsule,0,Old,2024-12-14,2024-12-31,140,140,-1,2024-12-12,22,Yes,V9168702,28,2024-12-12,170933896,2026-06-05,243762144,V7510291,14,2025-01-21,PD,MRP-106,9,Peters LLC Pharma,2024-01-22,No,Yes,CT-6910-RDE
262,264,2024-12-07,NB,MAT-39627,6654129933,67,LAT04,PG96,5,V659954,497209262,MRP-33,MRP-60,PD,2025-12-19,2025-05-07,Use,34,2024-10-23,2025-07-14,211467920,MRP-58,MRP-123,Fund Tablet,-3,Able,2024-12-07,2024-12-28,262,260,1,2024-12-05,7,Yes,V1307141,21,2026-03-17,256459601,2025-01-11,969242559,V1331704,28,2026-08-02,VV,MRP-115,6,"Taylor, Burns and Smith Pharma",2024-04-08,Yes,Yes,CT-5014-EEP
25,43,2025-01-28,NB,MAT-60599,1415746306,75,EU02,PG24,3,V969362,546114275,MRP-79,MRP-43,VB,2025-05-14,2026-03-17,Whatever,10,2026-03-03,2026-01-26,125019108,MRP-55,MRP-113,Traditional Patch,15,Star,2025-01-28,2025-02-06,25,24,-3,2025-01-26,5,Yes,V1882904,22,2024-02-01,524355794,2023-11-14,648818400,V5018637,30,2025-04-24,VV,MRP-113,15,Evans PLC Pharma,2024-08-24,No,Yes,CT-2004-PSX
290,301,2025-03-12,FO,MAT-16078,9438526991,17,LAT04,PG89,5,V179483,189114458,MRP-19,MRP-34,PD,2026-02-26,2025-09-26,Service,44,2025-03-05,2026-02-26,354179420,MRP-35,MRP-139,Stock Patch,0,Cup,2025-03-12,2025-04-06,290,285,0,2025-03-10,21,No,V9048826,27,2026-09-11,372590822,2023-12-24,407566266,V1283702,5,2023-11-30,PD,MRP-102,15,"Adams, Brooks and Boyer Pharma",2024-10-06,Yes,No,CT-9831-IEW
31,25,2025-10-26,NB,MAT-66374,1051807083,36,AP03,PG29,2,V172910,885235647,MRP-92,MRP-31,VV,2023-12-02,2024-05-05,Red,30,2024-04-23,2025-05-19,785610335,MRP-96,MRP-135,Oil Tablet,15,Serve,2025-10-26,2025-11-20,31,29,4,2025-10-24,11,No,V2348411,19,2024-05-08,417976134,2024-03-22,112553796,V2669443,17,2025-03-08,VB,MRP-136,6,"Ramos, Russell and Martin Pharma",2023-12-18,Yes,No,CT-7484-BIH
122,124,2025-04-30,FO,MAT-40706,4227528085,66,US01,PG38,5,V432998,475208896,MRP-22,MRP-55,PD,2026-10-23,2025-03-11,Interesting,20,2025-01-06,2024-06-07,257649017,MRP-73,MRP-103,Keep Capsule,10,Yeah,2025-04-30,2025-05-13,122,118,3,2025-04-28,12,No,V6397551,44,2025-12-27,768167047,2025-05-26,860462444,V8839261,30,2026-08-28,PD,MRP-132,24,"Montgomery, Davidson and Smith Pharma",2024-08-29,No,No,CT-3395-UCM
197,189,2025-02-18,NB,MAT-78401,5700660171,49,US01,PG88,5,V156800,241576831,MRP-16,MRP-57,VB,2025-04-25,2025-11-13,Necessary,41,2025-03-09,2026-07-14,487282806,MRP-53,MRP-103,Expect Tablet,-2,Which,2025-02-18,2025-03-04,197,194,2,2025-02-16,11,Yes,V7426954,19,2026-03-19,796825739,2026-04-21,536591855,V4325373,7,2024-11-16,VV,MRP-139,26,Taylor Group Pharma,2025-11-10,No,Yes,CT-1696-SCY
12,7,2024-11-19,NB,MAT-49508,9727747792,33,LAT04,PG41,2,V447288,399432763,MRP-57,MRP-22,VB,2025-05-05,2025-02-22,Hear,36,2024-12-12,2025-01-08,573496328,MRP-72,MRP-116,Able Patch,-1,Green,2024-11-19,2024-12-06,12,12,-3,2024-11-17,14,Yes,V4337551,19,2026-09-07,475157877,2026-09-14,686559261,V5723514,25,2026-07-19,VB,MRP-138,27,Baker-Morgan Pharma,2026-02-15,Yes,Yes,CT-6592-IDY
