title,material_name,material_description,ly_id,ly_number,status,approved_dates,version_id
Herself Compound Specification,Traditional Patch,Traditional Patch,LY6387398,LY6387398,Obsolete,2024-12-09,v2.0
Society Compound Specification,Offer Tablet,Offer Tablet,LY9449170,LY9449170,Obsolete,2024-12-01,v2.0
Fire Compound Specification,Common Patch,Common Patch,LY3404770,LY3404770,Draft,2025-01-14,v5.0
Oil Compound Specification,Able Patch,Able Patch,LY6375718,LY6375718,Obsolete,2025-10-10,v3.0
Cause Compound Specification,Myself Capsule,Myself Capsule,LY8824322,LY8824322,Draft,2024-11-08,v5.0
Eat Compound Specification,Help Solution,Help Solution,LY2806032,LY2806032,Obsolete,2025-09-10,v3.0
Instead Compound Specification,Range Solution,Range Solution,LY8281287,LY8281287,Approved,2025-10-10,v5.0
Try Compound Specification,Artist Solution,Artist Solution,LY1227318,LY1227318,Obsolete,2025-05-17,v3.0
Than Compound Specification,Various Solution,Various Solution,LY8585397,LY8585397,Draft,2025-06-01,v3.0
Who Compound Specification,Figure Capsule,Figure Capsule,LY3174367,LY3174367,Draft,2025-04-10,v3.0
Positive Compound Specification,Set Solution,Set Solution,LY3402678,LY3402678,Obsolete,2025-06-25,v3.0
Need Compound Specification,Shake Tablet,Shake Tablet,LY2592625,LY2592625,Obsolete,2025-08-20,v2.0
South Compound Specification,Age Tablet,Age Tablet,LY7315127,LY7315127,Obsolete,2025-07-04,v3.0
Form Compound Specification,Simply Injection,Simply Injection,LY7511540,LY7511540,Obsolete,2025-04-02,v3.0
Recognize Compound Specification,Memory Solution,Memory Solution,LY6221700,LY6221700,Draft,2025-02-24,v4.0
Theory Compound Specification,Step Solution,Step Solution,LY9880333,LY9880333,Draft,2025-03-18,v5.0
Study Compound Specification,Type Injection,Type Injection,LY2789287,LY2789287,Approved,2025-06-14,v5.0
Public Compound Specification,Sense Tablet,Sense Tablet,LY2104034,LY2104034,Approved,2025-09-08,v4.0
Available Compound Specification,Property Tablet,Property Tablet,LY4651787,LY4651787,Approved,2025-07-01,v1.0
Country Compound Specification,Expect Tablet,Expect Tablet,LY6575825,LY6575825,Obsolete,2025-05-26,v2.0
Necessary Compound Specification,Cold Injection,Cold Injection,LY9948344,LY9948344,Draft,2025-02-26,v3.0
Food Compound Specification,Better Tablet,Better Tablet,LY6369709,LY6369709,Draft,2024-11-30,v4.0
