ID,Created,Request Type (Molecule Planner to Complete),Sample Status (NDP Material Coordinator to Complete),LY Number (Molecule Planner to Complete),Item Code (Molecule Planner to Complete),Lot Number (Molecule Planner to Complete),Target Date for Results (Molecule Planner to Complete),Sample Location (NDP Material Coordinator to Complete),Analytical Lab (NDP Material Coordinator to Complete),Analytical Rep Notified (NDP Material Coordinator to Complete),Modified Date
REV-370565,2025-02-26,Extension,Pending,LY964373,MAT-60599,LOT-45953393,2025-12-09,South Lance Logistics Center,Bakershire Lab,Kelsey Howard,2025-09-19
REV-473308,2025-04-23,Retest,Complete,LY132684,MAT-60599,LOT-94284099,2026-02-06,Tracyberg Logistics Center,Whitefort Lab,Brandi Parker,2025-08-23
REV-782183,2025-02-04,Retest,Complete,LY677440,MAT-60599,LOT-32180264,2025-06-01,South Jennifer Logistics Center,Lake Josephmouth Lab,Tracy Dunn,2025-09-04
REV-246563,2025-01-16,Extension,Complete,LY628186,MAT-60599,LOT-86533765,2026-10-17,South Jennifer Logistics Center,West Crystal Lab,Darren Morgan,2025-08-20
REV-178638,2025-03-02,Retest,Pending,LY967309,MAT-32011,LOT-39555641,2027-04-20,South Lance Logistics Center,South Robinport Lab,Kendra Castro,2025-10-09
REV-685388,2025-05-02,Retest,Complete,LY531581,MAT-32011,LOT-39007987,2027-01-23,Russellhaven Logistics Center,Stokesland Lab,Kenneth Sanford,2025-08-15
REV-338214,2025-05-12,Extension,Pending,LY187617,MAT-97442,LOT-75185716,2026-05-15,South Conniebury Logistics Center,Christineberg Lab,Jenna Cohen,2025-08-25
REV-361996,2024-11-16,Retest,Complete,LY909203,MAT-97442,LOT-51070012,2025-11-01,Margaretville Logistics Center,Robertsonland Lab,Robert Bradley,2025-10-11
REV-280217,2024-12-11,Extension,Complete,LY378147,MAT-97442,LOT-68153288,2027-08-08,Margaretville Logistics Center,Holderburgh Lab,Dr. Jasmine Yates,2025-10-01
REV-417278,2025-01-11,Retest,Pending,LY904341,MAT-49508,LOT-69596629,2026-12-01,West Tonya Logistics Center,Floreston Lab,Anthony Perry,2025-11-08
REV-751910,2025-01-04,Retest,Pending,LY270227,MAT-49508,LOT-28252003,2027-03-19,Sullivanview Logistics Center,Kevinshire Lab,Joshua Cobb,2025-11-05
REV-187018,2025-04-27,Retest,Complete,LY895851,MAT-49508,LOT-66123852,2028-06-06,South Christopher Logistics Center,Elizabethtown Lab,David Ross,2025-08-17
REV-659579,2025-05-14,Retest,Complete,LY401478,MAT-17085,LOT-77757177,2027-12-17,South Conniebury Logistics Center,West Stacy Lab,Caitlin Robinson,2025-09-20
REV-277031,2024-12-12,Retest,Pending,LY414296,MAT-17085,LOT-19994803,2027-02-21,Braunberg Logistics Center,East Anthonyshire Lab,Paula Lopez,2025-09-21
REV-604306,2024-12-27,Retest,Complete,LY497172,MAT-17085,LOT-45619384,2027-09-20,Jonesshire Logistics Center,South John Lab,Hayley Sanchez,2025-10-29
REV-168342,2025-02-26,Extension,Pending,LY486348,MAT-84265,LOT-26474824,2026-10-14,Margaretville Logistics Center,East Chelsea Lab,Ronald Sims,2025-10-24
REV-945538,2025-02-08,Extension,Pending,LY104782,MAT-84265,LOT-43759862,2026-09-16,Jonesshire Logistics Center,Millerfort Lab,Christopher Hoffman,2025-08-29
REV-695185,2025-02-14,Extension,Complete,LY257543,MAT-82398,LOT-84562329,2025-09-19,Christopherfurt Logistics Center,Higginsland Lab,Andrew Hunt,2025-10-17
REV-592194,2024-12-30,Extension,Pending,LY777577,MAT-82398,LOT-74101873,2025-09-17,New Thomas Logistics Center,Lake Anthonyfort Lab,Shelly Morris,2025-11-08
REV-469539,2025-01-23,Extension,Pending,LY422550,MAT-85304,LOT-91814441,2026-01-15,Derekville Logistics Center,South William Lab,Anne Jones,2025-09-29
REV-552500,2025-03-11,Extension,Complete,LY174553,MAT-85304,LOT-65133728,2025-04-23,Timstad Logistics Center,Christinamouth Lab,Kristen Smith,2025-10-19
REV-340332,2025-01-12,Extension,Complete,LY445935,MAT-86920,LOT-14354504,2025-06-25,South Jennifer Logistics Center,Harrisport Lab,Dana Clark,2025-10-01
REV-865824,2025-03-27,Retest,Complete,LY280430,MAT-86920,LOT-44689282,2027-08-03,Sullivanview Logistics Center,Vincenthaven Lab,Troy Buckley,2025-09-10
