name_v,filename_v,health_authority_division_c,type_v,status_v,approved_date_c,major_version_number_v,approver_v,lilly_receipt_date_c,clinical_study_v,ly_number_c,submission_outcome
Home Trial Submission,worry_1.pdf,MHRA,Protocol Amendment,In Review,2024-08-01,5,Jeffrey Fitzpatrick,2024-05-30,CT-2004-PSX,LY234379,Pending Questions
Home Trial Submission,perform_47.pdf,FDA,Protocol Amendment,Submitted,2024-11-12,6,Charles Hatfield,2024-12-05,CT-2004-PSX,LY735852,Accepted
Pay Study Submission,throw_99.pdf,FDA,ANDA,Approved,2024-01-29,3,Michael Walker,2024-04-04,CT-6592-IDY,LY767658,Accepted
Skin Trial Submission,heavy_34.pdf,PMDA,IND,Submitted,2025-08-01,6,Victor Reynolds,2025-08-11,CT-8970-PLO,LY403551,Pending Questions
Skin Trial Submission,among_10.pdf,FDA,CTA,Submitted,2025-07-06,6,Kim Strong,2025-06-06,CT-8970-PLO,LY217267,Pending Questions
Improve Trial Submission,direction_8.pdf,PMDA,Protocol Amendment,In Review,2025-06-02,2,Edgar Santiago,2024-01-11,CT-5806-JWO,LY781478,Accepted
Improve Trial Submission,front_61.pdf,PMDA,Protocol Amendment,Submitted,2024-01-11,2,Lauren Johnson,2023-11-25,CT-5806-JWO,LY615927,Accepted
Improve Trial Submission,over_28.pdf,PMDA,Protocol Amendment,Approved,2023-11-16,1,Lisa Nelson,2024-03-03,CT-5806-JWO,LY399036,Accepted
Past Trial Submission,each_94.pdf,EMA,ANDA,Submitted,2024-12-28,1,Elizabeth Simmons,2025-01-08,CT-8015-GMQ,LY978513,Pending Questions
Past Trial Submission,himself_92.pdf,EMA,Protocol Amendment,In Review,2024-12-30,5,Michael Macdonald,2024-12-06,CT-8015-GMQ,LY944982,Rejected
Reality Program Submission,public_23.pdf,PMDA,ANDA,Submitted,2024-12-28,2,Raymond Johnson,2025-02-10,CT-8872-GKR,LY807579,Rejected
Reality Program Submission,lot_64.pdf,PMDA,ANDA,Submitted,2023-11-21,3,Bonnie Taylor,2024-09-13,CT-8872-GKR,LY357024,Accepted
Miss Trial Submission,community_85.pdf,FDA,Protocol Amendment,Approved,2024-03-07,5,Donna Snyder,2024-01-27,CT-1696-SCY,LY907886,Rejected
Miss Trial Submission,skin_59.pdf,PMDA,CTA,Submitted,2025-11-29,3,Diane Duffy,2025-10-16,CT-1696-SCY,LY670470,Rejected
Both Program Submission,concern_81.pdf,MHRA,ANDA,Submitted,2025-03-31,2,Anthony Richards,2024-01-22,CT-3228-ZKT,LY251548,Rejected
Both Program Submission,free_95.pdf,PMDA,ANDA,Submitted,2025-10-20,4,Carlos Yates,2024-03-31,CT-3228-ZKT,LY519885,Accepted
Shake Study Submission,every_61.pdf,EMA,CTA,Approved,2025-05-28,6,Joe Morrison,2024-12-03,CT-6910-RDE,LY483744,Accepted
Shake Study Submission,view_39.pdf,MHRA,Protocol Amendment,Approved,2024-05-01,6,Kristy Jordan,2025-11-01,CT-6910-RDE,LY722737,Accepted
Compare Study Submission,care_90.pdf,FDA,IND,In Review,2024-04-07,2,Caroline Kim,2025-10-29,CT-8742-ECD,LY391023,Accepted
Compare Study Submission,door_9.pdf,PMDA,IND,Approved,2025-09-10,3,Wendy Robinson,2025-05-27,CT-8742-ECD,LY752535,Pending Questions
Compare Study Submission,bar_18.pdf,FDA,CTA,In Review,2024-10-03,3,David Terry,2024-01-03,CT-8742-ECD,LY575461,Accepted
Season Trial Submission,per_67.pdf,EMA,CTA,In Review,2024-06-08,6,Jonathan Snyder,2024-03-16,CT-7047-GQC,LY168034,Rejected
And Study Submission,collection_91.pdf,EMA,ANDA,Submitted,2024-04-02,5,Anna Jones,2024-01-22,CT-1816-RCG,LY199193,Rejected
And Study Submission,authority_58.pdf,PMDA,Protocol Amendment,Submitted,2025-04-16,2,Tyler Odonnell,2024-11-18,CT-1816-RCG,LY582187,Pending Questions
