Status,Shipment,LPN#,LPN Status,Package Count,Type,Request Date,Date Accepted,Accepted By,Affiliate/Warehouse,Site,Investigator
Ready,SHP-5135391,LPN7406233443,Quarantined,1,Depot,2025-02-09,2025-01-30,Dennis Gonzales,Coreyshire Logistics Center,Lake Evanmouth Medical Center,Dennis Gonzales
Delivered,SHP-4406609,LPN1031138801,Dispensed,4,Depot,2025-06-09,2025-06-07,Anna Rich,Coreyshire Logistics Center,Port Johnmouth Medical Center,Anna Rich
Ready,SHP-1101725,LPN9875947375,Available,3,Depot,2025-10-23,2025-10-16,Bailey Farmer,Coreyshire Logistics Center,Lake Laurastad Medical Center,Bailey Farmer
Planning,SHP-9522024,LPN9005060665,Available,8,Return,2025-06-28,2025-06-15,Mary Brewer,Coreyshire Logistics Center,Woodwardfort Medical Center,Mary Brewer
Ready,SHP-3399778,LPN1347772092,Dispensed,2,Depot,2025-07-10,2025-07-08,Janet Robertson,Coreyshire Logistics Center,Roblestown Medical Center,Janet Robertson
Delayed,SHP-1655532,LPN8895434343,Quarantined,8,Site,2024-12-31,2024-12-27,Walter Clark,Coreyshire Logistics Center,Hillberg Medical Center,Walter Clark
Shipped,SHP-3362400,LPN8676514704,Damaged,8,Site,2024-12-28,2024-12-19,Mr. Bryan Guerra,Coreyshire Logistics Center,Jacksonport Medical Center,Mr. Bryan Guerra
Delivered,SHP-9156012,LPN9719173999,Damaged,1,Depot,2025-02-06,2025-02-18,David Rogers,Coreyshire Logistics Center,East Stephanie Medical Center,David Rogers
Shipped,SHP-6930743,LPN2148695270,Quarantined,8,Depot,2025-04-06,2025-03-28,Krista Barry,Coreyshire Logistics Center,East Edward Medical Center,Krista Barry
Planning,SHP-4532141,LPN6624945096,Dispensed,1,Depot,2025-11-20,2025-11-07,Andrea Ross,Coreyshire Logistics Center,Martinezfurt Medical Center,Andrea Ross
Shipped,SHP-5726378,LPN7097146795,Damaged,9,Depot,2025-05-13,2025-05-09,Harry Walker,Coreyshire Logistics Center,Melanieview Medical Center,Harry Walker
Planning,SHP-5706263,LPN6683296771,Quarantined,2,Site,2025-03-04,2025-03-10,Rachel Orr,Coreyshire Logistics Center,Davidberg Medical Center,Rachel Orr
Ready,SHP-1383778,LPN1190613462,Dispensed,2,Return,2024-12-06,2024-12-03,Sherry Murphy,Coreyshire Logistics Center,New Joseph Medical Center,Sherry Murphy
Shipped,SHP-9913936,LPN8263792639,Available,2,Depot,2025-09-27,2025-09-24,Amanda Martin,Coreyshire Logistics Center,Smithberg Medical Center,Amanda Martin
Shipped,SHP-9427886,LPN2134878257,Available,4,Return,2025-11-13,2025-10-27,Melanie Carter,Coreyshire Logistics Center,Nathanbury Medical Center,Melanie Carter
Ready,SHP-4550235,LPN7029823307,Damaged,6,Site,2025-10-16,2025-10-18,Ashley Lopez,Coreyshire Logistics Center,South Emily Medical Center,Ashley Lopez
Delayed,SHP-4686133,LPN5921491775,Dispensed,10,Return,2025-04-23,2025-04-28,Amanda Robertson,Coreyshire Logistics Center,Lake Natalie Medical Center,Amanda Robertson
Shipped,SHP-1985274,LPN2720648918,Dispensed,9,Return,2025-03-24,2025-03-13,Dr. Joseph Maldonado,Coreyshire Logistics Center,West Debra Medical Center,Dr. Joseph Maldonado
Ready,SHP-9962121,LPN9608550091,Damaged,3,Return,2025-01-18,2025-01-04,Hannah Thompson,Coreyshire Logistics Center,South Samantha Medical Center,Hannah Thompson
Shipped,SHP-8423123,LPN1349958312,Damaged,6,Depot,2025-05-02,2025-04-22,Julie Martin,Coreyshire Logistics Center,Shelbyport Medical Center,Julie Martin
Delivered,SHP-2337305,LPN2147772371,Dispensed,1,Depot,2025-10-09,2025-10-02,Jenny Hill,Coreyshire Logistics Center,Brooksburgh Medical Center,Jenny Hill
Planning,SHP-6613144,LPN6567099493,Quarantined,1,Return,2025-04-05,2025-03-20,Dana Goodman,Coreyshire Logistics Center,Weststad Medical Center,Dana Goodman
Delayed,SHP-3166907,LPN9487941696,Quarantined,2,Depot,2024-12-27,2025-01-04,Brian Walls,Coreyshire Logistics Center,North Crystal Medical Center,Brian Walls
Delivered,SHP-1448765,LPN2748853209,Quarantined,4,Return,2025-11-02,2025-10-30,Jesse Guzman,Coreyshire Logistics Center,Ramirezside Medical Center,Jesse Guzman
Delivered,SHP-3234666,LPN8737991023,Available,10,Depot,2025-03-30,2025-04-07,Kimberly Richards,Coreyshire Logistics Center,Robertbury Medical Center,Kimberly Richards
Delayed,SHP-9095184,LPN2487651682,Damaged,3,Site,2025-04-22,2025-04-13,Jorge Pena,Coreyshire Logistics Center,North Jamie Medical Center,Jorge Pena
Planning,SHP-1139059,LPN6239054838,Dispensed,4,Depot,2025-01-07,2024-12-24,Melanie Carter,Coreyshire Logistics Center,Nathanbury Medical Center,Melanie Carter
Shipped,SHP-6070348,LPN1259608724,Available,3,Depot,2025-02-16,2025-02-07,Brandon Randolph,Coreyshire Logistics Center,Dianetown Medical Center,Brandon Randolph
Planning,SHP-5814817,LPN5721353412,Available,1,Site,2025-07-24,2025-07-14,Melissa Morris,Coreyshire Logistics Center,North Kimberly Medical Center,Melissa Morris
Delayed,SHP-9126617,LPN1908238935,Available,4,Return,2025-07-07,2025-07-14,Marvin Alexander,Coreyshire Logistics Center,West Reneestad Medical Center,Marvin Alexander
