Order Number,Trial Alias,IWRS Number,Site Number,Ship To Country Code,Country Name,Lot Number,Expiration Date,Actual Qty,Carrier Code,Order Confirm Date,Actual Ship Date,Actual Delivery Date,Order Status,Warehouse ID,Ship To Number,Fit For Use
C87DA7B5-D02,CT-6910-RDE,IWRS-2113689,SITE-170,BN,Russian Federation,LOT-14364098,2028-06-06,89,Kuehne+Nagel,2025-01-14,2025-01-19,2025-01-30,Completed,WH-294,SITE-170,No
502EC192-A84,CT-3472-PNG,IWRS-6238690,SITE-297,MM,Puerto Rico,LOT-59019698,2026-07-17,60,UPS,2025-05-16,2025-05-26,2025-06-07,Released,WH-294,SITE-297,No
D30AB6AE-A77,CT-8970-PLO,IWRS-9175125,SITE-114,AE,Liechtenstein,LOT-91814441,2026-02-14,90,UPS,2025-10-03,2025-10-09,2025-10-16,In Progress,WH-294,SITE-114,No
93E2AB3B-625,CT-6109-EDZ,IWRS-2639766,SITE-199,TL,Seychelles,LOT-17958339,2027-07-20,219,Kuehne+Nagel,2025-06-07,2025-06-10,2025-06-15,Completed,WH-294,SITE-199,Yes
49D908EC-D19,CT-8742-ECD,IWRS-8485993,SITE-172,SR,Korea,LOT-54560092,2026-11-06,138,FedEx,2025-06-21,2025-06-27,2025-07-08,Closed,WH-294,SITE-172,No
7F8EA55C-605,CT-6910-RDE,IWRS-2240231,SITE-165,SZ,Pakistan,LOT-79555656,2026-08-02,136,UPS,2024-12-14,2024-12-22,2024-12-27,Created,WH-294,SITE-165,No
AB2CA71A-47C,CT-5014-EEP,IWRS-8158887,SITE-248,AL,Azerbaijan,LOT-35809899,2026-06-17,261,UPS,2024-12-07,2024-12-14,2024-12-19,Created,WH-294,SITE-248,No
EA3FBE37-E91,CT-2004-PSX,IWRS-7303680,SITE-102,TG,Puerto Rico,LOT-45953393,2026-01-08,23,Kuehne+Nagel,2025-01-28,2025-02-04,2025-02-18,Completed,WH-294,SITE-102,No
C2863B49-6B7,CT-9831-IEW,IWRS-6010932,SITE-207,NI,Jersey,LOT-57874485,2025-11-17,289,UPS,2025-03-12,2025-03-22,2025-03-28,Released,WH-294,SITE-207,Yes
7EA3E715-4EB,CT-7484-BIH,IWRS-7647906,SITE-269,PS,Niger,LOT-31439488,2025-09-04,30,UPS,2025-10-26,2025-10-31,2025-11-07,Created,WH-294,SITE-269,Yes
