trial_alias,enrollment_level,total_enrolled_forecast,total_enrolled_planned,total_enrolled_actual,enrollment_rate_monthly_actual
CT-2004-PSX,Study,595,614,562,140.5
CT-6592-IDY,Study,348,311,317,158.5
CT-8970-PLO,Study,505,503,490,163.33
CT-5806-JWO,Study,1078,1057,1040,173.33
CT-8015-GMQ,Study,741,723,724,144.8
CT-8872-GKR,Study,295,312,310,103.33
CT-1696-SCY,Study,603,598,589,147.25
CT-3228-ZKT,Study,494,467,498,124.5
CT-6910-RDE,Study,448,393,390,130.0
CT-8742-ECD,Study,456,410,381,127.0
CT-7047-GQC,Study,856,815,814,162.8
CT-1816-RCG,Study,320,340,311,155.5
CT-6109-EDZ,Study,948,933,933,155.5
CT-9831-IEW,Study,756,741,696,116.0
CT-3395-UCM,Study,528,505,485,161.67
CT-4229-AWU,Study,871,892,884,147.33
CT-9771-CZL,Study,474,462,445,148.33
CT-5014-EEP,Study,491,479,447,111.75
CT-3636-AVP,Study,843,794,796,159.2
CT-7484-BIH,Study,468,451,412,137.33
CT-7487-KNX,Study,486,468,438,109.5
CT-3230-HFO,Study,791,733,756,151.2
CT-6551-IBW,Study,348,342,326,108.67
CT-3472-PNG,Study,904,931,925,185.0
CT-9781-BYC,Study,914,908,880,176.0
