order_number,trial_alias,country_name,actual_qty,carrier_code,order_date,order_confirm_date,actual_ship_date,actual_delivery_date,shipment_addr_type,destination_addr_type,pod_activity_date,wh_id,requested_delivery_date,order_status,hu_id,tracking_number,from_country_name,fit_for_use,class_id,shipping_location,released_date_depot,ip_helper,shipment_prepare_duration,shipment_transit_duration,release_depot_duration,total_timeline
C87DA7B5-D02,CT-6910-RDE,Saint Kitts and Nevis,89,Kuehne+Nagel,2025-01-14,2025-01-15,2025-01-19,2025-01-30,Depot,Site,2025-02-01,WH-294,2025-02-09,Completed,HUL405116570,TRK25287292,Saint Kitts and Nevis,No,Frozen Storage,Coreyshire Logistics Center,2025-01-18,Coreyshire Logistics Center (Saint Kitts and Nevis),5,11,14,16
502EC192-A84,CT-3472-PNG,Saint Kitts and Nevis,60,UPS,2025-05-16,2025-05-17,2025-05-26,2025-06-07,Depot,Site,2025-06-09,WH-294,2025-06-09,Released,HUL215298958,TRK41716227,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2025-05-22,Coreyshire Logistics Center (Saint Kitts and Nevis),10,12,18,22
D30AB6AE-A77,CT-8970-PLO,Saint Kitts and Nevis,90,UPS,2025-10-03,2025-10-04,2025-10-09,2025-10-16,Depot,Site,2025-10-17,WH-294,2025-10-23,In Progress,HUL689265771,TRK36226141,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2025-10-08,Coreyshire Logistics Center (Saint Kitts and Nevis),6,7,9,13
93E2AB3B-625,CT-6109-EDZ,Saint Kitts and Nevis,219,Kuehne+Nagel,2025-06-07,2025-06-08,2025-06-10,2025-06-15,Depot,Site,2025-06-16,WH-294,2025-06-28,Completed,HUL376111581,TRK04267882,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2025-06-09,Coreyshire Logistics Center (Saint Kitts and Nevis),3,5,7,8
49D908EC-D19,CT-8742-ECD,Saint Kitts and Nevis,138,FedEx,2025-06-21,2025-06-22,2025-06-27,2025-07-08,Depot,Site,2025-07-08,WH-294,2025-07-10,Closed,HUL959426068,TRK72484254,Saint Kitts and Nevis,No,Frozen Storage,Coreyshire Logistics Center,2025-06-26,Coreyshire Logistics Center (Saint Kitts and Nevis),6,11,12,17
7F8EA55C-605,CT-6910-RDE,Saint Kitts and Nevis,136,UPS,2024-12-14,2024-12-15,2024-12-22,2024-12-27,Depot,Site,2024-12-27,WH-294,2024-12-31,Created,HUL240423199,TRK52802566,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2024-12-21,Coreyshire Logistics Center (Saint Kitts and Nevis),8,5,6,13
AB2CA71A-47C,CT-5014-EEP,Saint Kitts and Nevis,261,UPS,2024-12-07,2024-12-08,2024-12-14,2024-12-19,Depot,Site,2024-12-19,WH-294,2024-12-28,Created,HUL663041523,TRK79650212,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2024-12-11,Coreyshire Logistics Center (Saint Kitts and Nevis),7,5,8,12
EA3FBE37-E91,CT-2004-PSX,Saint Kitts and Nevis,23,Kuehne+Nagel,2025-01-28,2025-01-29,2025-02-04,2025-02-18,Depot,Site,2025-02-19,WH-294,2025-02-06,Completed,HUL376123397,TRK08247301,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2025-02-03,Coreyshire Logistics Center (Saint Kitts and Nevis),7,14,16,21
C2863B49-6B7,CT-9831-IEW,Saint Kitts and Nevis,289,UPS,2025-03-12,2025-03-13,2025-03-22,2025-03-28,Depot,Site,2025-03-30,WH-294,2025-04-06,Released,HUL992148573,TRK48385635,Saint Kitts and Nevis,No,Frozen Storage,Coreyshire Logistics Center,2025-03-18,Coreyshire Logistics Center (Saint Kitts and Nevis),10,6,12,16
7EA3E715-4EB,CT-7484-BIH,Saint Kitts and Nevis,30,UPS,2025-10-26,2025-10-27,2025-10-31,2025-11-07,Depot,Site,2025-11-09,WH-294,2025-11-20,Created,HUL803200011,TRK88862152,Saint Kitts and Nevis,No,Frozen Storage,Coreyshire Logistics Center,2025-10-27,Coreyshire Logistics Center (Saint Kitts and Nevis),5,7,13,12
F52B62BD-E91,CT-3395-UCM,Saint Kitts and Nevis,121,Kuehne+Nagel,2025-04-30,2025-05-01,2025-05-03,2025-05-09,Depot,Site,2025-05-10,WH-294,2025-05-13,Created,HUL970237663,TRK65515847,Saint Kitts and Nevis,No,Frozen Storage,Coreyshire Logistics Center,2025-04-30,Coreyshire Logistics Center (Saint Kitts and Nevis),3,6,10,9
D465FA61-668,CT-1696-SCY,Saint Kitts and Nevis,197,FedEx,2025-02-18,2025-02-19,2025-02-24,2025-03-10,Depot,Site,2025-03-10,WH-294,2025-03-04,Closed,HUL949940184,TRK40578109,Saint Kitts and Nevis,Yes,Frozen Storage,Coreyshire Logistics Center,2025-02-22,Coreyshire Logistics Center (Saint Kitts and Nevis),6,14,16,20
BAFF899E-7D4,CT-6592-IDY,Saint Kitts and Nevis,11,UPS,2024-11-19,2024-11-20,2024-11-29,2024-12-03,Depot,Site,2024-12-03,WH-294,2024-12-06,Closed,HUL364548530,TRK94946998,Saint Kitts and Nevis,No,Frozen Storage,Coreyshire Logistics Center,2024-11-27,Coreyshire Logistics Center (Saint Kitts and Nevis),10,4,6,14
082EC977-749,CT-3472-PNG,Saint Kitts and Nevis,242,FedEx,2025-09-04,2025-09-05,2025-09-13,2025-09-24,Depot,Site,2025-09-25,WH-294,2025-09-27,Closed,HUL987724064,TRK28185280,Saint Kitts and Nevis,No,Frozen Storage,Coreyshire Logistics Center,2025-09-12,Coreyshire Logistics Center (Saint Kitts and Nevis),9,11,13,20
